"","species_jetz","res.td","res.ad","td","ad","mass_final","hab.bin","for.bin","stratum","feed.PC1","feed.PC2","feed.PC3","feed.PC4","mig.bin","lat","range"
"Abroscopus_albogularis","Abroscopus albogularis",0.0837096122914673,0.107732320092544,6.3,5,5.1,1,0,0,-47.5541858896779,-3.73686564415714,-2.10653949745589,-4.02651466518053,0,25.91,5.71042701737487
"Acanthagenys_rufogularis","Acanthagenys rufogularis",0.0683864702366743,0.152599699849074,10.55,9,50.7,0,0,70,13.83789593145,2.1338419460748,27.9304911692812,5.68192983948779,0,26.92,6.21660610108486
"Acanthisitta_chloris","Acanthisitta chloris",0.0825077989873748,0.210139772237463,6.6375,5.85,6.425,1,0,20,-35.766752709543,3.74784855250423,-4.35040497781921,-4.04705852145714,0,42.1,3.36729582998647
"Acanthiza_chrysorrhoa","Acanthiza chrysorrhoa",0.0039279738607314,0.0661632125455227,6.65,5.5,9.1,0,0,0,-22.593101288951,-16.8986861144594,-4.01834030077991,-3.79239383974159,0,28.85,6.04973345523196
"Acanthiza_pusilla","Acanthiza pusilla",0.139644741021706,0.25415318120138,7.35,6.4,7.8,0,0,20,-13.73459034043,-1.42198952213885,5.01547537205681,-4.41587841268182,0,28.56,4.81218435537242
"Acanthorhynchus_superciliosus","Acanthorhynchus superciliosus",-0.00543972010949667,-0.0242574073030621,6.3,4.8,7.5,0,0,40,19.3071545915687,6.14063947939906,70.1459257633103,-7.42767679278959,0,32.7,2.99573227355399
"Acanthorhynchus_tenuirostris","Acanthorhynchus tenuirostris",0.00816784627362099,0.0594400438682654,7.2,5.9,12.6,0,0,30,0.203914454069647,3.318495158383,49.5023642602342,-6.45591618490129,0,32.35,4.68213122712422
"Aceros_comatus","Aceros comatus",0.248455616601701,0.29519873356607,26.8,22.4,1312.9,1,0,20,18.3669111424972,14.9009984851536,4.76300101255896,51.2802419225558,0,20.5,5.06259503302697
"Aceros_plicatus","Aceros plicatus",0.152612834761729,0.227328340858437,23.975,20.6,1227.5,1,0,60,46.7452795514013,56.1408479291339,-20.0574633403624,-4.19086551539336,0,5,5.04985600724954
"Aceros_undulatus","Aceros undulatus",0.0165374673594618,0.0798647047992191,24.4,20.8,2386.1,1,0,70,58.5327127315362,63.6255621257952,-22.3013288207257,-4.21140937166996,0,8.62,5.91350300563827
