species,ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio,common_name
Alcippe poioicephala,648473363,30.871,57.953,34.677,8.2,4.2,4.368060325,3.739025867,4.053543096,1.671223001,1.952380952,-0.144007731,Brown-cheeked fulvetta
Alcippe poioicephala,648415153,25.667,44.769,27.039,8.2,4.2,4.701230762,3.98688561,4.344058186,1.655719516,1.952380952,-0.15194854,Brown-cheeked fulvetta
Alcippe poioicephala,648292690,23.135,40.012,23.135,8.2,4.2,4.741252624,4.2,4.470626312,1.729500756,1.952380952,-0.114158149,Brown-cheeked fulvetta
Alcippe poioicephala,648027084,19.134,34.976,19.381,8.2,4.2,4.485898902,4.14647335,4.316186126,1.804654043,1.952380952,-0.075665003,Brown-cheeked fulvetta
Alcippe poioicephala,647901790,21.866,36.916,23.033,8.2,4.2,4.857005093,3.987200973,4.422103033,1.602743889,1.952380952,-0.179082398,Brown-cheeked fulvetta
Alcippe poioicephala,647621698,27.85,39.183,22.772,8.2,4.2,5.828292882,5.136571228,5.482432055,1.72066573,1.952380952,-0.118683407,Brown-cheeked fulvetta
Alcippe poioicephala,647503157,25.71,40.28,23.154,8.2,4.2,5.233912612,4.663643431,4.948778021,1.739656215,1.952380952,-0.108956573,Brown-cheeked fulvetta
Alcippe poioicephala,647456033,28.674,63.918,36.347,8.2,4.2,3.678569417,3.313362864,3.49596614,1.758549536,1.952380952,-0.099279506,Brown-cheeked fulvetta
Alcippe poioicephala,647349498,31.484,52.897,31.785,8.2,4.2,4.880594363,4.160226522,4.520410442,1.664212679,1.952380952,-0.147598384,Brown-cheeked fulvetta
Alcippe poioicephala,647270825,22.051,42.297,23.022,8.2,4.2,4.274965128,4.022856398,4.148910763,1.837242637,1.952380952,-0.058973283,Brown-cheeked fulvetta
Alcippe poioicephala,646680265,24.336,48.18,27.681,8.2,4.2,4.141867995,3.692467758,3.917167876,1.740544055,1.952380952,-0.108501825,Brown-cheeked fulvetta
Alcippe poioicephala,646108815,26.504,55.082,28.002,8.2,4.2,3.94562289,3.975316049,3.960469469,1.96707378,1.952380952,0.007525595,Brown-cheeked fulvetta
Alcippe poioicephala,644984370,23.76,39.408,20.979,8.2,4.2,4.943970767,4.756756757,4.850363762,1.878449878,1.952380952,-0.037867135,Brown-cheeked fulvetta
Alcippe poioicephala,644214751,33.956,62,32.062,8.2,4.2,4.490954839,4.448106793,4.469530816,1.933753353,1.952380952,-0.009540966,Brown-cheeked fulvetta
Alcippe poioicephala,644203501,24.45,41.72,24.877,8.2,4.2,4.805608821,4.127909314,4.466759067,1.677051091,1.952380952,-0.141022612,Brown-cheeked fulvetta
Alcippe poioicephala,543854051,52.673,93.302,48.053,8.2,4.2,4.629253392,4.603804133,4.616528763,1.941647764,1.952380952,-0.005497487,Brown-cheeked fulvetta
Alcippe poioicephala,576710961,43.283,70.937,38.16,8.2,4.2,5.003321257,4.763852201,4.883586729,1.858936059,1.952380952,-0.047862019,Brown-cheeked fulvetta
Acrocephalus dumetorum,648601074,25.732,85.475,26.019,9.2,3.1,2.769633226,3.065805757,2.917719492,3.28509935,2.967741935,0.106935651,Blyth's Reed Warbler
Acrocephalus dumetorum,648596262,21.043,66.293,25.104,9.2,3.1,2.920302294,2.598522148,2.759412221,2.640734544,2.967741935,-0.110187273,Blyth's Reed Warbler
Acrocephalus dumetorum,648550252,26.669,89.016,33.36,9.2,3.1,2.756299991,2.478234412,2.617267202,2.668345324,2.967741935,-0.100883641,Blyth's Reed Warbler
Acrocephalus dumetorum,648545824,27.592,83.6,33.153,9.2,3.1,3.036440191,2.580013875,2.808227033,2.521642084,2.967741935,-0.150316254,Blyth's Reed Warbler
Acrocephalus dumetorum,648536394,26.188,68.476,27.588,9.2,3.1,3.518453181,2.942685225,3.230569203,2.482093664,2.967741935,-0.163642352,Blyth's Reed Warbler
Acrocephalus dumetorum,648349482,21.339,62.968,21.263,9.2,3.1,3.11775505,3.11108028,3.114417665,2.961388327,2.967741935,-0.00214089,Blyth's Reed Warbler
Acrocephalus dumetorum,648292003,26.104,58.143,25.195,9.2,3.1,4.130450785,3.21184362,3.671147202,2.307719786,2.967741935,-0.222398768,Blyth's Reed Warbler
Acrocephalus dumetorum,648230172,19.276,40.108,18.527,9.2,3.1,4.421541837,3.225325201,3.823433519,2.164840503,2.967741935,-0.270542874,Blyth's Reed Warbler
Acrocephalus dumetorum,648217292,25.5,76.504,26.667,9.2,3.1,3.066506326,2.964337946,3.015422136,2.868864139,2.967741935,-0.033317518,Blyth's Reed Warbler
Acrocephalus dumetorum,648205371,16.082,34.52,15.502,9.2,3.1,4.286048667,3.215985034,3.751016851,2.226809444,2.967741935,-0.249662035,Blyth's Reed Warbler
Acrocephalus dumetorum,648139898,21.542,43.9,15.287,9.2,3.1,4.514496583,4.368430693,4.441463638,2.87172107,2.967741935,-0.032354857,Blyth's Reed Warbler
Acrocephalus dumetorum,648107924,23.005,56.641,24.75,9.2,3.1,3.736621882,2.881434343,3.309028113,2.288525253,2.967741935,-0.228866491,Blyth's Reed Warbler
Acrocephalus dumetorum,648100279,23.336,44.635,19,9.2,3.1,4.809929428,3.807452632,4.30869103,2.349210526,2.967741935,-0.208418192,Blyth's Reed Warbler
Acrocephalus dumetorum,648046916,18.822,49.829,22.739,9.2,3.1,3.475132955,2.565996746,3.02056485,2.191345266,2.967741935,-0.261611921,Blyth's Reed Warbler
Acrocephalus dumetorum,648026948,26.694,64.713,30.644,9.2,3.1,3.794984006,2.700411173,3.24769759,2.111767393,2.967741935,-0.288426204,Blyth's Reed Warbler
Acrocephalus dumetorum,632044641,48.216,113.187,41.608,9.2,3.1,3.91906491,3.592328398,3.755696654,2.720318208,2.967741935,-0.083371039,Blyth's Reed Warbler
Acrocephalus dumetorum,627255371,54.829,130.863,43.342,9.2,3.1,3.854617424,3.921597988,3.888107706,3.019311522,2.967741935,0.017376709,Blyth's Reed Warbler
Acrocephalus dumetorum,625575312,48.256,121.467,43.292,9.2,3.1,3.654944964,3.455455973,3.555200469,2.80576088,2.967741935,-0.054580573,Blyth's Reed Warbler
Acrocephalus dumetorum,612787618,58.447,142.274,45.437,9.2,3.1,3.779414369,3.987624623,3.883519496,3.131236657,2.967741935,0.055090613,Blyth's Reed Warbler
Acrocephalus dumetorum,317652261,52.24,127.907,41.635,9.2,3.1,3.757480044,3.889612105,3.823546075,3.072102798,2.967741935,0.035165073,Blyth's Reed Warbler
Acrocephalus dumetorum,296744781,46.325,94.22,35.41,9.2,3.1,4.523349607,4.0555634,4.289456504,2.660830274,2.967741935,-0.103415886,Blyth's Reed Warbler
Acrocephalus dumetorum,267267561,47.242,101.011,37.121,9.2,3.1,4.302763065,3.945211605,4.123987335,2.721128202,2.967741935,-0.083098106,Blyth's Reed Warbler
Acrocephalus dumetorum,108134211,48.508,116.951,46.706,9.2,3.1,3.815902386,3.219603477,3.517752932,2.503982358,2.967741935,-0.156266814,Blyth's Reed Warbler
Acrocephalus dumetorum,81345741,74.092,170.573,55.167,9.2,3.1,3.99621511,4.163452789,4.07983395,3.091939022,2.967741935,0.041849018,Blyth's Reed Warbler
Acrocephalus dumetorum,614092120,64.364,148.258,51.521,9.2,3.1,3.994042817,3.872758681,3.933400749,2.877622717,2.967741935,-0.030366258,Blyth's Reed Warbler
Acrocephalus dumetorum,60994581,86.006,202.781,75.69,9.2,3.1,3.902018434,3.522507597,3.712263015,2.679098956,2.967741935,-0.097260134,Blyth's Reed Warbler
Acrocephalus dumetorum,204593061,60.166,136,50.04,9.2,3.1,4.070052941,3.727310152,3.898681547,2.717825739,2.967741935,-0.084210892,Blyth's Reed Warbler
Hierococcyx varius,647644283,43.186,79.188,49,14.9,7.6,8.125870081,6.698236735,7.412053408,1.616081633,1.960526316,-0.175689905,Common Hawk-Cuckoo
Hierococcyx varius,647726963,35.257,66.098,36.251,14.9,7.6,7.947733668,7.391608507,7.669671088,1.823342804,1.960526316,-0.069972798,Common Hawk-Cuckoo
Hierococcyx varius,647835895,36.014,61.718,35.167,14.9,7.6,8.694523478,7.783046606,8.238785042,1.754997583,1.960526316,-0.104833448,Common Hawk-Cuckoo
Hierococcyx varius,647950821,41.825,85.336,46.99,14.9,7.6,7.302808897,6.764630773,7.033719835,1.816045967,1.960526316,-0.073694674,Common Hawk-Cuckoo
Hierococcyx varius,647961013,31.798,70.695,33.5,14.9,7.6,6.701891223,7.213874627,6.957882925,2.110298507,1.960526316,0.07639387,Common Hawk-Cuckoo
Hierococcyx varius,648114529,40.063,71.818,40.179,14.9,7.6,8.311825726,7.57805819,7.944941958,1.787451156,1.960526316,-0.088279947,Common Hawk-Cuckoo
Hierococcyx varius,648118623,32.826,72.131,38.635,14.9,7.6,6.780821006,6.457295199,6.619058102,1.866985894,1.960526316,-0.047711893,Common Hawk-Cuckoo
Hierococcyx varius,648171842,28.333,56.286,30.085,14.9,7.6,7.500296699,7.157413994,7.328855346,1.870899119,1.960526316,-0.045715886,Common Hawk-Cuckoo
Hierococcyx varius,648272416,42.065,83.941,37.25,14.9,7.6,7.466774282,8.582389262,8.024581772,2.253449664,1.960526316,0.149410567,Common Hawk-Cuckoo
Hierococcyx varius,648294046,29.275,61.012,29.517,14.9,7.6,7.149372255,7.537690145,7.3435312,2.06701223,1.960526316,0.054314963,Common Hawk-Cuckoo
Hierococcyx varius,648358704,32.215,65.609,32.259,14.9,7.6,7.316122788,7.589633901,7.452878344,2.033820019,1.960526316,0.037384708,Common Hawk-Cuckoo
Hierococcyx varius,648482556,20.989,46.649,24.333,14.9,7.6,6.70402581,6.555558295,6.629792053,1.917108454,1.960526316,-0.022146024,Common Hawk-Cuckoo
Hierococcyx varius,648543141,33.634,69.721,34.751,14.9,7.6,7.187886003,7.355713505,7.271799754,2.006301977,1.960526316,0.023348659,Common Hawk-Cuckoo
Hierococcyx varius,648593065,25.987,55.036,30.004,14.9,7.6,7.035509485,6.582495667,6.809002576,1.834288761,1.960526316,-0.064389625,Common Hawk-Cuckoo
Hierococcyx varius,647811637,40.613,76.577,40.001,14.9,7.6,7.902290505,7.716277093,7.809283799,1.914377141,1.960526316,-0.023539177,Common Hawk-Cuckoo
Hierococcyx varius,636389344,44.95,89.473,43.252,14.9,7.6,7.485554301,7.898363081,7.691958691,2.068644225,1.960526316,0.05514739,Common Hawk-Cuckoo
Hierococcyx varius,168456991,61.672,106.875,58.342,14.9,7.6,8.598014503,8.03378698,8.315900742,1.831870693,1.960526316,-0.065623002,Common Hawk-Cuckoo
Hierococcyx varius,136027441,78.927,150.719,77.506,14.9,7.6,7.802681148,7.73933889,7.771010019,1.94461074,1.960526316,-0.008118012,Common Hawk-Cuckoo
Dinopium javanense,647349449,23.592,101.85,41.617,21,7.6,4.864329897,4.308316313,4.586323105,2.447317202,2.763157895,-0.114304251,Common Flameback
Dinopium javanense,647517659,20.112,105.109,40.807,21,7.6,4.018228696,3.745710295,3.881969495,2.575759061,2.763157895,-0.06782053,Common Flameback
Dinopium javanense,647606746,18.069,79.77,33.362,21,7.6,4.756788266,4.116192075,4.436490171,2.391043702,2.763157895,-0.134669898,Common Flameback
Dinopium javanense,647629121,29.341,120.603,32.39,21,7.6,5.109002264,6.884581661,5.996791962,3.723464032,2.763157895,0.347539364,Common Flameback
Dinopium javanense,647726990,21.095,100.672,40.234,21,7.6,4.40037945,3.984739275,4.192559363,2.50216235,2.763157895,-0.09445553,Common Flameback
Dinopium javanense,647741080,25.739,104.944,39.051,21,7.6,5.150546958,5.009254565,5.079900761,2.687357558,2.763157895,-0.027432503,Common Flameback
Dinopium javanense,647876012,19.508,128.007,58.054,21,7.6,3.200356231,2.553842974,2.877099602,2.204964344,2.763157895,-0.202012904,Common Flameback
Dinopium javanense,648036889,26.002,158.761,63.232,21,7.6,3.439396325,3.125240385,3.282318355,2.510769863,2.763157895,-0.09134043,Common Flameback
Dinopium javanense,648129616,19.003,96.5,36.667,21,7.6,4.135367876,3.938767829,4.037067853,2.631794256,2.763157895,-0.047541126,Common Flameback
Dinopium javanense,648286824,24.839,131.264,49.543,21,7.6,3.973816126,3.810354641,3.892085384,2.649496397,2.763157895,-0.041134637,Common Flameback
Dinopium javanense,648304919,18.187,111.916,42.781,21,7.6,3.412621966,3.230901568,3.321761767,2.616021131,2.763157895,-0.053249495,Common Flameback
Dinopium javanense,421079981,26.108,127.783,40.362,21,7.6,4.290617688,4.916029929,4.603323808,3.165923393,2.763157895,0.145762752,Common Flameback
Dinopium javanense,267248611,21.842,94.279,30.663,21,7.6,4.865155549,5.413664677,5.139410113,3.074682843,2.763157895,0.112742362,Common Flameback
Dinopium javanense,638133262,28.074,134.737,56.08,21,7.6,4.375590966,3.804607703,4.090099335,2.402585592,2.763157895,-0.130492833,Common Flameback
Dinopium javanense,162757801,37.043,127.077,53.127,21,7.6,6.121509006,5.299128503,5.710318755,2.391947597,2.763157895,-0.134342774,Common Flameback
Dinopium javanense,632531951,23.6,89.669,34.413,21,7.6,5.526993721,5.211983843,5.369488782,2.605672275,2.763157895,-0.056994796,Common Flameback
Dinopium javanense,613496495,32.007,128.082,44.635,21,7.6,5.247786574,5.44983085,5.348808712,2.869541839,2.763157895,0.038500856,Common Flameback
Dinopium javanense,475002201,31.563,129.636,43.433,21,7.6,5.112954735,5.522961803,5.317958269,2.984735109,2.763157895,0.080189849,Common Flameback
Dumetia atriceps,325828981,43.82,80.797,43.417,7.8,4,4.230305581,4.037128314,4.133716947,1.860953083,1.95,-0.045665086,Dark-fronted Babbler
Dumetia atriceps,108135201,48.686,102.706,49.5,7.8,4,3.697454871,3.934222222,3.815838547,2.074868687,1.95,0.064035224,Dark-fronted Babbler
Dumetia atriceps,311572401,49.641,98.593,56.206,7.8,4,3.92725447,3.532790094,3.730022282,1.754136569,1.95,-0.100442785,Dark-fronted Babbler
Dumetia atriceps,229583411,35.668,72.407,43.338,7.8,4,3.842313588,3.292076238,3.567194913,1.670750842,1.95,-0.143204696,Dark-fronted Babbler
Dumetia atriceps,189105921,29.759,55.365,30.501,7.8,4,4.192544026,3.902691715,4.047617871,1.815186387,1.95,-0.069135186,Dark-fronted Babbler
Dumetia atriceps,644365547,56.55,104.715,57.268,7.8,4,4.212290503,3.949849829,4.081070166,1.828508067,1.95,-0.062303555,Dark-fronted Babbler
Dumetia atriceps,631680158,56.025,103.462,64.479,7.8,4,4.223724653,3.475550179,3.849637416,1.604584438,1.95,-0.177136185,Dark-fronted Babbler
Dumetia atriceps,628418710,61.561,108.042,57.016,7.8,4,4.444343866,4.318857864,4.381600865,1.894941771,1.95,-0.028234989,Dark-fronted Babbler
Dumetia atriceps,612284712,45.775,85.803,41.123,7.8,4,4.161218139,4.45249617,4.306857155,2.086496608,1.95,0.06999826,Dark-fronted Babbler
Dumetia atriceps,611196223,43.018,81.749,44.682,7.8,4,4.104519933,3.851036211,3.977778072,1.82957343,1.95,-0.061757215,Dark-fronted Babbler
Dumetia atriceps,532313681,45.624,96.998,50.187,7.8,4,3.668809666,3.636320163,3.652564914,1.932731584,1.95,-0.008855598,Dark-fronted Babbler
Dumetia atriceps,525518641,35.504,78.044,47.019,7.8,4,3.548398339,3.02039601,3.284397175,1.659839639,1.95,-0.148800185,Dark-fronted Babbler
Dumetia atriceps,78389831,46.209,83.726,46.055,7.8,4,4.304877816,4.013375312,4.159126564,1.817956791,1.95,-0.067714466,Dark-fronted Babbler
Dumetia atriceps,206170681,40.368,77.377,45.524,7.8,4,4.069302247,3.546964239,3.808133243,1.699696863,1.95,-0.128360583,Dark-fronted Babbler
Dumetia atriceps,204332801,46.146,83.053,48.472,7.8,4,4.333844653,3.808054134,4.070949394,1.713422182,1.95,-0.121321958,Dark-fronted Babbler
Dumetia atriceps,619989864,31.167,57.176,30.751,7.8,4,4.251829439,4.054112061,4.15297075,1.859321648,1.95,-0.046501719,Dark-fronted Babbler
Dumetia atriceps,615091837,43.276,69.879,42.012,7.8,4,4.830532778,4.120346568,4.475439673,1.663310483,1.95,-0.147020265,Dark-fronted Babbler
Dumetia atriceps,291742701,57.976,120.104,63.236,7.8,4,3.765176847,3.667278133,3.71622749,1.899297868,1.95,-0.026001093,Dark-fronted Babbler
Rubigula gularis,644012459,40.535,79.107,39.806,7.3,3.8,3.740572895,3.869592524,3.805082709,1.98731347,1.921052632,0.034491943,Flame-throated Bulbul
Rubigula gularis,288474271,41.345,87.932,45.001,7.3,3.8,3.432407997,3.491277972,3.461842984,1.954001022,1.921052632,0.017151217,Flame-throated Bulbul
Rubigula gularis,524308861,46.597,87.174,42.668,7.3,3.8,3.9020591,4.149915628,4.025987364,2.043076779,1.921052632,0.063519419,Flame-throated Bulbul
Rubigula gularis,628522436,41.183,83.417,45.025,7.3,3.8,3.604012372,3.475744586,3.539878479,1.852681843,1.921052632,-0.035590273,Flame-throated Bulbul
Rubigula gularis,611196207,53.009,91.537,52.866,7.3,3.8,4.227423883,3.810278818,4.018851351,1.731490939,1.921052632,-0.098675949,Flame-throated Bulbul
Rubigula gularis,205941921,41.627,80.159,45.522,7.3,3.8,3.790929278,3.474860507,3.632894893,1.760884847,1.921052632,-0.083375011,Flame-throated Bulbul
Rubigula gularis,626787193,36.008,70.412,37.357,7.3,3.8,3.733147759,3.66277806,3.69796291,1.88484086,1.921052632,-0.018849963,Flame-throated Bulbul
Rubigula gularis,630909508,52.35,90.667,49.361,7.3,3.8,4.214929357,4.030104739,4.122517048,1.836814489,1.921052632,-0.043849992,Flame-throated Bulbul
Rubigula gularis,352779401,43.846,95.012,48.51,7.3,3.8,3.368793416,3.434648526,3.401720971,1.958606473,1.921052632,0.019548575,Flame-throated Bulbul
