Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Hypsipetes ganeesa,Sample 1,29.61,105.69,42.43,16.1,5.8,4.51,4.05,4.28,2.49,2.78,-0.1
Hypsipetes ganeesa,443442661,31.05,80.231,37.855,16.1,5.8,6.23,4.76,5.49,2.12,2.78,-0.24
Hypsipetes ganeesa,112946431,24.03,45.364,20.756,16.1,5.8,8.53,6.71,7.62,2.19,2.78,-0.21
Hypsipetes ganeesa,67108501,28.71,103.741,43.041,16.1,5.8,4.46,3.87,4.16,2.41,2.78,-0.13
Dicrurus leucophaeus,446965811,59.55,142.854,78.232,16.7,8.4,6.96,6.39,6.68,1.83,1.99,-0.08
Dicrurus leucophaeus,399978521,90.87,251.803,134.082,16.7,8.4,6.03,5.69,5.86,1.88,1.99,-0.06
Dicrurus leucophaeus,134959491,100.62,240.352,107.49,16.7,8.4,6.99,7.86,7.43,2.24,1.99,0.12
Dicrurus leucophaeus,82979511,36.69,107.019,53.151,16.7,8.4,5.73,5.8,5.76,2.01,1.99,0.01
Dicrurus leucophaeus,427263061,63.35,149.084,77.026,16.7,8.4,7.1,6.91,7,1.94,1.99,-0.03
Dicrurus leucophaeus,78392681,82.74,212.05,108.904,16.7,8.4,6.52,6.38,6.45,1.95,1.99,-0.02
Dicrurus leucophaeus,613970370,55.16,132.981,72.993,16.7,8.4,6.93,6.35,6.64,1.82,1.99,-0.08
Dicrurus leucophaeus,328585531,38.43,111.513,61.337,16.7,8.4,5.75,5.26,5.51,1.82,1.99,-0.09
Dicrurus leucophaeus,165497151,51.68,136.618,67.696,16.7,8.4,6.32,6.41,6.37,2.02,1.99,0.02
Dicrurus leucophaeus,402921371,58.06,157.868,81.988,16.7,8.4,6.14,5.95,6.05,1.93,1.99,-0.03
Dicrurus leucophaeus,504282341,56,163.093,80.006,16.7,8.4,5.73,5.88,5.81,2.04,1.99,0.03
Dicrurus leucophaeus,525410051,42.96,110.027,62.572,16.7,8.4,6.52,5.77,6.14,1.76,1.99,-0.12
Muscicapa dauurica,59418741,109.55,141.057,62.129,7.8,3.5,6.06,6.17,6.11,2.27,2.23,0.02
Muscicapa dauurica,621087668,83.5,131.166,69.378,7.8,3.5,4.97,4.21,4.59,1.89,2.23,-0.15
Muscicapa dauurica,172593161,83.33,123.491,58.199,7.8,3.5,5.26,5.01,5.14,2.12,2.23,-0.05
Muscicapa dauurica,6254530713,70.34,102.068,50.225,7.8,3.5,5.38,4.9,5.14,2.03,2.23,-0.09
Muscicapa dauurica,412469571,62.81,113.553,54.992,7.8,3.5,4.31,4,4.16,2.06,2.23,-0.07
Muscicapa dauurica,628229496,91.79,129.674,66.475,7.8,3.5,5.52,4.83,5.18,1.95,2.23,-0.12
Muscicapa dauurica,631607729,83.81,127.595,64.698,7.8,3.5,5.12,4.53,4.83,1.97,2.23,-0.12
Muscicapa dauurica,532958141,105.73,180.045,75.671,7.8,3.5,4.58,4.89,4.74,2.38,2.23,0.07
Muscicapa dauurica,417627741,96.69,145.191,66.084,7.8,3.5,5.19,5.12,5.16,2.2,2.23,-0.01
Muscicapa dauurica,509944001,78.1,133.094,58.337,7.8,3.5,4.58,4.69,4.63,2.28,2.23,0.02
Muscicapa dauurica,421605901,81.75,130.698,55.946,7.8,3.5,4.88,5.11,5,2.34,2.23,0.05
Muscicapa dauurica,630897608,79.66,120.094,67.225,7.8,3.5,5.17,4.15,4.66,1.79,2.23,-0.2
Muscicapa dauurica,369357441,94.96,130.05,61,7.8,3.5,5.7,5.45,5.57,2.13,2.23,-0.04
Muscicapa dauurica,552105471,74.36,120.619,59.228,7.8,3.5,4.81,4.39,4.6,2.04,2.23,-0.09
