Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	88.1344	88.548972	1050.8	1513.1	88.1344	1312.5	1312.5	462.3	375	0.4146	0.3573	-477	517	517	E:\2020-summer\HP36P1B\20200325_054500.WAV	25-03-2020	05:46:28	25-03-2020	05:46:29	MWTH	0	1	
2	Spectrogram 1	1	300.1382	300.6721185	3866.9	6094.6	60.1382	5531.25	4968.75	2227.7	1968.75	0.5339	0.4693	-213	253	253	E:\2020-summer\HP36P1B\20200325_055000.WAV	25-03-2020	05:51:00	25-03-2020	05:51:01	WBBF	1	0	
3	Spectrogram 1	1	416.206	416.8152952	5296	5800.4	176.206	5625	5625	504.4	281.25	0.6093	0.4213	-240	269	269	E:\2020-summer\HP36P1B\20200325_055000.WAV	25-03-2020	05:52:56	25-03-2020	05:52:57	MWTH	1	0	
4	Spectrogram 1	1	552.5377	556.0552806	2563.9	5127.8	72.5377	3562.5	3656.25	2563.9	1781.25	3.5176	2.7573	-355	411	411	E:\2020-summer\HP36P1B\20200325_055500.WAV	25-03-2020	05:56:13	25-03-2020	05:56:16	IWEY	0	1	
5	Spectrogram 1	1	634.8995	635.9610556	2143.6	3572.7	154.8995	2906.25	2906.25	1429.1	1218.75	1.0616	0.9493	-392	344	392	E:\2020-summer\HP36P1B\20200325_055500.WAV	25-03-2020	05:57:35	25-03-2020	05:57:36	BCFU	1	0	
6	Spectrogram 1	1	642.0038	643.3291741	1513.1	3530.6	162.0038	2343.75	2625	2017.5	1593.75	1.3254	1.2267	-302	349	349	E:\2020-summer\HP36P1B\20200325_055500.WAV	25-03-2020	05:57:42	25-03-2020	05:57:43	YBBU	0	1	
8	Spectrogram 1	1	641.0616	641.9409952	2017.5	3152.4	161.0616	2343.75	2625	1134.9	843.75	0.8794	0.7627	-627	1065	1065	E:\2020-summer\HP36P1B\20200325_055500.WAV	25-03-2020	05:57:41	25-03-2020	05:57:42	OHTH	1	0	
9	Spectrogram 1	1	722.0289	722.7638231	3614.7	5001.8	2.0289	3843.75	4031.25	1387.1	937.5	0.7349	0.6133	-386	369	386	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:00:02	25-03-2020	06:00:03	GHCF	1	0	
10	Spectrogram 1	1	781.8593	782.4371882	7187.4	9246.9	61.8593	7781.25	8156.25	2059.5	1781.25	0.5779	0.512	-388	443	443	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:01:02	25-03-2020	06:01:02	BBFL	1	0	
11	Spectrogram 1	1	804.5289	805.7223649	4035	6767.1	84.5289	4125	5437.5	2732.1	2250	1.1935	1.0827	-553	649	649	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:01:25	25-03-2020	06:01:26	ABFL	1	0	
12	Spectrogram 1	1	816.1306	816.3253232	882.7	1345	96.1306	1125	1125	462.3	375	0.1947	0.1653	-459	547	547	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:01:36	25-03-2020	06:01:36	WCBA	1	0	
13	Spectrogram 1	1	825.1005	826.3065276	1092.8	1681.3	105.1005	1312.5	1312.5	588.5	468.75	1.206	1.0187	-689	703	703	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:01:45	25-03-2020	06:01:46	GRJU	1	0	
14	Spectrogram 1	1	778.2663	778.4358976	1933.5	3698.8	58.2663	2812.5	2718.75	1765.3	1500	0.1696	0.1547	-352	336	352	E:\2020-summer\HP36P1B\20200325_060000.WAV	25-03-2020	06:00:58	25-03-2020	06:00:58	AFBL	1	0	
