Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	22.6947	23.02133249	3152.4	4035	22.6947	3656.25	3468.75	882.6	750	0.3266	0.2933	-1057	1236	1236	E:\2020-summer\HP4008R\20200311_053000.WAV	11-03-2020	05:30:23	11-03-2020	05:30:23	STBU	1	0	
4	Spectrogram 1	1	240.1696	240.2449767	693.5	1345	0.1696	1218.75	1125	651.5	562.5	0.0754	0.064	-308	273	308	E:\2020-summer\HP4008R\20200311_053500.WAV	11-03-2020	05:35:00	11-03-2020	05:35:00	JUNI	1	0	
6	Spectrogram 1	1	473.4359	474.2399184	1134.9	1597.2	233.4359	1500	1312.5	462.3	375	0.804	0.7307	-929	886	929	E:\2020-summer\HP4008R\20200311_053500.WAV	11-03-2020	05:38:53	11-03-2020	05:38:54	MWTH	0	1	
7	Spectrogram 1	1	565.0314	565.1193395	1555.2	3068.3	85.0314	2718.75	2437.5	1513.1	1218.75	0.0879	0.064	-329	334	334	E:\2020-summer\HP4008R\20200311_054000.WAV	11-03-2020	05:41:25	11-03-2020	05:41:25	YBBU	1	0	
8	Spectrogram 1	1	759.108	759.8806115	2143.6	3404.6	39.108	2625	2812.5	1261	1125	0.7726	0.6933	-551	560	560	E:\2020-summer\HP4008R\20200311_055500.WAV	11-03-2020	05:55:39	11-03-2020	05:55:40	BCFU	1	0	
10	Spectrogram 1	1	962.9648	965.6155482	2732	4329.2	2.9648	3750	3562.5	1597.2	1218.75	2.6507	2.2293	-1231	1180	1231	E:\2020-summer\HP4008R\20200311_060000.WAV	11-03-2020	06:00:03	11-03-2020	06:00:06	IWEY	0	1	
11	Spectrogram 1	1	966.8216	967.5376856	1849.4	2606	6.8216	2437.5	2250	756.6	656.25	0.7161	0.6133	-940	1079	1079	E:\2020-summer\HP4008R\20200311_060000.WAV	11-03-2020	06:00:07	11-03-2020	06:00:08	WBBF	1	0	
12	Spectrogram 1	1	984.598	985.0816673	1639.2	3236.4	24.598	1781.25	1781.25	1597.2	750	0.4837	0.384	-2974	2837	2974	E:\2020-summer\HP4008R\20200311_060000.WAV	11-03-2020	06:00:25	11-03-2020	06:00:25	RWBU	1	0	
14	Spectrogram 1	1	1167.456	1167.788914	1134.9	1597.2	207.456	1312.5	1406.25	462.3	375	0.3329	0.288	-496	532	532	E:\2020-summer\HP4008R\20200311_060000.WAV	11-03-2020	06:03:27	11-03-2020	06:03:28	WCBA	1	0	
15	Spectrogram 1	1	1234.7362	1235.483686	1807.4	5968.5	34.7362	2062.5	2812.5	4161.1	3468.75	0.7475	0.6507	-554	642	642	E:\2020-summer\HP4008R\20200311_060500.WAV	11-03-2020	06:05:35	11-03-2020	06:05:35	ASDR	1	0	
16	Spectrogram 1	1	1368.0653	1369.026353	693.5	987.7	168.0653	843.75	843.75	294.2	187.5	0.9611	0.8587	-1110	1241	1241	E:\2020-summer\HP4008R\20200311_060500.WAV	11-03-2020	06:07:48	11-03-2020	06:07:49	ISBA	1	0	
17	Spectrogram 1	1	1398.8128	1399.026367	966.7	1555.2	198.8128	1218.75	1218.75	588.5	375	0.2136	0.1707	-1061	1421	1421	E:\2020-summer\HP4008R\20200311_060500.WAV	11-03-2020	06:08:19	11-03-2020	06:08:19	LBCR	1	0	
18	Spectrogram 1	1	1402.3744	1402.531435	5674.3	7986	202.3744	6937.5	6843.75	2311.7	1875	0.157	0.1333	-1017	1039	1039	E:\2020-summer\HP4008R\20200311_060500.WAV	11-03-2020	06:08:22	11-03-2020	06:08:23	CBSU	1	0	
19	Spectrogram 1	1	1441.809	1442.022567	3740.8	6052.5	1.809	3843.75	3843.75	2311.7	656.25	0.2136	0.144	-991	1045	1045	E:\2020-summer\HP4008R\20200311_061000.WAV	11-03-2020	06:10:02	11-03-2020	06:10:02	CORO	1	0	
20	Spectrogram 1	1	1464.5791	1464.880607	1134.9	2185.6	24.5791	1968.75	1968.75	1050.7	562.5	0.3015	0.1653	-1309	1520	1520	E:\2020-summer\HP4008R\20200311_061000.WAV	11-03-2020	06:10:25	11-03-2020	06:10:25	GRTD	1	0	
21	Spectrogram 1	1	1540.1696	1540.728644	4749.6	9667.3	100.1696	9187.5	8437.5	4917.7	2906.25	0.559	0.496	-3803	4107	4107	E:\2020-summer\HP4008R\20200311_061000.WAV	11-03-2020	06:11:40	11-03-2020	06:11:41	TBWA	1	0	verify
22	Spectrogram 1	1	1564.189	1564.961611	2311.7	3446.6	124.189	3187.5	3093.75	1134.9	750	0.7726	0.656	-1982	2443	2443	E:\2020-summer\HP4008R\20200311_061000.WAV	11-03-2020	06:12:04	11-03-2020	06:12:05	INBL	1	0	
23	Spectrogram 1	1	1636.8279	1639.334176	189.1	567.4	196.8279	375	375	378.3	281.25	2.5063	2.1227	-1631	1868	1868	E:\2020-summer\HP4008R\20200311_061000.WAV	11-03-2020	06:13:17	11-03-2020	06:13:19	GRCO	1	0	
24	Spectrogram 1	1	1680.5967	1680.703484	5085.8	7649.7	0.5967	7031.25	6843.75	2563.9	1687.5	0.1068	0.0747	-859	774	859	E:\2020-summer\HP4008R\20200311_061500.WAV	11-03-2020	06:15:01	11-03-2020	06:15:01	NIFP	1	0	
25	Spectrogram 1	1	1702.7575	1703.61177	1008.8	1597.2	22.7575	1312.5	1312.5	588.4	562.5	0.8543	0.752	-1366	1557	1557	E:\2020-summer\HP4008R\20200311_061500.WAV	11-03-2020	06:15:23	11-03-2020	06:15:24	GRJU	1	0	
28	Spectrogram 1	1	2051.9786	2052.072821	2437.8	4707.5	131.9786	2906.25	2906.25	2269.7	1781.25	0.0942	0.0747	-433	468	468	E:\2020-summer\HP4008R\20200311_062000.WAV	11-03-2020	06:22:12	11-03-2020	06:22:12	AFBL	1	0	
29	Spectrogram 1	1	2137.3178	2137.468553	1134.9	2269.7	217.3178	1968.75	1875	1134.8	750	0.1508	0.1173	-427	488	488	E:\2020-summer\HP4008R\20200311_062000.WAV	11-03-2020	06:23:37	11-03-2020	06:23:37	RESP	1	0	
30	Spectrogram 1	1	2167.7324	2169.616818	3488.6	5380	7.7324	4312.5	4406.25	1891.4	1593.75	1.8844	1.744	-894	802	894	E:\2020-summer\HP4008R\20200311_062500.WAV	11-03-2020	06:25:08	11-03-2020	06:25:10	ORMI	1	0	
31	Spectrogram 1	1	2223.5992	2223.731109	5464.1	7313.5	63.5992	5906.25	6000	1849.4	843.75	0.1319	0.0907	-860	816	860	E:\2020-summer\HP4008R\20200311_062500.WAV	11-03-2020	06:26:04	11-03-2020	06:26:04	IBRO	1	0	
32	Spectrogram 1	1	2269.5917	2269.999991	2269.7	4749.6	109.5917	3375	3468.75	2479.9	1968.75	0.4083	0.3573	-490	586	586	E:\2020-summer\HP4008R\20200311_062500.WAV	11-03-2020	06:26:50	11-03-2020	06:26:50	SHMY	1	0	
33	Spectrogram 1	1	2436.1432	2436.476114	6052.5	7944	36.1432	7125	7125	1891.5	1500	0.3329	0.288	-1251	1492	1492	E:\2020-summer\HP4008R\20200311_063000.WAV	11-03-2020	06:30:36	11-03-2020	06:30:36	VHPA	1	0	
34	Spectrogram 1	1	2464.0012	2464.22733	4203.2	8196.1	64.0012	6187.5	6281.25	3992.9	3281.25	0.2261	0.1653	-526	568	568	E:\2020-summer\HP4008R\20200311_063000.WAV	11-03-2020	06:31:04	11-03-2020	06:31:04	GRNW	1	0	
35	Spectrogram 1	1	2594.4535	2595.847969	2816.1	5169.9	194.4535	3468.75	3562.5	2353.8	1968.75	1.3945	1.0133	-1191	1155	1191	E:\2020-summer\HP4008R\20200311_063000.WAV	11-03-2020	06:33:14	11-03-2020	06:33:16	HSWO	1	0	
