Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	78.8945	79.29022782	1452	3160.1	78.8945	2156.25	2156.25	1708.1	1406.25	0.3957	0.3467	-511	719	719	E:\2020-summer\HP4008U\20200314_054000.WAV	14-03-2020	05:41:19	14-03-2020	05:41:19	RWBU	1	0	
2	Spectrogram 1	1	348.3857	350.0000182	1366.5	2946.6	108.3857	1593.75	1968.75	1580.1	1312.5	1.6143	1.408	-2019	2350	2350	E:\2020-summer\HP4008U\20200314_054500.WAV	14-03-2020	05:46:48	14-03-2020	05:46:50	GRTD	1	0	
3	Spectrogram 1	1	530.7726	532.1105369	1768.4	2694.7	50.7726	2062.5	2156.25	926.3	843.75	1.3379	1.2107	-427	409	427	E:\2020-summer\HP4008U\20200314_055000.WAV	14-03-2020	05:50:51	14-03-2020	05:50:52	YBBU	1	0	
5	Spectrogram 1	1	750.9359	751.2059999	399.3	735.6	30.9359	562.5	562.5	336.3	187.5	0.2701	0.24	-1615	1852	1852	E:\2020-summer\HP4008U\20200314_055500.WAV	14-03-2020	05:55:31	14-03-2020	05:55:31	SPDO	1	0	
6	Spectrogram 1	1	747.745	748.2098232	5290.3	5617.2	27.745	5437.5	5437.5	326.9	187.5	0.4648	0.3307	-672	580	672	E:\2020-summer\HP4008U\20200314_055500.WAV	14-03-2020	05:55:28	14-03-2020	05:55:28	MWTH	1	0	
7	Spectrogram 1	1	871.5892	872.3994998	1260.9	1723.3	151.5892	1406.25	1500	462.4	375	0.8103	0.736	-1997	1962	1997	E:\2020-summer\HP4008U\20200314_055500.WAV	14-03-2020	05:57:32	14-03-2020	05:57:32	MWTH	0	1	
8	Spectrogram 1	1	1043.1972	1043.850465	1681.3	2774.1	83.1972	2437.5	2437.5	1092.8	843.75	0.6533	0.5653	-1739	1876	1876	E:\2020-summer\HP4008U\20200314_060000.WAV	14-03-2020	06:01:23	14-03-2020	06:01:24	BCFU	1	0	
9	Spectrogram 1	1	1038.1093	1038.228646	3068.3	4455.3	78.1093	3937.5	3750	1387	843.75	0.1193	0.0747	-1941	1769	1941	E:\2020-summer\HP4008U\20200314_060000.WAV	14-03-2020	06:01:18	14-03-2020	06:01:18	STBU	1	0	
10	Spectrogram 1	1	1177.5314	1179.466069	3152.4	4539.4	217.5314	3375	3468.75	1387	1125	1.9347	1.6267	-2235	2359	2359	E:\2020-summer\HP4008U\20200314_060000.WAV	14-03-2020	06:03:38	14-03-2020	06:03:39	IWEY	0	1	
11	Spectrogram 1	1	1254.5037	1255.640632	1050.8	1597.2	54.5037	1500	1500	546.4	281.25	1.1369	0.3147	-988	987	988	E:\2020-summer\HP4008U\20200314_060500.WAV	14-03-2020	06:05:55	14-03-2020	06:05:56	GRJU	1	0	
12	Spectrogram 1	1	1330.402	1330.483658	462.3	966.7	130.402	750	750	504.4	468.75	0.0817	0.0587	-635	653	653	E:\2020-summer\HP4008U\20200314_060500.WAV	14-03-2020	06:07:10	14-03-2020	06:07:10	GRHO	1	0	
13	Spectrogram 1	1	1261.9786	1262.74493	3530.6	5001.8	61.9786	4968.75	4875	1471.2	1406.25	0.7663	0.6667	-1962	2044	2044	E:\2020-summer\HP4008U\20200314_060500.WAV	14-03-2020	06:06:02	14-03-2020	06:06:03	GHCF	1	0	
14	Spectrogram 1	1	1364.9246	1365.50877	1513.1	2732	164.9246	2531.25	2437.5	1218.9	937.5	0.5842	0.5013	-719	774	774	E:\2020-summer\HP4008U\20200314_060500.WAV	14-03-2020	06:07:45	14-03-2020	06:07:46	PTBA	1	0	
