Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	0.201	0.332909273	356.6	1723.8	0.201	1125	1031.25	1367.2	1031.25	0.1319	0.1067	-361	441	441	E:\2020-summer\INBS04R\20200324_053000.WAV	24-03-2020	05:30:00	24-03-2020	05:30:00	GRHO	1	0	
2	Spectrogram 1	1	130.1382	131.1871928	1639.2	2353.8	130.1382	1781.25	1968.75	714.6	656.25	1.049	0.928	-525	577	577	E:\2020-summer\INBS04R\20200324_053000.WAV	24-03-2020	05:32:10	24-03-2020	05:32:11	MWTH	0	1	
3	Spectrogram 1	1	357.299	357.6696022	882.7	1597.2	117.299	1500	1406.25	714.5	562.5	0.3706	0.3147	-493	671	671	E:\2020-summer\INBS04R\20200324_053500.WAV	24-03-2020	05:36:57	24-03-2020	05:36:58	UK	1	0	
5	Spectrogram 1	1	587.1671	587.4686069	8448.3	8952.7	107.1671	8718.75	8718.75	504.4	187.5	0.3015	0.208	-1045	754	1045	E:\2020-summer\INBS04R\20200324_055000.WAV	24-03-2020	05:51:47	24-03-2020	05:51:47	SPPI	1	0	
6	Spectrogram 1	1	678.5867	679.0075534	2059.5	4245.2	198.5867	3093.75	2906.25	2185.7	1125	0.4209	0.352	-485	582	582	E:\2020-summer\INBS04R\20200324_055000.WAV	24-03-2020	05:53:19	24-03-2020	05:53:19	OHTH	1	0	
7	Spectrogram 1	1	706.696	706.9723813	2269.7	3446.6	226.696	2812.5	2906.25	1176.9	843.75	0.2764	0.2293	-417	430	430	E:\2020-summer\INBS04R\20200324_055000.WAV	24-03-2020	05:53:47	24-03-2020	05:53:47	STBU	1	0	
8	Spectrogram 1	1	730.1884	730.6406604	2185.6	3488.6	10.1884	3187.5	3093.75	1303	1031.25	0.4523	0.4	-535	476	535	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:55:10	24-03-2020	05:55:11	YBBU	1	0	
9	Spectrogram 1	1	733.995	734.7362045	1849.4	3194.4	13.995	2437.5	2437.5	1345	1125	0.7412	0.6613	-516	535	535	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:55:14	24-03-2020	05:55:15	BCFU	1	0	
10	Spectrogram 1	1	738.2098	739.1268835	1891.4	3362.5	18.2098	2437.5	2531.25	1471.1	1125	0.9171	0.7947	-472	549	549	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:55:18	24-03-2020	05:55:19	SHMY	1	0	
11	Spectrogram 1	1	781.25	781.8592952	4497.4	6725	61.25	5437.5	5531.25	2227.6	1781.25	0.6093	0.5227	-1199	1136	1199	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:56:01	24-03-2020	05:56:02	BWFS	1	0	
12	Spectrogram 1	1	863.0904	864.1833625	1008.8	1597.2	143.0904	1312.5	1312.5	588.4	468.75	1.093	0.9707	-668	764	764	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:57:23	24-03-2020	05:57:24	GRJU	1	0	
14	Spectrogram 1	1	865.6972	866.7085044	1849.4	3698.8	145.6972	2625	2625	1849.4	1218.75	1.0113	0.9013	-896	942	942	E:\2020-summer\INBS04R\20200324_055500.WAV	24-03-2020	05:57:26	24-03-2020	05:57:27	RWBU	1	0	
15	Spectrogram 1	1	961.6646	962.2738952	7944	10087.6	1.6646	9375	8812.5	2143.6	1781.25	0.6093	0.5013	-920	901	920	E:\2020-summer\INBS04R\20200324_060000.WAV	24-03-2020	06:00:02	24-03-2020	06:00:02	BBFL	1	0	
16	Spectrogram 1	1	963.5553	963.7248976	2227.7	5338	3.5553	2531.25	3000	3110.3	2625	0.1696	0.1387	-1067	1319	1319	E:\2020-summer\INBS04R\20200324_060000.WAV	24-03-2020	06:00:04	24-03-2020	06:00:04	GRTD	1	0	
17	Spectrogram 1	1	1055.8229	1056.31913	630.5	1218.9	95.8229	1031.25	1031.25	588.4	281.25	0.4962	0.3947	-607	631	631	E:\2020-summer\INBS04R\20200324_060000.WAV	24-03-2020	06:01:36	24-03-2020	06:01:36	SBEO	1	0	
18	Spectrogram 1	1	1117.1859	1117.883135	5127.8	6683	157.1859	5343.75	5812.5	1555.2	1312.5	0.6972	0.6133	-636	809	809	E:\2020-summer\INBS04R\20200324_060000.WAV	24-03-2020	06:02:37	24-03-2020	06:02:38	WBBF	1	0	
