Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	3.9259	3.98871394	170.8	811.4	3.9259	375	375	640.6	562.5	0.0628	0.0427	-1194	1064	1194	E:\2020-summer\INBS04U\20200307_053000.WAV	07-03-2020	05:30:04	07-03-2020	05:30:04	GRHO	1	0	
2	Spectrogram 1	1	259.0892	259.6922138	1366.5	2092.5	19.0892	1500	1687.5	726	656.25	0.603	0.5227	-2378	2287	2378	E:\2020-summer\INBS04U\20200307_053500.WAV	07-03-2020	05:35:19	07-03-2020	05:35:20	MWTH	0	1	
3	Spectrogram 1	1	566.7336	566.8843535	939.5	1708.2	86.7336	1218.75	1312.5	768.7	562.5	0.1508	0.1173	-1076	1081	1081	E:\2020-summer\INBS04U\20200307_055000.WAV	07-03-2020	05:51:27	07-03-2020	05:51:27	LBCR	1	0	
4	Spectrogram 1	1	729.2148	729.3027395	378.3	1303	9.2148	562.5	750	924.7	656.25	0.0879	0.0693	-896	734	896	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:10:09	07-03-2020	06:10:09	ISOW	1	0	
5	Spectrogram 1	1	748.5804	748.7499976	8490.4	9036.8	28.5804	8718.75	8718.75	546.4	375	0.1696	0.1333	-862	849	862	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:10:29	07-03-2020	06:10:29	SPPI	1	0	
6	Spectrogram 1	1	756.9221	757.9396858	924.7	1513.1	36.9221	1125	1406.25	588.4	468.75	1.0176	0.8853	-1141	1203	1203	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:10:37	07-03-2020	06:10:38	GRJU	1	0	
7	Spectrogram 1	1	773.6809	774.4535115	2606	3446.6	53.6809	2906.25	2906.25	840.6	562.5	0.7726	0.6453	-1864	1547	1864	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:10:54	07-03-2020	06:10:54	WTKI	1	0	
8	Spectrogram 1	1	777.4246	777.8328906	2059.5	3656.7	57.4246	3375	2812.5	1597.2	1406.25	0.4083	0.3627	-1160	1023	1160	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:10:57	07-03-2020	06:10:58	RWBU	1	0	
9	Spectrogram 1	1	820.804	821.5577673	2353.8	3446.6	100.804	2718.75	2812.5	1092.8	937.5	0.7538	0.6773	-1606	1521	1606	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:11:41	07-03-2020	06:11:42	BCFU	1	0	
10	Spectrogram 1	1	855.0628	855.1758651	1807.4	3656.7	135.0628	2343.75	2625	1849.3	1406.25	0.1131	0.1013	-899	767	899	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:12:15	07-03-2020	06:12:15	YBBU	1	0	
11	Spectrogram 1	1	863.1219	863.2098395	1555.2	2311.7	143.1219	1687.5	1781.25	756.5	656.25	0.0879	0.0747	-867	753	867	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:12:23	07-03-2020	06:12:23	GRTD	1	0	
12	Spectrogram 1	1	873.3543	874.566609	1807.4	2858.1	153.3543	2531.25	2531.25	1050.7	843.75	1.2123	1.088	-1359	1399	1399	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:12:33	07-03-2020	06:12:35	INPI	1	0	
13	Spectrogram 1	1	900.1822	901.9095833	2563.9	3530.6	180.1822	3000	3093.75	966.7	656.25	1.7274	1.6053	-1415	1210	1415	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:13:00	07-03-2020	06:13:02	STBU	1	0	
14	Spectrogram 1	1	940.5905	941.005072	2690	4119.1	220.5905	3750	3281.25	1429.1	1125	0.4146	0.3307	-1141	926	1141	E:\2020-summer\INBS04U\20200307_061000.WAV	07-03-2020	06:13:41	07-03-2020	06:13:41	SHMY	1	0	
15	Spectrogram 1	1	994.4284	994.7801581	525.4	798.6	34.4284	656.25	656.25	273.2	187.5	0.3518	0.304	-977	804	977	E:\2020-summer\INBS04U\20200307_061500.WAV	07-03-2020	06:15:34	07-03-2020	06:15:35	SPDO	1	0	
16	Spectrogram 1	1	1030.0503	1030.508842	8238.2	9499.1	70.0503	9468.75	9375	1260.9	1031.25	0.4585	0.4267	-1127	986	1127	E:\2020-summer\INBS04U\20200307_061500.WAV	07-03-2020	06:16:10	07-03-2020	06:16:11	BBFL	1	0	
17	Spectrogram 1	1	1082.1294	1083.34799	2942.2	4287.2	122.1294	3375	3656.25	1345	1218.75	1.2186	1.04	-1237	1044	1237	E:\2020-summer\INBS04U\20200307_061500.WAV	07-03-2020	06:17:02	07-03-2020	06:17:03	IWEY	0	1	
18	Spectrogram 1	1	1098.0339	1098.442191	714.5	1092.8	138.0339	937.5	937.5	378.3	281.25	0.4083	0.3627	-945	830	945	E:\2020-summer\INBS04U\20200307_061500.WAV	07-03-2020	06:17:18	07-03-2020	06:17:18	ISBA	1	0	
19	Spectrogram 1	1	1171.9786	1172.198449	1040.2	1337.4	211.9786	1218.75	1218.75	297.2	187.5	0.2198	0.1867	-949	752	949	E:\2020-summer\INBS04U\20200307_061500.WAV	07-03-2020	06:18:32	07-03-2020	06:18:32	WCBA	1	0	
