Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	23.599	23.97612237	5380	5968.5	23.599	5625	5625	588.5	281.25	0.3771	0.2507	-1012	1073	1073	E:\2020-summer\INME03R\20200502_053000.WAV	02-05-2020	05:30:24	02-05-2020	05:30:24	MWTH	1	0	
2	Spectrogram 1	1	248.0025	248.241193	2227.7	3278.5	8.0025	2437.5	2531.25	1050.8	937.5	0.2387	0.208	-463	500	500	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:35:08	02-05-2020	05:35:08	RWBU	1	0	
3	Spectrogram 1	1	258.7625	259.3780766	2269.7	3446.6	18.7625	3187.5	3187.5	1176.9	843.75	0.6156	0.5333	-612	516	612	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:35:19	02-05-2020	05:35:19	OHTH	1	0	
4	Spectrogram 1	1	325.8794	326.4447255	2269.7	3614.7	85.8794	2343.75	2812.5	1345	1125	0.5653	0.496	-1148	1065	1148	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:36:26	02-05-2020	05:36:26	CHBE	1	0	
5	Spectrogram 1	1	345.7412	345.979893	1933.5	4035	105.7412	3750	2531.25	2101.5	1781.25	0.2387	0.1867	-631	484	631	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:36:46	02-05-2020	05:36:46	SHMY	1	0	
6	Spectrogram 1	1	365.1131	365.6470185	2732	3740.8	125.1131	3187.5	3375	1008.8	656.25	0.5339	0.4533	-505	529	529	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:37:05	02-05-2020	05:37:06	MAPA	1	0	verify
7	Spectrogram 1	1	384.2022	384.6042092	2059.5	3362.5	144.2022	3187.5	3000	1303	1031.25	0.402	0.3307	-698	598	698	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:37:24	02-05-2020	05:37:25	PTBA	1	0	
8	Spectrogram 1	1	449.1771	449.4032302	3110.3	4413.3	209.1771	4218.75	3656.25	1303	1031.25	0.2261	0.176	-820	707	820	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:38:29	02-05-2020	05:38:29	YBBU	1	0	
9	Spectrogram 1	1	460.8982	461.1117674	3194.4	4455.3	220.8982	4218.75	3843.75	1260.9	1125	0.2136	0.176	-548	471	548	E:\2020-summer\INME03R\20200502_053500.WAV	02-05-2020	05:38:41	02-05-2020	05:38:41	UK	1	0	
10	Spectrogram 1	1	503.5113	503.894465	3068.3	4581.4	23.5113	4218.75	4125	1513.1	1312.5	0.3832	0.3413	-751	527	751	E:\2020-summer\INME03R\20200502_054000.WAV	02-05-2020	05:40:24	02-05-2020	05:40:24	ASDR	1	0	
