Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	81.7525	83.54269728	1281.1	1793.6	81.7525	1406.25	1500	512.5	468.75	1.7902	1.5947	-314	341	341	E:\2020-summer\INME03U\20200314_053000.WAV	14-03-2020	05:31:22	14-03-2020	05:31:24	MWTH	0	1	
2	Spectrogram 1	1	176.9912	177.1042651	3074.7	4484	176.9912	3656.25	3656.25	1409.3	937.5	0.1131	0.1067	-209	236	236	E:\2020-summer\INME03U\20200314_053000.WAV	14-03-2020	05:32:57	14-03-2020	05:32:57	SHIK	1	0	
3	Spectrogram 1	1	261.0616	261.8656184	896.8	1708.2	21.0616	1312.5	1312.5	811.4	656.25	0.804	0.7093	-300	307	307	E:\2020-summer\INME03U\20200314_060000.WAV	14-03-2020	06:00:21	14-03-2020	06:00:22	GRJU	1	0	
4	Spectrogram 1	1	383.1344	383.5552534	2648	4539.4	143.1344	3093.75	3468.75	1891.4	1500	0.4209	0.3253	-341	297	341	E:\2020-summer\INME03U\20200314_060000.WAV	14-03-2020	06:02:23	14-03-2020	06:02:24	SHMY	1	0	
5	Spectrogram 1	1	391.7714	392.1482836	1723.3	3446.6	151.7714	2906.25	2812.5	1723.3	1312.5	0.3769	0.304	-377	337	377	E:\2020-summer\INME03U\20200314_060000.WAV	14-03-2020	06:02:32	14-03-2020	06:02:32	RWBU	1	0	
6	Spectrogram 1	1	407.5188	408.1218138	2395.8	4203.2	167.5188	3468.75	3281.25	1807.4	1031.25	0.603	0.5333	-367	385	385	E:\2020-summer\INME03U\20200314_060000.WAV	14-03-2020	06:02:48	14-03-2020	06:02:48	STBU	1	0	
7	Spectrogram 1	1	403.6809	405.307781	1723.3	3614.7	163.6809	3281.25	3093.75	1891.4	1406.25	1.6269	1.312	-546	522	546	E:\2020-summer\INME03U\20200314_060000.WAV	14-03-2020	06:02:44	14-03-2020	06:02:45	OHTH	0	1	
8	Spectrogram 1	1	481.0616	482.9460182	3236.4	4917.7	1.0616	4031.25	3843.75	1681.3	1218.75	1.8844	1.6533	-514	459	514	E:\2020-summer\INME03U\20200314_060500.WAV	14-03-2020	06:05:01	14-03-2020	06:05:03	IWEY	0	1	
9	Spectrogram 1	1	481.9221	482.7952138	1933.5	3320.5	1.9221	2906.25	2812.5	1387	937.5	0.8731	0.7573	-514	459	514	E:\2020-summer\INME03U\20200314_060500.WAV	14-03-2020	06:05:02	14-03-2020	06:05:03	INPI	1	0	
10	Spectrogram 1	1	607.613	607.8077232	987.7	1303	127.613	1218.75	1218.75	315.3	187.5	0.1947	0.1707	-262	249	262	E:\2020-summer\INME03U\20200314_060500.WAV	14-03-2020	06:07:08	14-03-2020	06:07:08	WCBA	1	0	
11	Spectrogram 1	1	630.4711	631.0552696	714.5	1092.8	150.4711	937.5	937.5	378.3	281.25	0.5842	0.528	-373	412	412	E:\2020-summer\INME03U\20200314_060500.WAV	14-03-2020	06:07:30	14-03-2020	06:07:31	ISBA	1	0	
