Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	2.5942	3.831634608	1176.9	1681.3	2.5942	1218.75	1500	504.4	375	1.2374	1.1093	-2674	2333	2674	E:\2020-summer\INOA03R\20200502_053000.WAV	02-05-2020	05:30:03	02-05-2020	05:30:04	MWTH	0	1	
2	Spectrogram 1	1	196.5012	197.1419022	7103.3	8868.7	196.5012	7406.25	7500	1765.4	1125	0.6407	0.368	-1296	1464	1464	E:\2020-summer\INOA03R\20200502_053000.WAV	02-05-2020	05:33:17	02-05-2020	05:33:17	BBFL	1	0	
3	Spectrogram 1	1	308.907	309.2210697	2648	3362.5	68.907	3093.75	3000	714.5	468.75	0.3141	0.2347	-1087	1283	1283	E:\2020-summer\INOA03R\20200502_053500.WAV	02-05-2020	05:36:09	02-05-2020	05:36:09	SHMY	1	0	
4	Spectrogram 1	1	385.0188	385.7411603	1765.3	4623.5	145.0188	2718.75	3375	2858.2	2250	0.7224	0.6507	-990	1186	1186	E:\2020-summer\INOA03R\20200502_053500.WAV	02-05-2020	05:37:25	02-05-2020	05:37:26	STBU	1	0	
5	Spectrogram 1	1	443.103	443.5050092	1933.5	3362.5	203.103	3187.5	2718.75	1429	1031.25	0.402	0.3467	-1282	1314	1314	E:\2020-summer\INOA03R\20200502_053500.WAV	02-05-2020	05:38:23	02-05-2020	05:38:24	RWBU	1	0	
6	Spectrogram 1	1	628.1721	628.3919488	1933.5	2690	148.1721	2343.75	2250	756.5	468.75	0.2198	0.192	-1033	1110	1110	E:\2020-summer\INOA03R\20200502_054000.WAV	02-05-2020	05:42:28	02-05-2020	05:42:28	YBBU	1	0	
7	Spectrogram 1	1	598.1658	599.3529835	966.7	1597.2	118.1658	1593.75	1312.5	630.5	468.75	1.1872	1.008	-2058	2361	2361	E:\2020-summer\INOA03R\20200502_054000.WAV	02-05-2020	05:41:58	02-05-2020	05:41:59	GRJU	1	0	
8	Spectrogram 1	1	702.9146	703.1407302	1092.8	1429.1	222.9146	1218.75	1218.75	336.3	281.25	0.2261	0.1867	-953	1072	1072	E:\2020-summer\INOA03R\20200502_054000.WAV	02-05-2020	05:43:43	02-05-2020	05:43:43	WCBA	1	0	
9	Spectrogram 1	1	867.9962	868.7750929	713.3	1069.9	147.9962	1031.25	937.5	356.6	187.5	0.7789	0.6827	-1027	1222	1222	E:\2020-summer\INOA03R\20200502_054500.WAV	02-05-2020	05:47:28	02-05-2020	05:47:29	ISBA	1	0	
10	Spectrogram 1	1	918.3731	918.8127976	2648	3404.6	198.3731	3187.5	3093.75	756.6	468.75	0.4397	0.3253	-815	909	909	E:\2020-summer\INOA03R\20200502_054500.WAV	02-05-2020	05:48:18	02-05-2020	05:48:19	PTBA	1	0	
11	Spectrogram 1	1	1155.157	1155.395693	1134.9	1807.4	195.157	1593.75	1593.75	672.5	375	0.2387	0.1973	-818	865	865	E:\2020-summer\INOA03R\20200502_055500.WAV	02-05-2020	05:58:15	02-05-2020	05:58:15	MGHO	1	0	
12	Spectrogram 1	1	1231.853	1232.198477	2269.7	4833.6	31.853	4781.25	4593.75	2563.9	2250	0.3455	0.3093	-1074	1093	1093	E:\2020-summer\INOA03R\20200502_060500.WAV	02-05-2020	06:05:32	02-05-2020	06:05:32	COTA	1	0	
13	Spectrogram 1	1	1670.9548	1672.179672	2059.5	4497.4	230.9548	2718.75	2718.75	2437.9	2062.5	1.2249	0.944	-1101	1398	1398	E:\2020-summer\INOA03R\20200502_060000.WAV	02-05-2020	06:03:51	02-05-2020	06:03:52	OHTH	1	0	
14	Spectrogram 1	1	1260.0251	1261.840423	5506.1	6809.1	60.0251	6093.75	6093.75	1303	1031.25	1.8153	1.6053	-1197	1353	1353	E:\2020-summer\INOA03R\20200502_060500.WAV	02-05-2020	06:06:00	02-05-2020	06:06:02	NIFP	0	1	
15	Spectrogram 1	1	1301.3254	1301.526405	2858.1	3951	101.3254	3281.25	3375	1092.9	750	0.201	0.1653	-1100	1309	1309	E:\2020-summer\INOA03R\20200502_060500.WAV	02-05-2020	06:06:41	02-05-2020	06:06:42	IWEY	1	0	
16	Spectrogram 1	1	1356.3882	1357.518851	1597.2	3446.6	156.3882	2531.25	2531.25	1849.4	1031.25	1.1307	0.8853	-937	966	966	E:\2020-summer\INOA03R\20200502_060500.WAV	02-05-2020	06:07:36	02-05-2020	06:07:38	CSEA	1	0	
17	Spectrogram 1	1	1833.6809	1839.999982	2143.6	4035	153.6809	3093.75	3093.75	1891.4	843.75	6.3191	3.4613	-6237	8274	8274	E:\2020-summer\INOA03R\20200502_061000.WAV	02-05-2020	06:12:34	02-05-2020	06:12:39	WBWO	1	0	
18	Spectrogram 1	1	1857.1859	1857.474844	1008.8	2059.5	177.1859	1593.75	1500	1050.7	750	0.2889	0.2293	-661	815	815	E:\2020-summer\INOA03R\20200502_061000.WAV	02-05-2020	06:12:57	02-05-2020	06:12:57	LBCR	1	0	
19	Spectrogram 1	1	1964.5477	1966.099204	7271.5	8322.2	44.5477	7500	7687.5	1050.7	562.5	1.5515	1.328	-1176	1441	1441	E:\2020-summer\INOA03R\20200502_061500.WAV	02-05-2020	06:15:45	02-05-2020	06:15:46	SPPI	1	0	
20	Spectrogram 1	1	2091.0993	2092.079197	2395.8	3236.4	171.0993	3000	2906.25	840.6	468.75	0.9799	0.8427	-2990	2965	2990	E:\2020-summer\INOA03R\20200502_061500.WAV	02-05-2020	06:17:51	02-05-2020	06:17:52	RUWO	1	0	
21	Spectrogram 1	1	2142.0666	2142.393232	1176.9	1975.5	222.0666	1781.25	1687.5	798.6	562.5	0.3266	0.288	-826	885	885	E:\2020-summer\INOA03R\20200502_061500.WAV	02-05-2020	06:18:42	02-05-2020	06:18:42	GRTD	1	0	
22	Spectrogram 1	1	2232.343	2232.424658	525.4	861.6	72.343	843.75	750	336.2	281.25	0.0817	0.064	-1147	1181	1181	E:\2020-summer\INOA03R\20200502_062000.WAV	02-05-2020	06:21:12	02-05-2020	06:21:12	MABA	1	0	
23	Spectrogram 1	1	2424.397	2425.879409	2816.1	3656.7	24.397	3187.5	3093.75	840.6	656.25	1.4824	1.2373	-1077	1009	1077	E:\2020-summer\INOA03R\20200502_063500.WAV	02-05-2020	06:35:24	02-05-2020	06:35:26	WTKI	1	0	
24	Spectrogram 1	1	2435.9862	2436.275144	1471.1	2648	35.9862	2531.25	2343.75	1176.9	843.75	0.2889	0.2347	-880	1027	1027	E:\2020-summer\INOA03R\20200502_063500.WAV	02-05-2020	06:35:36	02-05-2020	06:35:36	RESP	1	0	
25	Spectrogram 1	1	2839.3467	2839.484891	1555.2	4203.2	199.3467	3843.75	3656.25	2648	2062.5	0.1382	0.112	-1374	1287	1374	E:\2020-summer\INOA03R\20200502_064000.WAV	02-05-2020	06:43:19	02-05-2020	06:43:19	PHPA	1	0	
26	Spectrogram 1	1	3000.4334	3002.047718	4707.5	6851.1	120.4334	5062.5	5062.5	2143.6	1500	1.6143	1.4133	-1136	1103	1136	E:\2020-summer\INOA03R\20200502_065000.WAV	02-05-2020	06:52:00	02-05-2020	06:52:02	VFNU	1	0	
27	Spectrogram 1	1	3035.2889	3035.734879	2648	3614.7	155.2889	3093.75	3093.75	966.7	656.25	0.446	0.3733	-928	1203	1203	E:\2020-summer\INOA03R\20200502_065000.WAV	02-05-2020	06:52:35	02-05-2020	06:52:36	COFL	1	0	
28	Spectrogram 1	1	3167.5314	3168.869337	2353.8	3236.4	47.5314	2625	2718.75	882.6	656.25	1.3379	0.9387	-2568	2079	2568	E:\2020-summer\INOA03R\20200502_065500.WAV	02-05-2020	06:55:48	02-05-2020	06:55:49	GRFL	1	0	
29	Spectrogram 1	1	3472.3178	3472.682121	6851.1	8406.3	112.3178	7687.5	7593.75	1555.2	843.75	0.3643	0.2987	-1002	1309	1309	E:\2020-summer\INOA03R\20200502_070000.WAV	02-05-2020	07:01:52	02-05-2020	07:01:53	VHPA	1	0	
30	Spectrogram 1	1	3816.0992	3817.36176	2017.5	5380	216.0992	4593.75	4500	3362.5	2156.25	1.2626	1.024	-3164	3543	3543	E:\2020-summer\INOA03R\20200502_074000.WAV	02-05-2020	07:43:36	02-05-2020	07:43:37	MAPA	1	0	
31	Spectrogram 1	1	3980.7286	3981.281363	546.4	861.6	140.7286	750	656.25	315.2	281.25	0.5528	0.5067	-1160	1514	1514	E:\2020-summer\INOA03R\20200502_074500.WAV	02-05-2020	07:47:21	02-05-2020	07:47:21	SPDO	1	0	
32	Spectrogram 1	1	4198.6558	4199.189718	504.4	1471.1	118.6558	1031.25	1031.25	966.7	468.75	0.5339	0.4533	-1058	1120	1120	E:\2020-summer\INOA03R\20200502_075500.WAV	02-05-2020	07:56:59	02-05-2020	07:56:59	GRHO	1	0	verify
33	Spectrogram 1	1	4357.6696	4359.69849	3572.7	7859.9	37.6696	6656.25	5343.75	4287.2	2812.5	2.0289	1.76	-4671	3931	4671	E:\2020-summer\INOA03R\20200502_081500.WAV	02-05-2020	08:15:38	02-05-2020	08:15:40	ORMI	0	1	
34	Spectrogram 1	1	4353.147	4354.572876	2690	3656.7	33.147	3281.25	3093.75	966.7	843.75	1.4259	1.296	-3752	2788	3752	E:\2020-summer\INOA03R\20200502_081500.WAV	02-05-2020	08:15:33	02-05-2020	08:15:35	CHBE	1	0	
35	Spectrogram 1	1	4634.8869	4635.979863	1975.5	3320.5	74.8869	2343.75	2531.25	1345	937.5	1.093	0.912	-1729	2343	2343	E:\2020-summer\INOA03R\20200502_082000.WAV	02-05-2020	08:21:15	02-05-2020	08:21:16	MAWO	1		
