Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	132482.4435	132482.701	512.5	1537.4	2.4435	1406.25	1312.5	1024.911	937.5	0.2575	0.192	-1170	940	1170	E:\2020-summer\IPTO06R\20200319_053000.WAV	19-03-2020	05:30:02	19-03-2020	05:30:03	JENI	1	0	
2	Spectrogram 1	1	132561.9095	132561.9786	298.9	1409.3	81.9095	1125	750	1110.32	937.5	0.0691	0.0533	-1295	1094	1295	E:\2020-summer\IPTO06R\20200319_053000.WAV	19-03-2020	05:31:22	19-03-2020	05:31:22	JUNI	1	0	
3	Spectrogram 1	1	133555.8982	133556.3631	854.1	1452	115.8982	1218.75	1218.75	597.865	468.75	0.4648	0.4	-560	534	560	E:\2020-summer\IPTO06R\20200319_055000.WAV	19-03-2020	05:51:56	19-03-2020	05:51:56	INPE	1	0	
4	Spectrogram 1	1	133920.5905	133921.4761	2059.5	4161.1	0.5905	3468.75	2906.25	2101.576	1218.75	0.8857	0.8	-600	830	830	E:\2020-summer\IPTO06R\20200319_060000.WAV	19-03-2020	06:00:01	19-03-2020	06:00:01	STBU	1	0	
5	Spectrogram 1	1	133927.8706	133930	2437.8	5085.8	7.8706	3656.25	3656.25	2647.986	1500	2.1294	1.4293	-1898	1847	1898	E:\2020-summer\IPTO06R\20200319_060000.WAV	19-03-2020	06:00:08	19-03-2020	06:00:09	IWEY	0	1	
6	Spectrogram 1	1	133927.701	133927.9146	1639.2	1975.5	7.701	1968.75	1781.25	336.252	281.25	0.2136	0.1867	-470	577	577	E:\2020-summer\IPTO06R\20200319_060000.WAV	19-03-2020	06:00:08	19-03-2020	06:00:08	MWTH	0	1	
7	Spectrogram 1	1	133974.5666	133975.2136	1849.4	3068.3	54.5666	2718.75	2531.25	1218.914	1031.25	0.647	0.5813	-560	648	648	E:\2020-summer\IPTO06R\20200319_060000.WAV	19-03-2020	06:00:55	19-03-2020	06:00:55	RWBU	1	0	
8	Spectrogram 1	1	133997.0666	133999.711	1933.5	3530.6	77.0666	2437.5	2625	1597.198	1218.75	2.6445	2.2453	-904	1146	1146	E:\2020-summer\IPTO06R\20200319_060000.WAV	19-03-2020	06:01:17	19-03-2020	06:01:20	YBBU	0	1	
9	Spectrogram 1	1	134201.4008	134202.299	924.7	1513.1	41.4008	1312.5	1312.5	588.441	562.5	0.8982	0.816	-2224	2194	2224	E:\2020-summer\IPTO06R\20200319_060500.WAV	19-03-2020	06:05:41	19-03-2020	06:05:42	GRJU	1	0	
10	Spectrogram 1	1	134292.0729	134292.5817	798.6	1176.9	132.0729	937.5	937.5	378.284	281.25	0.5088	0.464	-2103	2086	2103	E:\2020-summer\IPTO06R\20200319_060500.WAV	19-03-2020	06:07:12	19-03-2020	06:07:13	ISBA	1	0	
