Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	238.7437	239.5539998	3501.8	5295.4	238.7437	5062.5	4781.25	1793.6	1406.25	0.8103	0.6347	-612	582	612	E:\2020-summer\IPTO06U\20200315_055500.WAV	15-03-2020	05:58:59	15-03-2020	05:59:00	SHMY	1	0	
2	Spectrogram 1	1	240.3518	240.8982813	1216.8	1804.2	0.3518	1500	1500	587.4	562.5	0.5465	0.5013	-1300	1313	1313	E:\2020-summer\IPTO06U\20200315_060000.WAV	15-03-2020	06:00:00	15-03-2020	06:00:01	MWTH	0	1	
4	Spectrogram 1	1	341.3945	341.6771627	1555.2	3278.5	101.3945	1781.25	1875	1723.3	1406.25	0.2827	0.2347	-547	465	547	E:\2020-summer\IPTO06U\20200315_060000.WAV	15-03-2020	06:01:41	15-03-2020	06:01:42	RWBU	1	0	
5	Spectrogram 1	1	365.157	365.2260953	441.3	840.6	125.157	750	656.25	399.3	281.25	0.0691	0.0533	-276	350	350	E:\2020-summer\IPTO06U\20200315_060000.WAV	15-03-2020	06:02:05	15-03-2020	06:02:05	GRHO	1	0	
6	Spectrogram 1	1	428.4359	429.9245904	2816.1	4455.3	188.4359	4125	3656.25	1639.2	1406.25	1.4887	1.3493	-823	1040	1040	E:\2020-summer\IPTO06U\20200315_060000.WAV	15-03-2020	06:03:08	15-03-2020	06:03:10	IWEY	0	1	
7	Spectrogram 1	1	463.2852	463.6181139	1849.4	3236.4	223.2852	2343.75	2625	1387	1125	0.3329	0.2987	-417	500	500	E:\2020-summer\IPTO06U\20200315_060000.WAV	15-03-2020	06:03:43	15-03-2020	06:03:44	YBBU	1	0	
8	Spectrogram 1	1	652.9899	653.197186	924.7	1429.1	172.9899	1125	1125	504.4	468.75	0.2073	0.176	-418	479	479	E:\2020-summer\IPTO06U\20200315_060500.WAV	15-03-2020	06:07:53	15-03-2020	06:07:53	WCBA	1	0	
9	Spectrogram 1	1	738.6746	739.1394232	2774.1	3908.9	18.6746	3000	3093.75	1134.8	843.75	0.4648	0.4213	-513	668	668	E:\2020-summer\IPTO06U\20200315_061000.WAV	15-03-2020	06:10:19	15-03-2020	06:10:19	STBU	1	0	
10	Spectrogram 1	1	743.4548	743.5364581	5422.1	7397.5	23.4548	7218.75	6937.5	1975.4	1593.75	0.0817	0.0587	-445	450	450	E:\2020-summer\IPTO06U\20200315_061000.WAV	15-03-2020	06:10:23	15-03-2020	06:10:24	NIFP	1	0	
11	Spectrogram 1	1	864.4598	865.3077882	777.6	1029.8	144.4598	843.75	937.5	252.2	93.75	0.848	0.7307	-1274	1464	1464	E:\2020-summer\IPTO06U\20200315_061000.WAV	15-03-2020	06:12:24	15-03-2020	06:12:25	ISBA	1	0	
