Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	20.5465	20.82288133	1555.2	1933.5	20.5465	1875	1687.5	378.3	281.25	0.2764	0.224	-1381	1547	1547	E:\2020-summer\OLCAP3B\20200503_053000.WAV	03-05-2020	05:30:21	03-05-2020	05:30:21	MWTH	0	1	
2	Spectrogram 1	1	22.8455	22.91459533	336.3	924.7	22.8455	750	750	588.4	468.75	0.0691	0.0533	-1612	1645	1645	E:\2020-summer\OLCAP3B\20200503_053000.WAV	03-05-2020	05:30:23	03-05-2020	05:30:23	GRHO	1	0	
3	Spectrogram 1	1	113.2098	113.7185929	4665.5	7944	113.2098	4968.75	4875	3278.5	1125	0.5088	0.4267	-1696	1788	1788	E:\2020-summer\OLCAP3B\20200503_053000.WAV	03-05-2020	05:31:53	03-05-2020	05:31:54	WBBF	1	0	
4	Spectrogram 1	1	445.6784	447.5502554	1681.3	6598.9	205.6784	4875	4968.75	4917.6	3468.75	1.8719	1.7013	-2428	2340	2428	E:\2020-summer\OLCAP3B\20200503_054000.WAV	03-05-2020	05:43:26	03-05-2020	05:43:28	SHMY	1	0	
5	Spectrogram 1	1	482.5188	482.6883976	1429.1	4245.2	2.5188	1687.5	1687.5	2816.1	375	0.1696	0.1387	-2821	2816	2821	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:45:03	03-05-2020	05:45:03	AFBL	1	0	
6	Spectrogram 1	1	497.4309	498.021351	2017.5	3320.5	17.4309	3093.75	2906.25	1303	843.75	0.5905	0.5173	-1564	1738	1738	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:45:17	03-05-2020	05:45:18	PTBA	1	0	
7	Spectrogram 1	1	499.1457	499.6168045	2101.6	3824.9	19.1457	3375	2812.5	1723.3	1125	0.4711	0.384	-1532	1846	1846	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:45:19	03-05-2020	05:45:20	RWBU	1	0	
8	Spectrogram 1	1	500	500.4836449	1933.5	2732	20	2437.5	2343.75	798.5	656.25	0.4836	0.432	-1914	1603	1914	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:45:20	03-05-2020	05:45:20	YBBU	1	0	
9	Spectrogram 1	1	542.4498	544.0452741	924.7	1345	62.4498	1218.75	1125	420.3	375	1.5955	1.4667	-1813	1836	1836	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:46:02	03-05-2020	05:46:04	WCBA	1	0	
11	Spectrogram 1	1	647.4811	648.1406464	3488.6	4833.6	167.4811	4781.25	4687.5	1345	937.5	0.6595	0.6133	-2069	2436	2436	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:47:47	03-05-2020	05:47:48	GHCF	1	0	
12	Spectrogram 1	1	658.4736	658.7625441	546.4	1975.5	178.4736	1500	1593.75	1429.1	656.25	0.2889	0.2347	-2029	2113	2113	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:47:58	03-05-2020	05:47:59	RESP	1	0	
13	Spectrogram 1	1	699.6294	699.9371883	8616.5	8994.7	219.6294	8812.5	8812.5	378.2	187.5	0.3078	0.1813	-2175	2153	2175	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:48:40	03-05-2020	05:48:40	SPPI	1	0	
14	Spectrogram 1	1	696.5452	697.7449462	2521.9	6598.9	216.5452	2812.5	4875	4077	3375	1.1997	1.1093	-2569	2873	2873	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:48:37	03-05-2020	05:48:38	BNMO	1	0	
15	Spectrogram 1	1	718.3166	718.7123278	2395.8	3614.7	238.3166	3187.5	3187.5	1218.9	656.25	0.3957	0.3413	-1864	2110	2110	E:\2020-summer\OLCAP3B\20200503_054500.WAV	03-05-2020	05:48:58	03-05-2020	05:48:59	STBU	1	0	
16	Spectrogram 1	1	794.8995	795.9610556	5296	10045.5	74.8995	8437.5	7781.25	4749.5	3562.5	1.0616	0.912	-3760	3016	3760	E:\2020-summer\OLCAP3B\20200503_055000.WAV	03-05-2020	05:51:15	03-05-2020	05:51:16	NIFP	1	0	
17	Spectrogram 1	1	885.559	886.2373905	756.6	1134.9	165.559	1125	1125	378.3	281.25	0.6784	0.592	-4415	4554	4554	E:\2020-summer\OLCAP3B\20200503_055000.WAV	03-05-2020	05:52:46	03-05-2020	05:52:46	ISBA	1	0	
18	Spectrogram 1	1	1117.8392	1119.020102	1849.4	2900.2	157.8392	2718.75	2625	1050.8	656.25	1.1809	1.0027	-6377	6650	6650	E:\2020-summer\OLCAP3B\20200503_055500.WAV	03-05-2020	05:57:38	03-05-2020	05:57:39	COIO	1	0	
19	Spectrogram 1	1	1121.7462	1122.229867	6556.9	7649.7	161.7462	7031.25	7031.25	1092.8	843.75	0.4837	0.3947	-3301	3437	3437	E:\2020-summer\OLCAP3B\20200503_055500.WAV	03-05-2020	05:57:42	03-05-2020	05:57:42	VHPA	1	0	
20	Spectrogram 1	1	1250.157	1250.408256	5422.1	7733.8	50.157	6187.5	6093.75	2311.7	1968.75	0.2513	0.2133	-1610	2032	2032	E:\2020-summer\OLCAP3B\20200503_060000.WAV	03-05-2020	06:00:50	03-05-2020	06:00:50	CBSU	1	0	
21	Spectrogram 1	1	1312.9774	1314.302774	1681.3	3656.7	112.9774	2906.25	2812.5	1975.4	843.75	1.3254	1.1253	-2725	3064	3064	E:\2020-summer\OLCAP3B\20200503_060000.WAV	03-05-2020	06:01:53	03-05-2020	06:01:54	BCFU	1	0	
22	Spectrogram 1	1	1342.1482	1343.938397	5632.2	7565.7	142.1482	6093.75	6093.75	1933.5	1312.5	1.7902	1.4453	-1275	1539	1539	E:\2020-summer\OLCAP3B\20200503_060000.WAV	03-05-2020	06:02:22	03-05-2020	06:02:24	VFNU	1	0	
