Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	1.8342	2.292741758	1681.3	2017.5	1.8342	1875	1875	336.2	281.25	0.4585	0.3467	-2148	2283	2283	E:\2020-summer\OLV110U\20200507_053000.WAV	07-05-2020	05:30:02	07-05-2020	05:30:02	MWTH	0	1	
2	Spectrogram 1	1	10.1947	10.85424637	1303	2185.6	10.1947	1781.25	1781.25	882.6	843.75	0.6595	0.592	-2105	2168	2168	E:\2020-summer\OLV110U\20200507_053000.WAV	07-05-2020	05:30:10	07-05-2020	05:30:11	CHCU	1	0	
3	Spectrogram 1	1	232.0917	232.2361721	336.3	1807.4	232.0917	375	750	1471.1	1312.5	0.1445	0.1227	-889	986	986	E:\2020-summer\OLV110U\20200507_053000.WAV	07-05-2020	05:33:52	07-05-2020	05:33:52	ISOW	1	0	
4	Spectrogram 1	1	355.157	355.810265	2563.9	3866.9	115.157	3187.5	3187.5	1303	1031.25	0.6533	0.576	-836	823	836	E:\2020-summer\OLV110U\20200507_053500.WAV	07-05-2020	05:36:55	07-05-2020	05:36:56	BCFU	1	0	
5	Spectrogram 1	1	486.4761	486.7524813	1681.3	2942.2	6.4761	1687.5	1781.25	1260.9	1125	0.2764	0.24	-731	728	731	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:40:06	07-05-2020	05:40:07	RWBU	1	0	
6	Spectrogram 1	1	608.9384	609.1833744	924.7	1597.2	128.9384	1312.5	1406.25	672.5	375	0.245	0.1973	-817	670	817	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:42:09	07-05-2020	05:42:09	MGHO	1	0	
7	Spectrogram 1	1	614.6734	614.8681232	1807.4	3152.4	134.6734	2718.75	2625	1345	1218.75	0.1947	0.1707	-573	573	573	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:42:15	07-05-2020	05:42:15	YBBU	1	0	
9	Spectrogram 1	1	617.3492	617.5439232	1597.2	3908.9	137.3492	2906.25	2812.5	2311.7	1875	0.1947	0.176	-345	292	345	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:42:17	07-05-2020	05:42:18	AFBL	1	0	
10	Spectrogram 1	1	681.5955	681.6834395	336.3	882.7	201.5955	468.75	562.5	546.4	468.75	0.0879	0.0587	-290	275	290	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:43:22	07-05-2020	05:43:22	GRHO	1	0	
11	Spectrogram 1	1	707.5942	707.7826418	1008.8	1387	227.5942	1218.75	1218.75	378.2	281.25	0.1884	0.1707	-645	509	645	E:\2020-summer\OLV110U\20200507_054000.WAV	07-05-2020	05:43:48	07-05-2020	05:43:48	WCBA	1	0	
