Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	1.8844	2.945955577	1686.8	2199.3	1.8844	1781.25	1875	512.5	468.75	1.0616	0.9387	-535	630	630	E:\2020-summer\OLV208R\20200505_053000.WAV	05-05-2020	05:30:02	05-05-2020	05:30:03	MWTH	0	1	
2	Spectrogram 1	1	31.2563	31.81534406	1024.9	1494.7	31.2563	1312.5	1218.75	469.8	375	0.559	0.4747	-1668	1906	1906	E:\2020-summer\OLV208R\20200505_053000.WAV	05-05-2020	05:30:31	05-05-2020	05:30:32	INPE	1	0	
3	Spectrogram 1	1	203.7688	204.3969394	1049	1930.1	203.7688	1593.75	1593.75	881.1	656.25	0.6281	0.5333	-691	786	786	E:\2020-summer\OLV208R\20200505_053000.WAV	05-05-2020	05:33:24	05-05-2020	05:33:24	CHCU	1	0	
4	Spectrogram 1	1	343.8631	344.453551	2732	6767.1	103.8631	5531.25	5437.5	4035.1	2343.75	0.5905	0.48	-2938	2562	2938	E:\2020-summer\OLV208R\20200505_053500.WAV	05-05-2020	05:36:44	05-05-2020	05:36:44	SHMY	1	0	
5	Spectrogram 1	1	406.4824	406.9220976	630.5	1134.9	166.4824	937.5	937.5	504.4	187.5	0.4397	0.32	-729	697	729	E:\2020-summer\OLV208R\20200505_053500.WAV	05-05-2020	05:37:46	05-05-2020	05:37:47	SBEO	1	0	
6	Spectrogram 1	1	487.9774	488.1344348	1092.8	3572.7	7.9774	3375	2343.75	2479.9	2156.25	0.157	0.1333	-758	1017	1017	E:\2020-summer\OLV208R\20200505_054000.WAV	05-05-2020	05:40:08	05-05-2020	05:40:08	GRTD	1	0	
7	Spectrogram 1	1	494.9749	495.4711301	882.7	1513.1	14.9749	1500	1312.5	630.4	468.75	0.4962	0.4427	-744	710	744	E:\2020-summer\OLV208R\20200505_054000.WAV	05-05-2020	05:40:15	05-05-2020	05:40:15	GRJU	1	0	
8	Spectrogram 1	1	601.6928	601.9126488	1807.4	3908.9	121.6928	1968.75	2062.5	2101.5	1593.75	0.2198	0.192	-704	573	704	E:\2020-summer\OLV208R\20200505_054000.WAV	05-05-2020	05:42:02	05-05-2020	05:42:02	AFBL	1	0	
9	Spectrogram 1	1	681.3128	681.6896836	2017.5	3320.5	201.3128	3000	2812.5	1303	1125	0.3769	0.3253	-633	590	633	E:\2020-summer\OLV208R\20200505_054000.WAV	05-05-2020	05:43:21	05-05-2020	05:43:22	YBBU	1	0	
10	Spectrogram 1	1	832.1043	832.487465	2101.6	2942.2	112.1043	2156.25	2812.5	840.6	750	0.3832	0.352	-5093	4456	5093	E:\2020-summer\OLV208R\20200505_055000.WAV	05-05-2020	05:51:52	05-05-2020	05:51:52	RWBU	1	0	
