Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	43.7688	44.45975334	854.1	1580.1	43.7688	1312.5	1312.5	726	468.75	0.691	0.4747	-1224	1282	1282	E:\2020-summer\PANMP1B\20200317_053000.WAV	17-03-2020	05:30:44	17-03-2020	05:30:44	GRJU	1	0	
2	Spectrogram 1	1	7.412	7.694662727	811.4	1494.7	7.412	1125	1125	683.3	468.75	0.2827	0.256	-978	1203	1203	E:\2020-summer\PANMP1B\20200317_053000.WAV	17-03-2020	05:30:07	17-03-2020	05:30:08	ISOW	1	0	verify
3	Spectrogram 1	1	52.5063	52.73871158	797.2	1762.2	52.5063	1593.75	1406.25	965	750	0.2324	0.1813	-1198	1289	1289	E:\2020-summer\PANMP1B\20200317_053000.WAV	17-03-2020	05:30:53	17-03-2020	05:30:53	UK	1	0	
4	Spectrogram 1	1	247.8643	249.9999739	1134.9	3782.8	7.8643	3468.75	2906.25	2647.9	2250	2.1357	1.8613	-433	503	503	E:\2020-summer\PANMP1B\20200317_054500.WAV	17-03-2020	05:45:08	17-03-2020	05:45:09	WBWO	1	0	
5	Spectrogram 1	1	292.6319	294.1959671	1471.1	2563.9	52.6319	2343.75	2343.75	1092.8	562.5	1.5641	1.4027	-366	450	450	E:\2020-summer\PANMP1B\20200317_054500.WAV	17-03-2020	05:45:53	17-03-2020	05:45:54	RUWO	1	0	
6	Spectrogram 1	1	522.6005	523.3731115	1429.1	3446.6	42.6005	2812.5	2625	2017.5	1125	0.7726	0.72	-762	779	779	E:\2020-summer\PANMP1B\20200317_055500.WAV	17-03-2020	05:55:43	17-03-2020	05:55:43	STBU	1	0	
7	Spectrogram 1	1	553.1093	554.2462323	1387	2690	73.1093	2625	2531.25	1303	750	1.1369	0.8427	-2186	2219	2219	E:\2020-summer\PANMP1B\20200317_055500.WAV	17-03-2020	05:56:13	17-03-2020	05:56:14	YBBU	1	0	
8	Spectrogram 1	1	615.6344	616.048972	5338	5632.2	135.6344	5437.5	5531.25	294.2	281.25	0.4146	0.352	-453	547	547	E:\2020-summer\PANMP1B\20200317_055500.WAV	17-03-2020	05:57:16	17-03-2020	05:57:16	MWTH	1	0	
9	Spectrogram 1	1	652.7638	653.6557579	630.5	1597.2	172.7638	1593.75	1031.25	966.7	843.75	0.892	0.608	-1669	1899	1899	E:\2020-summer\PANMP1B\20200317_055500.WAV	17-03-2020	05:57:53	17-03-2020	05:57:54	GRTD	1	0	
10	Spectrogram 1	1	817.2801	817.9710533	4665.5	6136.6	97.2801	6000	5906.25	1471.1	1218.75	0.691	0.56	-493	611	611	E:\2020-summer\PANMP1B\20200317_060000.WAV	17-03-2020	06:01:37	17-03-2020	06:01:38	WBBF	1	0	
11	Spectrogram 1	1	876.2249	877.6382136	924.7	3236.4	156.2249	2250	2156.25	2311.7	1781.25	1.4133	0.96	-588	683	683	E:\2020-summer\PANMP1B\20200317_060000.WAV	17-03-2020	06:02:36	17-03-2020	06:02:38	GRTD	1	0	
12	Spectrogram 1	1	966.5892	969.9999969	1387	3320.5	6.5892	2906.25	2812.5	1933.5	1031.25	3.4108	2.8587	-1702	1733	1733	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:05:07	17-03-2020	06:05:10	UK	1	0	RESP? WBWO?
13	Spectrogram 1	1	1056.4321	1057.788881	2900.2	4959.7	96.4321	4500	3843.75	2059.5	1781.25	1.3568	1.12	-450	350	450	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:06:36	17-03-2020	06:06:38	IWEY	0	1	
14	Spectrogram 1	1	1088.9384	1089.497444	3488.6	4665.5	128.9384	3843.75	4031.25	1176.9	843.75	0.559	0.4853	-447	414	447	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:07:09	17-03-2020	06:07:09	GHCF	1	0	
15	Spectrogram 1	1	1103.0842	1104.145756	1975.5	4833.6	143.0842	3000	3000	2858.1	2250	1.0616	0.8587	-373	464	464	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:07:23	17-03-2020	06:07:24	SHMY	1	0	
16	Spectrogram 1	1	1115.157	1116.7776	1555.2	4329.2	155.157	3937.5	3187.5	2774	2531.25	1.6206	1.408	-1522	1543	1543	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:07:35	17-03-2020	06:07:37	BNMO	1	0	
17	Spectrogram 1	1	1175.1193	1176.300202	840.6	1681.3	215.1193	1125	1218.75	840.7	468.75	1.1809	0.8693	-579	573	579	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:08:35	17-03-2020	06:08:36	GRJU	1	0	
18	Spectrogram 1	1	1178.4045	1178.850479	8070.1	9583.2	218.4045	8531.25	8718.75	1513.1	1218.75	0.446	0.3787	-599	615	615	E:\2020-summer\PANMP1B\20200317_060500.WAV	17-03-2020	06:08:38	17-03-2020	06:08:39	BBFL	1	0	
19	Spectrogram 1	1	1201.6457	1201.834142	924.7	1387	1.6457	1218.75	1125	462.3	281.25	0.1884	0.16	-389	376	389	E:\2020-summer\PANMP1B\20200317_061000.WAV	17-03-2020	06:10:02	17-03-2020	06:10:02	WCBA	1	0	
20	Spectrogram 1	1	1277.9711	1279.610544	5127.8	7901.9	77.9711	6843.75	6562.5	2774.1	2343.75	1.6394	1.2693	-690	821	821	E:\2020-summer\PANMP1B\20200317_061000.WAV	17-03-2020	06:11:18	17-03-2020	06:11:20	NIFP	0	1	
21	Spectrogram 1	1	1360.9296	1361.061509	1765.3	4623.5	160.9296	2718.75	2718.75	2858.2	1968.75	0.1319	0.1173	-617	805	805	E:\2020-summer\PANMP1B\20200317_061000.WAV	17-03-2020	06:12:41	17-03-2020	06:12:41	AFBL	1	0	
22	Spectrogram 1	1	1391.294	1391.576663	966.7	1975.5	191.294	1781.25	1687.5	1008.8	843.75	0.2827	0.2347	-304	480	480	E:\2020-summer\PANMP1B\20200317_061000.WAV	17-03-2020	06:13:11	17-03-2020	06:13:12	RESP	1	0	
23	Spectrogram 1	1	1391.7839	1392.342944	1975.5	3152.4	191.7839	2812.5	2812.5	1176.9	750	0.559	0.464	-409	458	458	E:\2020-summer\PANMP1B\20200317_061000.WAV	17-03-2020	06:13:12	17-03-2020	06:13:12	PTBA	1	0	
24	Spectrogram 1	1	1449.0075	1449.99996	4875.7	7271.5	9.0075	6093.75	6000	2395.8	1687.5	0.9925	0.816	-797	844	844	E:\2020-summer\PANMP1B\20200317_061500.WAV	17-03-2020	06:15:09	17-03-2020	06:15:09	ABFL	1	0	verify
25	Spectrogram 1	1	1473.304	1475.10676	84.1	441.3	33.304	187.5	187.5	357.2	281.25	1.8028	1.6907	-802	833	833	E:\2020-summer\PANMP1B\20200317_061500.WAV	17-03-2020	06:15:33	17-03-2020	06:15:35	MIPI	1	0	
26	Spectrogram 1	1	1557.8957	1559.999967	714.5	1807.4	117.8957	1031.25	937.5	1092.9	468.75	2.1043	1.5787	-759	921	921	E:\2020-summer\PANMP1B\20200317_061500.WAV	17-03-2020	06:16:58	17-03-2020	06:16:59	ISBA	0	1	
27	Spectrogram 1	1	1565.2324	1565.835414	231.2	609.5	125.2324	468.75	468.75	378.3	281.25	0.603	0.512	-2115	2570	2570	E:\2020-summer\PANMP1B\20200317_061500.WAV	17-03-2020	06:17:05	17-03-2020	06:17:06	AEDO	1	0	
