Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	30.559	31.55774164	1303	1891.4	30.559	1687.5	1593.75	588.4	562.5	0.9987	0.9067	-528	700	700	E:\2020-summer\SEL107R\20200504_053000.WAV	04-05-2020	05:30:31	04-05-2020	05:30:32	MWTH	0	1	
2	Spectrogram 1	1	177.9711	178.7876812	1092.8	1933.5	177.9711	1500	1687.5	840.7	281.25	0.8166	0.5013	-3443	4937	4937	E:\2020-summer\SEL107R\20200504_053000.WAV	04-05-2020	05:32:58	04-05-2020	05:32:59	INPE	1	0	
3	Spectrogram 1	1	414.5163	414.8492139	1387	3782.8	174.5163	2812.5	2437.5	2395.8	1875	0.3329	0.2933	-1329	1285	1329	E:\2020-summer\SEL107R\20200504_053500.WAV	04-05-2020	05:37:55	04-05-2020	05:37:55	GRTD	1	0	
4	Spectrogram 1	1	429.397	429.572879	546.4	1134.9	189.397	937.5	937.5	588.5	375	0.1759	0.1333	-1041	925	1041	E:\2020-summer\SEL107R\20200504_053500.WAV	04-05-2020	05:38:09	04-05-2020	05:38:10	MGHO	1	0	
5	Spectrogram 1	1	612.8455	613.5867045	1513.1	3194.4	132.8455	2531.25	2531.25	1681.3	1218.75	0.7412	0.64	-1304	1092	1304	E:\2020-summer\SEL107R\20200504_054000.WAV	04-05-2020	05:42:13	04-05-2020	05:42:14	RWBU	1	0	
6	Spectrogram 1	1	640.7161	641.5578068	2101.6	3951	160.7161	2812.5	2812.5	1849.4	1312.5	0.8417	0.736	-3139	3280	3280	E:\2020-summer\SEL107R\20200504_054000.WAV	04-05-2020	05:42:41	04-05-2020	05:42:42	STBU	1	0	
7	Spectrogram 1	1	698.9761	699.1959488	1765.3	4035	218.9761	2156.25	2156.25	2269.7	1312.5	0.2198	0.1813	-1054	1315	1315	E:\2020-summer\SEL107R\20200504_054000.WAV	04-05-2020	05:43:39	04-05-2020	05:43:39	OHTH	1	0	
8	Spectrogram 1	1	712.343	712.4811907	2563.9	3530.6	232.343	2812.5	2906.25	966.7	468.75	0.1382	0.0853	-948	877	948	E:\2020-summer\SEL107R\20200504_054000.WAV	04-05-2020	05:43:52	04-05-2020	05:43:52	SHMY	1	0	
9	Spectrogram 1	1	723.4548	723.6997744	8532.4	8994.7	3.4548	8812.5	8812.5	462.3	187.5	0.245	0.176	-1835	1850	1850	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:45:03	04-05-2020	05:45:04	SPPI	1	0	
10	Spectrogram 1	1	743.8756	745.0439393	840.6	1765.3	23.8756	1500	1500	924.7	656.25	1.1683	1.0293	-767	828	828	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:45:24	04-05-2020	05:45:25	GRJU	1	0	
11	Spectrogram 1	1	780.358	780.7034767	966.7	1387	60.358	1218.75	1218.75	420.3	187.5	0.3455	0.2667	-7866	7448	7866	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:46:00	04-05-2020	05:46:01	WCBA	1	0	
12	Spectrogram 1	1	804.0075	804.1708162	1471.1	3194.4	84.0075	2625	2531.25	1723.3	1312.5	0.1633	0.1227	-672	638	672	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:46:24	04-05-2020	05:46:24	YBBU	1	0	
13	Spectrogram 1	1	907.3932	907.5313907	189.1	630.5	187.3932	375	375	441.4	187.5	0.1382	0.0853	-359	405	405	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:48:07	04-05-2020	05:48:08	GRCO	1	0	
14	Spectrogram 1	1	914.3279	914.6545325	3278.5	4119.1	194.3279	3937.5	3843.75	840.6	562.5	0.3266	0.256	-462	466	466	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:48:14	04-05-2020	05:48:15	IWEY	1	0	
15	Spectrogram 1	1	907.6633	908.1720929	1387	3152.4	187.6633	2625	2437.5	1765.4	1500	0.5088	0.448	-723	704	723	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:48:08	04-05-2020	05:48:08	RWBU	1	0	
16	Spectrogram 1	1	903.5867	904.1708696	672.5	1176.9	183.5867	937.5	937.5	504.4	375	0.5842	0.5173	-647	577	647	E:\2020-summer\SEL107R\20200504_054500.WAV	04-05-2020	05:48:04	04-05-2020	05:48:04	ISBA	1	0	
17	Spectrogram 1	1	988.5427	988.6432023	5632.2	7607.7	28.5427	5718.75	6468.75	1975.5	1781.25	0.1005	0.0853	-361	366	366	E:\2020-summer\SEL107R\20200504_055000.WAV	04-05-2020	05:50:29	04-05-2020	05:50:29	NIFP	1	0	
18	Spectrogram 1	1	1112.9837	1113.787718	1891.4	3110.3	152.9837	2531.25	2531.25	1218.9	937.5	0.804	0.6933	-952	887	952	E:\2020-summer\SEL107R\20200504_055000.WAV	04-05-2020	05:52:33	04-05-2020	05:52:34	PTBA	1	0	
19	Spectrogram 1	1	1176.608	1177.996188	2984.2	5001.8	216.608	4500	4125	2017.6	1593.75	1.3882	1.2533	-1521	1872	1872	E:\2020-summer\SEL107R\20200504_055000.WAV	04-05-2020	05:53:37	04-05-2020	05:53:38	ASDR	1	0	
20	Spectrogram 1	1	1182.3241	1182.569074	1260.9	4581.4	222.3241	3656.25	3468.75	3320.5	2906.25	0.245	0.1867	-1157	1710	1710	E:\2020-summer\SEL107R\20200504_055000.WAV	04-05-2020	05:53:42	04-05-2020	05:53:43	AFBL	1	0	
21	Spectrogram 1	1	1388.0339	1388.247467	1050.8	2479.9	188.0339	1500	1500	1429.1	1031.25	0.2136	0.1653	-549	573	573	E:\2020-summer\SEL107R\20200504_055500.WAV	04-05-2020	05:58:08	04-05-2020	05:58:08	RESP	1	0	
22	Spectrogram 1	1	1460.9548	1461.388216	6052.5	7944	20.9548	6843.75	6937.5	1891.5	1312.5	0.4334	0.3467	-1014	757	1014	E:\2020-summer\SEL107R\20200504_060000.WAV	04-05-2020	06:00:21	04-05-2020	06:00:21	VHPA	1	0	
23	Spectrogram 1	1	1505.201	1505.728637	210.2	504.4	65.201	375	375	294.2	187.5	0.5276	0.464	-544	583	583	E:\2020-summer\SEL107R\20200504_060000.WAV	04-05-2020	06:01:05	04-05-2020	06:01:06	AEDO	1	0	
24	Spectrogram 1	1	1549.2462	1549.905746	5043.8	8616.5	109.2462	5062.5	5437.5	3572.7	2156.25	0.6595	0.5707	-670	648	670	E:\2020-summer\SEL107R\20200504_060000.WAV	04-05-2020	06:01:49	04-05-2020	06:01:50	VFNU	1	0	
25	Spectrogram 1	1	1684.5666	1684.981172	966.7	2227.7	4.5666	1500	1500	1261	937.5	0.4146	0.304	-1483	2857	2857	E:\2020-summer\SEL107R\20200504_060500.WAV	04-05-2020	06:05:05	04-05-2020	06:05:05	LBCR	1	0	
26	Spectrogram 1	1	1803.5678	1803.969809	6556.9	7775.8	123.5678	7218.75	7125	1218.9	843.75	0.402	0.256	-1327	1439	1439	E:\2020-summer\SEL107R\20200504_060500.WAV	04-05-2020	06:07:04	04-05-2020	06:07:04	SMMI	1	0	
27	Spectrogram 1	1	1821.9095	1822.820302	2269.7	2984.2	141.9095	2718.75	2812.5	714.5	375	0.9108	0.768	-1785	2024	2024	E:\2020-summer\SEL107R\20200504_060500.WAV	04-05-2020	06:07:22	04-05-2020	06:07:23	RUWO	1	0	
28	Spectrogram 1	1	1830.3769	1831.708556	2017.5	3068.3	150.3769	2343.75	2625	1050.8	750	1.3317	1.0987	-676	663	676	E:\2020-summer\SEL107R\20200504_060500.WAV	04-05-2020	06:07:30	04-05-2020	06:07:32	CHBE	1	0	
29	Spectrogram 1	1	1950.559	1952.09166	2143.6	2900.2	30.559	2437.5	2531.25	756.6	656.25	1.5327	1.3867	-888	1014	1014	E:\2020-summer\SEL107R\20200504_061000.WAV	04-05-2020	06:10:31	04-05-2020	06:10:32	GRFL	1	0	
30	Spectrogram 1	1	2243.7563	2244.541474	1050.8	2269.7	83.7563	1875	1593.75	1218.9	937.5	0.7852	0.6293	-786	791	791	E:\2020-summer\SEL107R\20200504_061500.WAV	04-05-2020	06:16:24	04-05-2020	06:16:25	WBWO	1	0	
31	Spectrogram 1	1	2328.794	2330.000028	1849.4	3152.4	168.794	2531.25	2531.25	1303	562.5	1.206	1.008	-1748	2153	2153	E:\2020-summer\SEL107R\20200504_061500.WAV	04-05-2020	06:17:49	04-05-2020	06:17:50	BRFL	1	0	
32	Spectrogram 1	1	2367.1357	2367.286453	1765.3	4413.3	207.1357	3468.75	3656.25	2648	1968.75	0.1508	0.128	-696	721	721	E:\2020-summer\SEL107R\20200504_061500.WAV	04-05-2020	06:18:27	04-05-2020	06:18:27	PHPA	1	0	
33	Spectrogram 1	1	2502.4057	2504.189616	2563.9	4875.7	102.4057	4875	4406.25	2311.8	1781.25	1.7839	1.5573	-1528	1703	1703	E:\2020-summer\SEL107R\20200504_062000.WAV	04-05-2020	06:21:42	04-05-2020	06:21:44	HSWO	1	0	
34	Spectrogram 1	1	2736.3001	2737.3805	1849.4	4539.4	96.3001	4500	3375	2690	2531.25	1.0804	0.9547	-627	778	778	E:\2020-summer\SEL107R\20200504_062500.WAV	04-05-2020	06:26:36	04-05-2020	06:26:37	MAPA	1	0	
35	Spectrogram 1	1	2755.6783	2757.418246	2269.7	5211.9	115.6783	4781.25	4875	2942.2	2250	1.7399	1.4347	-862	907	907	E:\2020-summer\SEL107R\20200504_062500.WAV	04-05-2020	06:26:56	04-05-2020	06:26:57	COTA	0	1	
36	Spectrogram 1	1	3070.5024	3070.665716	2143.6	4539.4	190.5024	4500	3468.75	2395.8	2250	0.1633	0.1387	-487	645	645	E:\2020-summer\SEL107R\20200504_063500.WAV	04-05-2020	06:38:11	04-05-2020	06:38:11	LISP	1	0	
37	Spectrogram 1	1	3120.6218	3120.816523	4833.6	6977.2	0.6218	5812.5	5625	2143.6	1687.5	0.1947	0.1547	-523	665	665	E:\2020-summer\SEL107R\20200504_064500.WAV	04-05-2020	06:45:01	04-05-2020	06:45:01	CBSU	1	0	
38	Spectrogram 1	1	3371.6707	3376.928227	483.4	945.7	11.6707	937.5	750	462.3	375	5.2575	4.656	-2887	1961	2887	E:\2020-summer\SEL107R\20200504_065000.WAV	04-05-2020	06:50:12	04-05-2020	06:50:17	SPDO	1	0	
39	Spectrogram 1	1	3673.6934	3674.45973	2395.8	4119.1	73.6934	2906.25	2906.25	1723.3	1218.75	0.7663	0.672	-451	409	451	E:\2020-summer\SEL107R\20200504_065500.WAV	04-05-2020	06:56:14	04-05-2020	06:56:14	RWBU	1	0	verify
40	Spectrogram 1	1	3736.3567	3736.677051	2437.8	3572.7	136.3567	3281.25	3281.25	1134.9	750	0.3204	0.2613	-372	333	372	E:\2020-summer\SEL107R\20200504_065500.WAV	04-05-2020	06:57:16	04-05-2020	06:57:17	SHIK	1	0	
41	Spectrogram 1	1	3995.4773	3998.781313	2732	3404.6	155.4773	3093.75	3093.75	672.6	281.25	3.304	2.688	-1746	2198	2198	E:\2020-summer\SEL107R\20200504_071000.WAV	04-05-2020	07:12:35	04-05-2020	07:12:39	GRFL	1	0	GRFL?
42	Spectrogram 1	1	4186.03	4187.15437	4497.4	6388.8	106.03	5062.5	5062.5	1891.4	1406.25	1.1244	0.912	-557	725	725	E:\2020-summer\SEL107R\20200504_072000.WAV	04-05-2020	07:21:46	04-05-2020	07:21:47	BWFS	1	0	
43	Spectrogram 1	1	4435.2135	4435.546414	3026.3	5506.1	115.2135	5156.25	5062.5	2479.8	1125	0.3329	0.272	-849	872	872	E:\2020-summer\SEL107R\20200504_080000.WAV	04-05-2020	08:01:55	04-05-2020	08:01:56	IBRO	1	0	
44	Spectrogram 1	1	4652.6067	4652.851674	6809.1	7986	92.6067	7312.5	7312.5	1176.9	843.75	0.245	0.1973	-359	400	400	E:\2020-summer\SEL107R\20200504_081000.WAV	04-05-2020	08:11:33	04-05-2020	08:11:33	SMMI	1	0	
45	Spectrogram 1	1	4992.682	4993.366672	7944	9835.4	192.682	9000	9000	1891.4	843.75	0.6847	0.4	-913	915	915	E:\2020-summer\SEL107R\20200504_081500.WAV	04-05-2020	08:18:13	04-05-2020	08:18:13	BBFL	1	0	
