Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	874083.7374	874084.799	1260.9	1765.3	3.7374	1593.75	1500	504.378	375	1.0616	0.9867	-1745	1818	1818	E:\2020-summer\SEL207U\20200502_053000.WAV	02-05-2020	05:30:04	02-05-2020	05:30:05	MWTH	0	1	
2	Spectrogram 1	1	874101.7902	874102.9648	924.7	1555.2	21.7902	1406.25	1218.75	630.473	562.5	1.1746	1.072	-1141	1392	1392	E:\2020-summer\SEL207U\20200502_053000.WAV	02-05-2020	05:30:22	02-05-2020	05:30:23	GRJU	1	0	
3	Spectrogram 1	1	874179.2336	874180	1008.8	1891.4	99.2336	1500	1593.75	882.662	375	0.7663	0.5333	-1275	1338	1338	E:\2020-summer\SEL207U\20200502_053000.WAV	02-05-2020	05:31:39	02-05-2020	05:31:39	INPE	1	0	
4	Spectrogram 1	1	874314.4535	874314.6796	2017.5	2984.2	234.4535	2812.5	2718.75	966.725	750	0.2261	0.192	-698	779	779	E:\2020-summer\SEL207U\20200502_053000.WAV	02-05-2020	05:33:54	02-05-2020	05:33:55	RWBU	1	0	
5	Spectrogram 1	1	874722.2613	874724.3907	951.1	1337.4	162.2613	1218.75	1218.75	386.37	187.5	2.1294	1.7067	-2585	2580	2585	E:\2020-summer\SEL207U\20200502_054000.WAV	02-05-2020	05:42:42	02-05-2020	05:42:44	WCBA	1	0	
6	Spectrogram 1	1	874801.3442	874802.6445	3320.5	7313.5	1.3442	4687.5	5250	3992.995	2906.25	1.3002	1.0667	-3497	3179	3497	E:\2020-summer\SEL207U\20200502_054500.WAV	02-05-2020	05:45:01	02-05-2020	05:45:03	GBPR	1	0	VFNU?
7	Spectrogram 1	1	874826.3882	874827.9711	2732	7019.3	26.3882	4968.75	4875	4287.215	3281.25	1.5829	1.376	-1651	1648	1651	E:\2020-summer\SEL207U\20200502_054500.WAV	02-05-2020	05:45:26	02-05-2020	05:45:28	PIBU	1	0	GBPR?
8	Spectrogram 1	1	875000.7977	875001.4259	714.5	1092.8	200.7977	937.5	937.5	378.284	281.25	0.6281	0.56	-695	912	912	E:\2020-summer\SEL207U\20200502_054500.WAV	02-05-2020	05:48:21	02-05-2020	05:48:21	ISBA	1	0	
9	Spectrogram 1	1	875237.2236	875237.4246	3404.6	4035	197.2236	3843.75	3750	630.473	468.75	0.201	0.1653	-2221	1868	2221	E:\2020-summer\SEL207U\20200502_055000.WAV	02-05-2020	05:53:17	02-05-2020	05:53:17	IWEY	1	0	
10	Spectrogram 1	1	875368.4296	875368.9384	1723.3	3110.3	88.4296	1875	2156.25	1387.04	937.5	0.5088	0	-32768	31995	32768	E:\2020-summer\SEL207U\20200502_055500.WAV	02-05-2020	05:56:28	02-05-2020	05:56:29	SHMY	1	0	
11	Spectrogram 1	1	875587.9208	875588.2538	1050.8	1597.2	67.9208	1312.5	1406.25	546.41	375	0.3329	0.272	-1672	1879	1879	E:\2020-summer\SEL207U\20200502_060000.WAV	02-05-2020	06:01:08	02-05-2020	06:01:08	MGHO	1	0	
12	Spectrogram 1	1	875647.3492	875647.745	6220.7	8070.1	127.3492	7312.5	7312.5	1849.387	1125	0.3957	0.304	-1698	1901	1901	E:\2020-summer\SEL207U\20200502_060000.WAV	02-05-2020	06:02:07	02-05-2020	06:02:08	VHPA	1	0	
13	Spectrogram 1	1	875671.8844	875671.9661	1849.4	2984.2	151.8844	2250	2437.5	1134.851	750	0.0817	0.0587	-632	672	672	E:\2020-summer\SEL207U\20200502_060000.WAV	02-05-2020	06:02:32	02-05-2020	06:02:32	YBBU	1	0	
15	Spectrogram 1	1	875574.2023	875575.1005	4329.2	7229.4	54.2022	5250	4968.75	2900.175	1875	0.8982	0.8053	-1591	1383	1591	E:\2020-summer\SEL207U\20200502_060000.WAV	02-05-2020	06:00:54	02-05-2020	06:00:55	VFNU	1	0	
16	Spectrogram 1	1	875751.9284	875752.3618	8070.1	10003.5	231.9284	9937.5	9281.25	1933.45	1687.5	0.4334	0.4	-961	1047	1047	E:\2020-summer\SEL207U\20200502_060000.WAV	02-05-2020	06:03:52	02-05-2020	06:03:52	BBFL	1	0	
17	Spectrogram 1	1	875810	875810.5025	2227.7	3404.6	50	2250	2437.5	1176.883	656.25	0.5025	0.0267	-32768	32286	32768	E:\2020-summer\SEL207U\20200502_060500.WAV	02-05-2020	06:05:50	02-05-2020	06:05:51	BCFU	1	0	
