Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	31.809	32.39316964	1429.1	1933.5	31.809	1875	1687.5	504.4	375	0.5842	0.5227	-691	751	751	E:\2020-summer\STIN02R\20200506_053000.WAV	06-05-2020	05:30:32	06-05-2020	05:30:32	MWTH	0	1	
2	Spectrogram 1	1	227.0917	228.0841602	2059.5	3362.5	227.0917	2906.25	2812.5	1303	1031.25	0.9925	0.88	-416	548	548	E:\2020-summer\STIN02R\20200506_053000.WAV	06-05-2020	05:33:47	06-05-2020	05:33:48	BCFU	1	0	
3	Spectrogram 1	1	417.657	418.2286068	1681.3	3782.8	177.657	2156.25	2437.5	2101.5	1687.5	0.5716	0.4427	-467	527	527	E:\2020-summer\STIN02R\20200506_053500.WAV	06-05-2020	05:37:58	06-05-2020	05:37:58	GRTD	1	0	
4	Spectrogram 1	1	569.3593	569.4974907	2185.6	4161.1	89.3593	3562.5	3000	1975.5	1687.5	0.1382	0.128	-371	416	416	E:\2020-summer\STIN02R\20200506_054000.WAV	06-05-2020	05:41:29	06-05-2020	05:41:29	YBBU	1	0	
5	Spectrogram 1	1	617.3618	619.9999855	1639.2	2606	137.3618	2156.25	2250	966.8	375	2.6382	1.9787	-1627	1731	1731	E:\2020-summer\STIN02R\20200506_054000.WAV	06-05-2020	05:42:17	06-05-2020	05:42:19	ASDR	1	0	verify
6	Spectrogram 1	1	622.0917	622.3241116	8028	8910.7	142.0917	8343.75	8437.5	882.7	562.5	0.2324	0.1813	-1415	1585	1585	E:\2020-summer\STIN02R\20200506_054000.WAV	06-05-2020	05:42:22	06-05-2020	05:42:22	SPPI	1	0	
7	Spectrogram 1	1	642.1168	642.3806185	1176.9	2606	162.1168	2156.25	2156.25	1429.1	468.75	0.2638	0.1547	-1050	1182	1182	E:\2020-summer\STIN02R\20200506_054000.WAV	06-05-2020	05:42:42	06-05-2020	05:42:42	UK	1	0	
8	Spectrogram 1	1	682.6507	684.692153	798.6	1429.1	202.6507	1218.75	1218.75	630.5	281.25	2.0415	1.4187	-934	1035	1035	E:\2020-summer\STIN02R\20200506_054000.WAV	06-05-2020	05:43:23	06-05-2020	05:43:25	WCBA	1	0	
9	Spectrogram 1	1	721.7714	723.190995	840.6	1723.3	1.7714	1312.5	1312.5	882.7	562.5	1.4196	1.1467	-704	690	704	E:\2020-summer\STIN02R\20200506_054500.WAV	06-05-2020	05:45:02	06-05-2020	05:45:03	GRJU	1	0	
10	Spectrogram 1	1	814.755	815.0816325	2563.9	3320.5	94.755	3093.75	3000	756.6	468.75	0.3266	0.2773	-386	508	508	E:\2020-summer\STIN02R\20200506_054500.WAV	06-05-2020	05:46:35	06-05-2020	05:46:35	PTBA	1	0	
11	Spectrogram 1	1	864.755	866.1557509	672.5	1723.3	144.755	937.5	1031.25	1050.8	843.75	1.4008	1.216	-2234	2049	2234	E:\2020-summer\STIN02R\20200506_054500.WAV	06-05-2020	05:47:25	06-05-2020	05:47:26	ISBA	0	1	
12	Spectrogram 1	1	858.9698	859.5539696	63	420.3	138.9698	187.5	187.5	357.3	281.25	0.5842	0.512	-442	479	479	E:\2020-summer\STIN02R\20200506_054500.WAV	06-05-2020	05:47:19	06-05-2020	05:47:20	BFOW	1	0	
13	Spectrogram 1	1	1104.6608	1105.11306	5253.9	7187.4	144.6608	5812.5	5812.5	1933.5	937.5	0.4523	0.272	-719	829	829	E:\2020-summer\STIN02R\20200506_055000.WAV	06-05-2020	05:52:25	06-05-2020	05:52:25	WBBF	1	0	
14	Spectrogram 1	1	1186.4636	1186.538977	5380	7313.5	226.4636	6093.75	6093.75	1933.5	1593.75	0.0754	0.0587	-406	517	517	E:\2020-summer\STIN02R\20200506_055000.WAV	06-05-2020	05:53:46	06-05-2020	05:53:47	NIFP	1	0	
15	Spectrogram 1	1	1252.1985	1252.719856	1429.1	3530.6	52.1985	2625	2625	2101.5	1406.25	0.5214	0.4693	-1336	1368	1368	E:\2020-summer\STIN02R\20200506_055500.WAV	06-05-2020	05:55:52	06-05-2020	05:55:53	RWBU	1	0	
16	Spectrogram 1	1	1271.9284	1273.46106	3404.6	7019.3	71.9284	6000	5625	3614.7	1968.75	1.5327	1.36	-2074	2186	2186	E:\2020-summer\STIN02R\20200506_055500.WAV	06-05-2020	05:56:12	06-05-2020	05:56:13	VFNU	1	0	
17	Spectrogram 1	1	1263.9321	1264.491144	1134.9	1807.4	63.9321	1593.75	1593.75	672.5	468.75	0.559	0.4587	-486	528	528	E:\2020-summer\STIN02R\20200506_055500.WAV	06-05-2020	05:56:04	06-05-2020	05:56:04	MGHO	1	0	
18	Spectrogram 1	1	1351.005	1351.256256	3446.6	4161.1	151.005	3656.25	3750	714.5	281.25	0.2513	0.1547	-674	565	674	E:\2020-summer\STIN02R\20200506_055500.WAV	06-05-2020	05:57:31	06-05-2020	05:57:31	IWEY	1	0	
20	Spectrogram 1	1	1442.3304	1442.449746	1975.5	4959.7	2.3304	4875	4218.75	2984.2	2625	0.1193	0.0907	-578	529	578	E:\2020-summer\STIN02R\20200506_060000.WAV	06-05-2020	06:00:02	06-05-2020	06:00:02	COTA	1	0	
21	Spectrogram 1	1	1503.549	1503.825381	882.7	2269.7	63.549	1687.5	1687.5	1387	937.5	0.2764	0.224	-766	775	775	E:\2020-summer\STIN02R\20200506_060000.WAV	06-05-2020	06:01:04	06-05-2020	06:01:04	RESP	1	0	
22	Spectrogram 1	1	1803.147	1803.454788	2101.6	4581.4	123.147	3843.75	3843.75	2479.8	1687.5	0.3078	0.24	-492	501	501	E:\2020-summer\STIN02R\20200506_060500.WAV	06-05-2020	06:07:03	06-05-2020	06:07:03	SHMY	1	0	
23	Spectrogram 1	1	1956.8719	1957.437225	1765.3	3194.4	36.8719	3000	2343.75	1429.1	1031.25	0.5653	0.48	-715	954	954	E:\2020-summer\STIN02R\20200506_061000.WAV	06-05-2020	06:10:37	06-05-2020	06:10:37	CHCU	1	0	
