Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	554168.2161	554169.9246	1134.9	1975.5	8.2161	1968.75	1968.75	840.63	375	1.7085	0.1173	-6443	6883	6883	E:\2020-summer\STIN02U\20200502_053000.WAV	02-05-2020	05:30:08	02-05-2020	05:30:10	MWTH	0	1	
2	Spectrogram 1	1	554592.1043	554592.5879	1807.4	3530.6	192.1043	2625	2625	1723.292	1593.75	0.4837	0.4373	-1567	1624	1624	E:\2020-summer\STIN02U\20200502_053500.WAV	02-05-2020	05:38:12	02-05-2020	05:38:13	RWBU	1	0	
3	Spectrogram 1	1	554597.2299	554597.5691	2395.8	3782.8	197.2299	2718.75	2812.5	1387.04	1031.25	0.3392	0.2773	-1751	1875	1875	E:\2020-summer\STIN02U\20200502_053500.WAV	02-05-2020	05:38:17	02-05-2020	05:38:18	SHMY	1	0	
4	Spectrogram 1	1	554661.6583	554661.9095	2017.5	3068.3	21.6583	2250	2343.75	1050.788	750	0.2513	0.208	-1436	1707	1707	E:\2020-summer\STIN02U\20200502_054000.WAV	02-05-2020	05:40:22	02-05-2020	05:40:22	YBBU	1	0	
5	Spectrogram 1	1	554722.657	554723.0842	2017.5	3530.6	82.657	2062.5	2437.5	1513.135	1218.75	0.4271	0.3627	-1402	1641	1641	E:\2020-summer\STIN02U\20200502_054000.WAV	02-05-2020	05:41:23	02-05-2020	05:41:23	STBU	1	0	
6	Spectrogram 1	1	554727.2676	554727.8392	1429.1	4161.1	87.2676	1500	1781.25	2732.049	2250	0.5716	0.512	-1350	1416	1416	E:\2020-summer\STIN02U\20200502_054000.WAV	02-05-2020	05:41:27	02-05-2020	05:41:28	GRTD	1	0	
7	Spectrogram 1	1	554853.8693	554854.0075	672.5	1765.3	213.8693	1500	1500	1092.82	187.5	0.1382	0.0427	-3653	3499	3653	E:\2020-summer\STIN02U\20200502_054000.WAV	02-05-2020	05:43:34	02-05-2020	05:43:34	MATR	1	0	
8	Spectrogram 1	1	554866.4887	554866.5892	840.6	1807.4	226.4887	1500	1500	966.725	375	0.1005	0.048	-1132	1517	1517	E:\2020-summer\STIN02U\20200502_054000.WAV	02-05-2020	05:43:46	02-05-2020	05:43:47	MGHO	1	0	
9	Spectrogram 1	1	554905.4711	554905.7663	1050.8	1513.1	25.4711	1312.5	1312.5	462.347	375	0.2952	0.256	-2274	2437	2437	E:\2020-summer\STIN02U\20200502_054500.WAV	02-05-2020	05:45:25	02-05-2020	05:45:26	WCBA	1	0	
10	Spectrogram 1	1	554979.4032	554980	1765.3	3068.3	99.4032	2718.75	2531.25	1302.977	468.75	0.5967	0.4907	-4711	4578	4711	E:\2020-summer\STIN02U\20200502_054500.WAV	02-05-2020	05:46:39	02-05-2020	05:46:39	BRFL	1	0	
11	Spectrogram 1	1	555064.3656	555064.4409	5548.2	7313.5	184.3656	5718.75	6000	1765.324	1500	0.0754	0.0533	-983	937	983	E:\2020-summer\STIN02U\20200502_054500.WAV	02-05-2020	05:48:04	02-05-2020	05:48:04	NIFP	1	0	
12	Spectrogram 1	1	555080.9736	555082.6822	924.7	2942.2	200.9736	2625	2531.25	2017.513	1593.75	1.7085	1.568	-1330	1522	1522	E:\2020-summer\STIN02U\20200502_054500.WAV	02-05-2020	05:48:21	02-05-2020	05:48:23	GRFL	1	0	
13	Spectrogram 1	1	555120.6847	555121.6143	1050.8	1765.3	0.6847	1312.5	1312.5	714.536	375	0.9296	0.848	-885	1075	1075	E:\2020-summer\STIN02U\20200502_055000.WAV	02-05-2020	05:50:01	02-05-2020	05:50:02	GRJU	1	0	
14	Spectrogram 1	1	555193.505	555193.7814	3068.3	4245.2	73.505	3843.75	3750	1176.883	656.25	0.2764	0.192	-1184	1267	1267	E:\2020-summer\STIN02U\20200502_055000.WAV	02-05-2020	05:51:14	02-05-2020	05:51:14	IWEY	1	0	
15	Spectrogram 1	1	555344.598	555344.8367	672.5	2269.7	224.598	1968.75	1500	1597.198	1031.25	0.2387	0.192	-3939	3560	3939	E:\2020-summer\STIN02U\20200502_055000.WAV	02-05-2020	05:53:45	02-05-2020	05:53:45	RESP	1	0	
16	Spectrogram 1	1	555351.0804	555351.3442	672.5	1092.8	231.0804	843.75	843.75	420.315	281.25	0.2638	0.2293	-2200	2171	2200	E:\2020-summer\STIN02U\20200502_055000.WAV	02-05-2020	05:53:51	02-05-2020	05:53:51	ISBA	1	0	
17	Spectrogram 1	1	555594.9937	555595.2575	2101.6	2732	234.9937	2531.25	2531.25	630.473	375	0.2638	0.2027	-749	681	749	E:\2020-summer\STIN02U\20200502_055500.WAV	02-05-2020	05:58:55	02-05-2020	05:58:55	PTBA	1	0	
18	Spectrogram 1	1	555937.9648	555938.6432	5211.9	7733.8	97.9648	5343.75	6187.5	2521.891	1968.75	0.6784	0.5973	-1127	1395	1395	E:\2020-summer\STIN02U\20200502_060500.WAV	02-05-2020	06:06:38	02-05-2020	06:06:39	IYTI	1	0	
19	Spectrogram 1	1	556053.6997	556054.6671	2311.7	4077.1	213.6997	2531.25	3000	1765.324	1218.75	0.9673	0.7787	-1061	1255	1255	E:\2020-summer\STIN02U\20200502_060500.WAV	02-05-2020	06:08:34	02-05-2020	06:08:35	OHTH	1	0	
20	Spectrogram 1	1	556152.2236	556152.8455	3278.5	5127.8	72.2236	3750	4500	1849.387	1312.5	0.6219	0.5653	-1298	1402	1402	E:\2020-summer\STIN02U\20200502_061000.WAV	02-05-2020	06:11:12	02-05-2020	06:11:13	GHCF	1	0	
21	Spectrogram 1	1	556181.9598	556182.0226	441.3	924.7	101.9598	750	750	483.363	375	0.0628	0.048	-805	784	805	E:\2020-summer\STIN02U\20200502_061000.WAV	02-05-2020	06:11:42	02-05-2020	06:11:42	MABA	1	0	
22	Spectrogram 1	1	556316.1118	556319.9309	1849.4	4665.5	236.1118	1875	3468.75	2816.112	2437.5	3.8191	3.2373	-2703	2884	2884	E:\2020-summer\STIN02U\20200502_061000.WAV	02-05-2020	06:13:56	02-05-2020	06:14:00	COTA	1	0	
23	Spectrogram 1	1	556602.1357	556602.2676	3236.4	6514.9	42.1357	4968.75	4968.75	3278.459	1687.5	0.1319	0.112	-801	851	851	E:\2020-summer\STIN02U\20200502_062000.WAV	02-05-2020	06:20:42	02-05-2020	06:20:42	CBSU	1	0	
24	Spectrogram 1	1	557131.2186	557131.853	7397.5	8952.7	91.2186	8625	8156.25	1555.166	1312.5	0.6344	0.56	-721	885	885	E:\2020-summer\STIN02U\20200502_063000.WAV	02-05-2020	06:31:31	02-05-2020	06:31:32	BBFL	1	0	
25	Spectrogram 1	1	557151.3882	557151.809	6388.8	7817.9	111.3882	6937.5	7031.25	1429.072	843.75	0.4209	0.3413	-829	926	926	E:\2020-summer\STIN02U\20200502_063000.WAV	02-05-2020	06:31:51	02-05-2020	06:31:52	VHPA	1	0	
26	Spectrogram 1	1	557332.1105	557332.2676	2185.6	3530.6	52.1105	2906.25	3000	1345.009	843.75	0.157	0.1013	-706	724	724	E:\2020-summer\STIN02U\20200502_063500.WAV	02-05-2020	06:35:52	02-05-2020	06:35:52	CHBE	1	0	
27	Spectrogram 1	1	557597.2739	557600	2858.1	4917.7	77.2739	4218.75	4218.75	2059.545	1781.25	2.7261	2.384	-1029	1216	1216	E:\2020-summer\STIN02U\20200502_064000.WAV	02-05-2020	06:41:17	02-05-2020	06:41:19	ASDR	0	1	
28	Spectrogram 1	1	557601.2814	557601.5327	1050.8	1765.3	81.2814	1500	1500	714.536	281.25	0.2513	0.16	-722	831	831	E:\2020-summer\STIN02U\20200502_064000.WAV	02-05-2020	06:41:21	02-05-2020	06:41:22	LBCR	1	0	
