Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	42.3241	42.87058127	1387	1891.4	42.3241	1687.5	1593.75	504.4	468.75	0.5465	0.48	-1434	1546	1546	E:\2020-summer\THEN10U\20200326_053000.WAV	26-03-2020	05:30:42	26-03-2020	05:30:43	MWTH	0	1	
2	Spectrogram 1	1	46.6897	46.7964837	630.5	1471.1	46.6897	1218.75	1125	840.6	750	0.1068	0.0907	-420	325	420	E:\2020-summer\THEN10U\20200326_053000.WAV	26-03-2020	05:30:47	26-03-2020	05:30:47	JENI	1	0	
3	Spectrogram 1	1	181.5515	182.6758695	630.5	1723.3	181.5515	1500	1031.25	1092.8	937.5	1.1244	1.04	-588	451	588	E:\2020-summer\THEN10U\20200326_053000.WAV	26-03-2020	05:33:02	26-03-2020	05:33:03	JUNI	1	0	
4	Spectrogram 1	1	464.1457	464.4660511	1092.8	2017.5	224.1457	1406.25	1500	924.7	750	0.3204	0.2507	-515	342	515	E:\2020-summer\THEN10U\20200326_054000.WAV	26-03-2020	05:43:44	26-03-2020	05:43:44	CHCU	1	0	
5	Spectrogram 1	1	527.4308	527.6003976	2437.8	3236.4	47.4308	2718.75	2812.5	798.6	656.25	0.1696	0.144	-629	575	629	E:\2020-summer\THEN10U\20200326_054500.WAV	26-03-2020	05:45:47	26-03-2020	05:45:48	STBU	1	0	
6	Spectrogram 1	1	720.8479	722.0790532	924.7	1555.2	0.8479	1312.5	1218.75	630.5	468.75	1.2312	1.0827	-737	654	737	E:\2020-summer\THEN10U\20200326_055500.WAV	26-03-2020	05:55:01	26-03-2020	05:55:02	GRJU	1	0	
7	Spectrogram 1	1	877.5124	877.8892836	1723.3	4455.3	157.5124	2531.25	3375	2732	2437.5	0.3769	0.3253	-410	358	410	E:\2020-summer\THEN10U\20200326_055500.WAV	26-03-2020	05:57:38	26-03-2020	05:57:38	GRTD	1	0	
8	Spectrogram 1	1	892.3805	895.0061227	2185.6	3278.5	172.3805	3093.75	3000	1092.9	843.75	2.6256	2.336	-471	461	471	E:\2020-summer\THEN10U\20200326_055500.WAV	26-03-2020	05:57:52	26-03-2020	05:57:55	WBWO	1	0	
9	Spectrogram 1	1	974.8617	976.7963693	3068.3	4959.7	14.8617	4125	4125	1891.4	1500	1.9347	1.664	-2150	2855	2855	E:\2020-summer\THEN10U\20200326_060000.WAV	26-03-2020	06:00:15	26-03-2020	06:00:17	IWEY	0	1	
10	Spectrogram 1	1	987.971	988.2410999	1260.9	5296	27.971	3562.5	2906.25	4035.1	1687.5	0.2701	0.2027	-2389	2415	2415	E:\2020-summer\THEN10U\20200326_060000.WAV	26-03-2020	06:00:28	26-03-2020	06:00:28	AFBL	1	0	
11	Spectrogram 1	1	986.6205	987.9584369	1975.5	3236.4	26.6205	2156.25	2437.5	1260.9	843.75	1.3379	1.2747	-1135	1336	1336	E:\2020-summer\THEN10U\20200326_060000.WAV	26-03-2020	06:00:27	26-03-2020	06:00:28	RWBU	1	0	
12	Spectrogram 1	1	985.5401	986.1493952	756.6	1176.9	25.5401	937.5	937.5	420.3	187.5	0.6093	0.5067	-517	591	591	E:\2020-summer\THEN10U\20200326_060000.WAV	26-03-2020	06:00:26	26-03-2020	06:00:26	ISBA	1	0	
