Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	874560.201	874560.6721	405.7	768.7	0.201	656.25	562.5	362.989	281.25	0.4711	0.4107	-1175	1143	1175	E:\2020-summer\UPMAP4B\20200328_053000.WAV	28-03-2020	05:30:00	28-03-2020	05:30:01	BRBO	1	0	
2	Spectrogram 1	1	874592.6005	874593.0904	1153	1750.9	32.6005	1593.75	1500	597.865	468.75	0.4899	0.3947	-1020	1220	1220	E:\2020-summer\UPMAP4B\20200328_053000.WAV	28-03-2020	05:30:33	28-03-2020	05:30:33	INPE	1	0	
3	Spectrogram 1	1	875580.7098	875581.2563	5380	6010.5	60.7098	5625	5625	630.473	468.75	0.5465	0.4	-503	582	582	E:\2020-summer\UPMAP4B\20200328_055000.WAV	28-03-2020	05:51:01	28-03-2020	05:51:01	MWTH	1	0	
4	Spectrogram 1	1	875628.8568	875629.8429	3236.4	6304.7	108.8568	5062.5	4968.75	3068.301	1687.5	0.9862	0.832	-576	784	784	E:\2020-summer\UPMAP4B\20200328_055000.WAV	28-03-2020	05:51:49	28-03-2020	05:51:50	WBBF	1	0	
5	Spectrogram 1	1	875694.7487	875696.162	2942.2	4329.2	174.7487	4125	4125	1387.04	937.5	1.4133	0.864	-1015	1052	1052	E:\2020-summer\UPMAP4B\20200328_055000.WAV	28-03-2020	05:52:55	28-03-2020	05:52:56	IWEY	0	1	
6	Spectrogram 1	1	875745.6281	875746.005	1807.4	4245.2	225.6281	4218.75	3187.5	2437.828	2250	0.3769	0.3147	-532	507	532	E:\2020-summer\UPMAP4B\20200328_055000.WAV	28-03-2020	05:53:46	28-03-2020	05:53:46	GRTD	1	0	
7	Spectrogram 1	1	875840.7977	875841.6143	3236.4	6598.9	80.7977	4125	4875	3362.522	2718.75	0.8166	0.6187	-618	688	688	E:\2020-summer\UPMAP4B\20200328_055500.WAV	28-03-2020	05:56:21	28-03-2020	05:56:22	SHMY	1	0	
8	Spectrogram 1	1	875893.9573	875894.9183	2101.6	3740.8	133.9573	3656.25	3187.5	1639.229	1312.5	0.9611	0.8	-553	661	661	E:\2020-summer\UPMAP4B\20200328_055500.WAV	28-03-2020	05:57:14	28-03-2020	05:57:15	BCFU	1	0	
9	Spectrogram 1	1	875979.755	875979.8932	1555.2	3068.3	219.755	2156.25	2156.25	1513.135	1218.75	0.1382	0.1227	-586	543	586	E:\2020-summer\UPMAP4B\20200328_055500.WAV	28-03-2020	05:58:40	28-03-2020	05:58:40	YBBU	1	0	
10	Spectrogram 1	1	876021.1055	876022.1545	1050.8	1387	21.1055	1218.75	1218.75	336.252	187.5	1.049	0.9493	-624	687	687	E:\2020-summer\UPMAP4B\20200328_060000.WAV	28-03-2020	06:00:21	28-03-2020	06:00:22	WCBA	1	0	
11	Spectrogram 1	1	876028.6809	876029.9309	966.7	1513.1	28.6809	1406.25	1312.5	546.41	375	1.25	1.12	-983	1092	1092	E:\2020-summer\UPMAP4B\20200328_060000.WAV	28-03-2020	06:00:29	28-03-2020	06:00:30	GRJU	1	0	
12	Spectrogram 1	1	876008.5615	876008.7123	1429.1	3446.6	8.5615	2156.25	2250	2017.513	1593.75	0.1508	0.128	-380	373	380	E:\2020-summer\UPMAP4B\20200328_060000.WAV	28-03-2020	06:00:09	28-03-2020	06:00:09	AFBL	1	0	
13	Spectrogram 1	1	876233.6621	876235.4774	2437.8	4791.6	233.6621	2625	3000	2353.765	2062.5	1.8153	1.6427	-1463	1399	1463	E:\2020-summer\UPMAP4B\20200328_060000.WAV	28-03-2020	06:03:54	28-03-2020	06:03:55	BNMO	1	0	
14	Spectrogram 1	1	876280.4146	876281.0992	2101.6	3110.3	40.4146	2906.25	2812.5	1008.757	750	0.6847	0.5387	-893	1028	1028	E:\2020-summer\UPMAP4B\20200328_060500.WAV	28-03-2020	06:05:40	28-03-2020	06:05:41	PTBA	1	0	
16	Spectrogram 1	1	876277.3429	876277.8455	882.7	1260.9	37.343	1125	1125	378.284	281.25	0.5025	0.432	-640	633	640	E:\2020-summer\UPMAP4B\20200328_060500.WAV	28-03-2020	06:05:37	28-03-2020	06:05:38	ISBA	1	0	
17	Spectrogram 1	1	876387.3235	876387.7569	8028	8448.3	147.3235	8250	8250	420.315	187.5	0.4334	0.336	-535	546	546	E:\2020-summer\UPMAP4B\20200328_060500.WAV	28-03-2020	06:07:27	28-03-2020	06:07:28	SPPI	1	0	
18	Spectrogram 1	1	876493.4542	876493.6552	1555.2	2774.1	13.4542	2625	2531.25	1218.914	562.5	0.201	0.1387	-3283	3329	3329	E:\2020-summer\UPMAP4B\20200328_061000.WAV	28-03-2020	06:10:13	28-03-2020	06:10:14	WBWO	1	0	
19	Spectrogram 1	1	876962.3424	876964.3587	4539.4	8196.1	2.3424	7500	6468.75	3656.743	2906.25	2.0163	1.6267	-856	903	903	E:\2020-summer\UPMAP4B\20200328_062000.WAV	28-03-2020	06:20:02	28-03-2020	06:20:04	CBSU	0	1	
20	Spectrogram 1	1	877024.1671	877025.6056	5127.8	7649.7	64.1671	6093.75	6281.25	2521.891	2156.25	1.4384	1.184	-618	592	618	E:\2020-summer\UPMAP4B\20200328_062000.WAV	28-03-2020	06:21:04	28-03-2020	06:21:06	VFNU	1	0	
21	Spectrogram 1	1	877038.2343	877038.8059	6641	8280.2	78.2343	7687.5	7500	1639.229	1218.75	0.5716	0.4267	-611	589	611	E:\2020-summer\UPMAP4B\20200328_062000.WAV	28-03-2020	06:21:18	28-03-2020	06:21:19	VHPA	1	0	
22	Spectrogram 1	1	877065.1439	877067.6502	2606	4119.1	105.1439	2718.75	3000	1513.135	1312.5	2.5063	2.1493	-572	713	713	E:\2020-summer\UPMAP4B\20200328_062000.WAV	28-03-2020	06:21:45	28-03-2020	06:21:48	STBU	1	0	
23	Spectrogram 1	1	877160.6967	877161.1049	1303	2395.8	200.6966	1875	1968.75	1092.82	843.75	0.4083	0.3307	-475	574	574	E:\2020-summer\UPMAP4B\20200328_062000.WAV	28-03-2020	06:23:21	28-03-2020	06:23:21	RESP	1	0	
24	Spectrogram 1	1	877203.6049	877203.718	756.6	1429.1	3.6049	1031.25	1125	672.504	468.75	0.1131	0.0533	-549	531	549	E:\2020-summer\UPMAP4B\20200328_062500.WAV	28-03-2020	06:25:04	28-03-2020	06:25:04	MGHO	1	0	
25	Spectrogram 1	1	877295.1062	877295.4454	2816.1	4749.6	95.1062	2906.25	3281.25	1933.45	1312.5	0.3392	0.2827	-564	538	564	E:\2020-summer\UPMAP4B\20200328_062500.WAV	28-03-2020	06:26:35	28-03-2020	06:26:35	ASDR	1	0	
26	Spectrogram 1	1	877633.2092	877633.5358	3614.7	7481.6	193.2092	5343.75	5437.5	3866.9	2625	0.3266	0.24	-518	556	556	E:\2020-summer\UPMAP4B\20200328_063000.WAV	28-03-2020	06:33:13	28-03-2020	06:33:14	GRWA	1	0	
27	Spectrogram 1	1	877885.1941	877886.8273	3824.9	6304.7	205.1941	4500	4968.75	2479.86	2062.5	1.6332	1.3547	-595	625	625	E:\2020-summer\UPMAP4B\20200328_063500.WAV	28-03-2020	06:38:25	28-03-2020	06:38:27	HSWO	1	0	
28	Spectrogram 1	1	878064.5786	878066.664	2732	3236.4	144.5786	3000	3000	504.378	281.25	2.0854	1.8453	-555	604	604	E:\2020-summer\UPMAP4B\20200328_064000.WAV	28-03-2020	06:42:25	28-03-2020	06:42:27	GRFL	1	0	
30	Spectrogram 1	1	878091.2871	878091.3813	5127.8	6809.1	171.2871	5531.25	5812.5	1681.261	1312.5	0.0942	0.064	-532	523	532	E:\2020-summer\UPMAP4B\20200328_064000.WAV	28-03-2020	06:42:51	28-03-2020	06:42:51	NIFP	1	0	
32	Spectrogram 1	1	879636.6954	879638.0459	2311.7	4455.3	36.6954	3937.5	3937.5	2143.608	1500	1.3505	0.9813	-709	785	785	E:\2020-summer\UPMAP4B\20200328_071500.WAV	28-03-2020	07:15:37	28-03-2020	07:15:38	MAPA	1	0	
33	Spectrogram 1	1	879940.1376	879940.6464	3278.5	6136.6	100.1376	3656.25	3750	2858.144	2343.75	0.5088	0.416	-540	667	667	E:\2020-summer\UPMAP4B\20200328_072000.WAV	28-03-2020	07:21:40	28-03-2020	07:21:41	LBLW	1	0	
34	Spectrogram 1	1	880275.8662	880275.9291	3488.6	8784.6	195.8662	7687.5	6187.5	5295.972	4968.75	0.0628	0.0533	-670	611	670	E:\2020-summer\UPMAP4B\20200328_072500.WAV	28-03-2020	07:28:16	28-03-2020	07:28:16	BRWA	1	0	
35	Spectrogram 1	1	880824.0007	880824.1012	903.7	1681.3	24.0007	1500	1312.5	777.583	562.5	0.1005	0.0747	-263	282	282	E:\2020-summer\UPMAP4B\20200328_074000.WAV	28-03-2020	07:40:24	28-03-2020	07:40:24	MATR	1	0	
36	Spectrogram 1	1	880850.9668	880851.1489	2858.1	5380	50.9667	4593.75	4312.5	2521.891	2156.25	0.1822	0.1493	-400	499	499	E:\2020-summer\UPMAP4B\20200328_074000.WAV	28-03-2020	07:40:51	28-03-2020	07:40:51	PHPA	1	0	
37	Spectrogram 1	1	881556.1175	881556.9404	3068.3	6094.6	36.1175	3562.5	4125	3026.27	2718.75	0.8229	0.7093	-447	643	643	E:\2020-summer\UPMAP4B\20200328_075500.WAV	28-03-2020	07:55:36	28-03-2020	07:55:37	IYTI	1	0	
38	Spectrogram 1	1	881981.7274	881982.0666	6220.7	7523.6	221.7274	7031.25	7031.25	1302.977	1125	0.3392	0.288	-455	523	523	E:\2020-summer\UPMAP4B\20200328_080000.WAV	28-03-2020	08:03:42	28-03-2020	08:03:42	SMMI	1	0	
