Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	634347.1231	634347.5816	882.7	1597.2	27.1231	1406.25	1312.5	714.536	375	0.4585	0.3627	-2106	2002	2106	E:\2020-summer\VAR310U\20200505_053000.WAV	05-05-2020	05:30:27	05-05-2020	05:30:28	INPE	1	0	
2	Spectrogram 1	1	634463.4108	634464.0389	1513.1	2017.5	143.4108	1593.75	1687.5	504.378	375	0.6281	0.5973	-17900	17795	17900	E:\2020-summer\VAR310U\20200505_053000.WAV	05-05-2020	05:32:23	05-05-2020	05:32:24	MWTH	0	1	
3	Spectrogram 1	1	634545.3392	634550	1008.8	3698.8	225.3392	2250	2250	2690.018	1218.75	4.6608	3.0987	-17864	18401	18401	E:\2020-summer\VAR310U\20200505_053000.WAV	05-05-2020	05:33:45	05-05-2020	05:33:49	GRTD	0	1	
4	Spectrogram 1	1	634690.1068	634690.2513	441.3	840.6	130.1068	656.25	656.25	399.299	281.25	0.1445	0.1173	-790	742	790	E:\2020-summer\VAR310U\20200505_053500.WAV	05-05-2020	05:37:10	05-05-2020	05:37:10	BRBO	1	0	
5	Spectrogram 1	1	634762.3367	634762.5063	2101.6	3866.9	202.3367	3843.75	3187.5	1765.324	1687.5	0.1696	0.1387	-1133	1212	1212	E:\2020-summer\VAR310U\20200505_053500.WAV	05-05-2020	05:38:22	05-05-2020	05:38:23	AFBL	1	0	
6	Spectrogram 1	1	634847.902	634848.3605	1555.2	2858.1	47.902	2343.75	2156.25	1302.977	1125	0.4585	0.4107	-1949	2443	2443	E:\2020-summer\VAR310U\20200505_054000.WAV	05-05-2020	05:40:48	05-05-2020	05:40:48	YBBU	1	0	
7	Spectrogram 1	1	634890.6093	634891.2249	1891.4	3110.3	90.6093	2156.25	2437.5	1218.914	937.5	0.6156	0.5547	-16299	17131	17131	E:\2020-summer\VAR310U\20200505_054000.WAV	05-05-2020	05:41:31	05-05-2020	05:41:31	RWBU	1	0	
8	Spectrogram 1	1	634980.2261	634980.3015	208	624.1	180.2261	375	375	416.091	281.25	0.0754	0.0587	-752	686	752	E:\2020-summer\VAR310U\20200505_054000.WAV	05-05-2020	05:43:00	05-05-2020	05:43:00	GRCO	1	0	
9	Spectrogram 1	1	635075.7349	635077.0791	951.1	1248.3	35.7349	1218.75	1125	297.208	187.5	1.3442	1.2427	-1131	1199	1199	E:\2020-summer\VAR310U\20200505_054500.WAV	05-05-2020	05:45:36	05-05-2020	05:45:37	WCBA	1	0	
10	Spectrogram 1	1	635154.4975	635154.7801	2017.5	2732	114.4975	2531.25	2531.25	714.536	468.75	0.2827	0.256	-1095	1116	1116	E:\2020-summer\VAR310U\20200505_054500.WAV	05-05-2020	05:46:54	05-05-2020	05:46:55	PTBA	1	0	
11	Spectrogram 1	1	635290.4962	635294.843	378.3	1008.8	10.4962	656.25	656.25	630.473	281.25	4.3467	3.9467	-1257	1373	1373	E:\2020-summer\VAR310U\20200505_055000.WAV	05-05-2020	05:50:10	05-05-2020	05:50:15	SPDO	1	0	
12	Spectrogram 1	1	635343.8505	635344.8995	462.3	1597.2	63.8505	937.5	937.5	1134.851	281.25	1.049	0.6773	-8411	9252	9252	E:\2020-summer\VAR310U\20200505_055000.WAV	05-05-2020	05:51:04	05-05-2020	05:51:05	ISBA	0	1	
13	Spectrogram 1	1	635342.8266	635343.2726	105.1	378.3	62.8266	187.5	281.25	273.205	187.5	0.446	0.4107	-1173	1154	1173	E:\2020-summer\VAR310U\20200505_055000.WAV	05-05-2020	05:51:03	05-05-2020	05:51:03	MIPI	1	0	
14	Spectrogram 1	1	635437.1105	635437.412	1008.8	1975.5	157.1105	1875	1687.5	966.725	656.25	0.3015	0.2507	-1610	1704	1704	E:\2020-summer\VAR310U\20200505_055000.WAV	05-05-2020	05:52:37	05-05-2020	05:52:37	RESP	1	0	
15	Spectrogram 1	1	635521.8342	635522.9146	861.6	1555.2	1.8342	1218.75	1218.75	693.52	468.75	1.0804	0.96	-1050	1156	1156	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:55:02	05-05-2020	05:55:03	GRJU	1	0	
17	Spectrogram 1	1	635524.1143	635524.6231	1218.9	2227.7	4.1143	1968.75	1781.25	1008.757	843.75	0.5088	0.432	-917	914	917	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:55:04	05-05-2020	05:55:05	CHCU	1	0	
18	Spectrogram 1	1	635592.3932	635593.2098	267.5	535	72.3932	375	375	267.487	187.5	0.8166	0.736	-803	1035	1035	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:56:12	05-05-2020	05:56:13	AEDO	1	0	
19	Spectrogram 1	1	635608.8945	635609.108	3068.3	3698.8	88.8945	3468.75	3468.75	630.473	562.5	0.2136	0.176	-770	795	795	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:56:29	05-05-2020	05:56:29	IWEY	1	0	
20	Spectrogram 1	1	635618.7814	635619.0578	294.2	1092.8	98.7814	1031.25	937.5	798.599	562.5	0.2764	0.1813	-1126	1034	1126	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:56:39	05-05-2020	05:56:39	MGHO	1	0	
21	Spectrogram 1	1	635690.8417	635691.4761	2101.6	2774.1	170.8417	2531.25	2531.25	672.504	468.75	0.6344	0.4907	-793	901	901	E:\2020-summer\VAR310U\20200505_055500.WAV	05-05-2020	05:57:51	05-05-2020	05:57:51	COIO	1	0	
22	Spectrogram 1	1	635782.2613	635782.3241	6430.8	7691.8	22.2613	7406.25	7031.25	1260.946	1125	0.0628	0.0533	-639	644	644	E:\2020-summer\VAR310U\20200505_060000.WAV	05-05-2020	06:00:22	05-05-2020	06:00:22	NIFP	1	0	
23	Spectrogram 1	1	636163.4108	636163.5176	1597.2	2858.1	163.4108	2625	2625	1260.946	843.75	0.1068	0.0693	-618	692	692	E:\2020-summer\VAR310U\20200505_060500.WAV	05-05-2020	06:07:43	05-05-2020	06:07:44	STBU	1	0	
24	Spectrogram 1	1	636720.201	636720.2575	630.5	1050.8	0.201	843.75	843.75	420.315	187.5	0.0565	0.0267	-553	444	553	E:\2020-summer\VAR310U\20200505_062000.WAV	05-05-2020	06:20:00	05-05-2020	06:20:00	MABA	1	0	
25	Spectrogram 1	1	636742.6382	636743.7374	1303	2437.8	22.6382	1687.5	1781.25	1134.851	937.5	1.0992	0.9813	-606	735	735	E:\2020-summer\VAR310U\20200505_062000.WAV	05-05-2020	06:20:23	05-05-2020	06:20:24	WBTR	1	0	
26	Spectrogram 1	1	637051.7965	637052.0415	9162.9	9625.2	91.7965	9375	9375	462.347	187.5	0.245	0.1173	-812	886	886	E:\2020-summer\VAR310U\20200505_062500.WAV	05-05-2020	06:26:32	05-05-2020	06:26:32	SPPI	1	0	
27	Spectrogram 1	1	637059.2274	637059.6168	6430.8	7859.9	99.2274	7593.75	7218.75	1429.072	1125	0.3894	0.3307	-841	800	841	E:\2020-summer\VAR310U\20200505_062500.WAV	05-05-2020	06:26:39	05-05-2020	06:26:40	VHPA	1	0	
