Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	0.1131	0.314104606	298.9	1323.8	0.1131	562.5	750	1024.9	843.75	0.201	0.16	-1152	1072	1152	E:\2020-summer\VAR410R\20200312_053000.WAV	12-03-2020	05:30:00	12-03-2020	05:30:00	UK	1	0	ISOW?
2	Spectrogram 1	1	0.4522	0.747425516	939.5	2306	0.4522	1875	1875	1366.5	656.25	0.2952	0.2027	-649	611	649	E:\2020-summer\VAR410R\20200312_053000.WAV	12-03-2020	05:30:00	12-03-2020	05:30:01	UK	1	0	
3	Spectrogram 1	1	3.8505	3.938439515	587.4	1762.2	3.8505	1125	1125	1174.8	937.5	0.0879	0.08	-361	381	381	E:\2020-summer\VAR410R\20200312_053000.WAV	12-03-2020	05:30:04	12-03-2020	05:30:04	JUNI	1	0	
4	Spectrogram 1	1	44.8806	45.42079988	1176.9	2185.6	44.8806	1312.5	1593.75	1008.7	937.5	0.5402	0.4907	-1181	1350	1350	E:\2020-summer\VAR410R\20200312_053000.WAV	12-03-2020	05:30:45	12-03-2020	05:30:45	CHCU	1	0	
5	Spectrogram 1	1	146.6331	146.7901348	1933.5	4035	146.6331	2718.75	2906.25	2101.5	1875	0.157	0.1387	-332	436	436	E:\2020-summer\VAR410R\20200312_053000.WAV	12-03-2020	05:32:27	12-03-2020	05:32:27	COTA	1	0	
6	Spectrogram 1	1	320.9548	322.4434904	1387	1933.5	80.9548	1687.5	1593.75	546.5	468.75	1.4887	1.1307	-1250	1251	1251	E:\2020-summer\VAR410R\20200312_053500.WAV	12-03-2020	05:36:21	12-03-2020	05:36:22	MWTH	0	1	
7	Spectrogram 1	1	318.6055	318.7060023	1891.4	3320.5	78.6055	2718.75	2437.5	1429.1	1218.75	0.1005	0.0853	-422	484	484	E:\2020-summer\VAR410R\20200312_053500.WAV	12-03-2020	05:36:19	12-03-2020	05:36:19	BNMO	1	0	
8	Spectrogram 1	1	652.2048	652.9711301	1639.2	2900.2	172.2048	2437.5	2343.75	1261	937.5	0.7663	0.592	-1392	1274	1392	E:\2020-summer\VAR410R\20200312_054000.WAV	12-03-2020	05:42:52	12-03-2020	05:42:53	RWLA	1	0	
9	Spectrogram 1	1	912.745	913.3166068	2858.1	3488.6	192.745	3281.25	3187.5	630.5	468.75	0.5716	0.5013	-636	554	636	E:\2020-summer\VAR410R\20200312_060000.WAV	12-03-2020	06:03:13	12-03-2020	06:03:13	SHMY	1	0	
10	Spectrogram 1	1	914.9937	916.0552556	924.7	3152.4	194.9937	1968.75	2062.5	2227.7	1687.5	1.0616	0.9333	-1144	1354	1354	E:\2020-summer\VAR410R\20200312_060000.WAV	12-03-2020	06:03:15	12-03-2020	06:03:16	GRTD	1	0	
