Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song
1	Spectrogram 1	1	199792.6319	199792.7827	1167.8	1570.5	112.6319	1406.25	1406.25	402.7	281.25	0.1508	0.128	-374	433	433	E:\2020-winter\HP36P1B\20201215_055500.WAV	15-12-2020	5:56:53 AM	15-12-2020	5:56:53 AM	MWTH	0	1
2	Spectrogram 1	1	200348.0402	200350	1530.2	2375.8	188.0402	1875	1968.75	845.6	750	1.9598	1.7813	-756	732	756	E:\2020-winter\HP36P1B\20201215_060500.WAV	15-12-2020	6:08:08 AM	15-12-2020	6:08:10 AM	GRTD	0	1
3	Spectrogram 1	1	200469.3656	200470	1006.7	1452.2	69.3656	1218.75	1218.75	445.5	281.25	0.6344	0.512	-487	444	487	E:\2020-winter\HP36P1B\20201215_061000.WAV	15-12-2020	6:11:09 AM	15-12-2020	6:11:10 AM	WCBA	0	1
4	Spectrogram 1	1	200470	200472.0603	1025.1	1423.7	70	1218.75	1218.75	398.6	187.5	2.0603	1.744	-522	700	700	E:\2020-winter\HP36P1B\20201215_061000.WAV	15-12-2020	6:11:10 AM	15-12-2020	6:11:12 AM	WCBA	0	1
5	Spectrogram 1	1	200404.6043	200405.7852	2859.1	4953	4.6043	3656.25	3843.75	2093.9	1781.25	1.1809	1.056	-448	477	477	E:\2020-winter\HP36P1B\20201215_061000.WAV	15-12-2020	6:10:05 AM	15-12-2020	6:10:06 AM	IWEY	0	1
6	Spectrogram 1	1	200546.5201	200546.6017	4671.1	7047	146.5201	5906.25	6000	2375.9	2062.5	0.0816	0.0693	-337	312	337	E:\2020-winter\HP36P1B\20201215_061000.WAV	15-12-2020	6:12:27 AM	15-12-2020	6:12:27 AM	CBSU	1	0
7	Spectrogram 1	1	200646.2751	200647.5502	1812.1	4147.7	6.2751	3093.75	2531.25	2335.6	1406.25	1.2751	1.0347	-716	661	716	E:\2020-winter\HP36P1B\20201215_061500.WAV	15-12-2020	6:15:06 AM	15-12-2020	6:15:08 AM	BCFU	0	1
9	Spectrogram 1	1	200726.8279	200728.059	765.1	1731.5	86.8279	1125	1125	966.4	750	1.2311	1.1413	-554	597	597	E:\2020-winter\HP36P1B\20201215_061500.WAV	15-12-2020	6:16:27 AM	15-12-2020	6:16:28 AM	GRJU	1	0
10	Spectrogram 1	1	200972.5251	200972.6319	3865.8	5758.4	92.5251	4781.25	4781.25	1892.6	1781.25	0.1068	0.0907	-309	410	410	E:\2020-winter\HP36P1B\20201215_062000.WAV	15-12-2020	6:21:33 AM	15-12-2020	6:21:33 AM	CBSU	1	0
11	Spectrogram 1	1	201029.9367	201030.2068	1369.1	2375.8	149.9367	1968.75	1968.75	1006.7	656.25	0.2701	0.224	-520	434	520	E:\2020-winter\HP36P1B\20201215_062000.WAV	15-12-2020	6:22:30 AM	15-12-2020	6:22:30 AM	YBBU	1	0
