Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	0	476400	476403.6118	1087.248	2013.423	1593.75	1500	926.175	750	3.6118	3.2427	-732	650	732	E:\2020-winter\HP36P1B\20201219_061000.WAV	19-12-2020	06:10:00 AM	19-12-2020	06:10:04 AM	MWTH	0	1	rain
2	Spectrogram 1	1	2.8141	476642.8141	476649.1206	1127.517	2979.866	1593.75	1687.5	1852.349	1593.75	6.3065	5.7013	-975	2375	2375	E:\2020-winter\HP36P1B\20201219_061500.WAV	19-12-2020	06:15:03 AM	19-12-2020	06:15:09 AM	GRTD	0	1	
3	Spectrogram 1	1	20.3769	476660.3769	476662.5817	926.174	1328.859	1125	1125	402.685	375	2.2048	1.9893	-571	648	648	E:\2020-winter\HP36P1B\20201219_061500.WAV	19-12-2020	06:15:20 AM	19-12-2020	06:15:23 AM	WCBA	0	1	
4	Spectrogram 1	1	31.2123	476671.2123	476672.2425	5073.826	5677.852	5437.5	5437.5	604.026	281.25	1.0302	0.464	-828	875	875	E:\2020-winter\HP36P1B\20201219_061500.WAV	19-12-2020	06:15:31 AM	19-12-2020	06:15:32 AM	MWTH	1	0	
5	Spectrogram 1	1	101.5578	476741.5578	476741.8279	8416.107	8738.255	8625	8625	322.148	93.75	0.2701	0.128	-580	601	601	E:\2020-winter\HP36P1B\20201219_061500.WAV	19-12-2020	06:16:42 AM	19-12-2020	06:16:42 AM	SPPI	1	0	
6	Spectrogram 1	1	205.2198	476845.2198	476846.8216	2859.06	4228.188	3375	3468.75	1369.128	1125	1.6018	1.4187	-595	624	624	E:\2020-winter\HP36P1B\20201219_061500.WAV	19-12-2020	06:18:25 AM	19-12-2020	06:18:27 AM	IWEY	0	1	
7	Spectrogram 1	1	0	476880	476880.1256	442.953	845.638	656.25	656.25	402.685	281.25	0.1256	0.0907	-385	292	385	E:\2020-winter\HP36P1B\20201219_062000.WAV	19-12-2020	06:20:00 AM	19-12-2020	06:20:00 AM	BRBO	1	0	
8	Spectrogram 1	1	32.4749	476912.4749	476912.6382	4469.799	7288.591	6187.5	6093.75	2818.792	2156.25	0.1633	0.1387	-376	384	384	E:\2020-winter\HP36P1B\20201219_062000.WAV	19-12-2020	06:20:32 AM	19-12-2020	06:20:33 AM	CBSU	1	0	
9	Spectrogram 1	1	113.1721	476993.1721	476994.5477	1973.154	3704.698	3000	3000	1731.544	1125	1.3756	1.008	-691	715	715	E:\2020-winter\HP36P1B\20201219_062000.WAV	19-12-2020	06:21:53 AM	19-12-2020	06:21:55 AM	BCFU	1	0	
10	Spectrogram 1	1	153.6558	477033.6558	477033.9824	3181.208	3825.503	3656.25	3562.5	644.295	468.75	0.3266	0.272	-612	545	612	E:\2020-winter\HP36P1B\20201219_062000.WAV	19-12-2020	06:22:34 AM	19-12-2020	06:22:34 AM	IWEY	1	0	
11	Spectrogram 1	1	223.2224	477103.2224	477104.0452	7449.664	8818.792	8343.75	8250	1369.128	1312.5	0.8228	0.7413	-531	582	582	E:\2020-winter\HP36P1B\20201219_062000.WAV	19-12-2020	06:23:43 AM	19-12-2020	06:23:44 AM	BBFL	1	0	
12	Spectrogram 1	1	14.5729	477134.5729	477134.7927	2093.96	3302.013	3093.75	3000	1208.053	843.75	0.2198	0.1813	-820	858	858	E:\2020-winter\HP36P1B\20201219_062500.WAV	19-12-2020	06:25:15 AM	19-12-2020	06:25:15 AM	SHIK	1	0	
13	Spectrogram 1	1	45.157	477165.157	477166.1683	926.174	1489.933	1031.25	1218.75	563.759	468.75	1.0113	0.8907	-2298	2279	2298	E:\2020-winter\HP36P1B\20201219_062500.WAV	19-12-2020	06:25:45 AM	19-12-2020	06:25:46 AM	GRJU	1	0	
14	Spectrogram 1	1	11.1118	477131.1118	477131.5515	2255.034	3382.55	3187.5	2906.25	1127.516	843.75	0.4397	0.3947	-924	1277	1277	E:\2020-winter\HP36P1B\20201219_062500.WAV	19-12-2020	06:25:11 AM	19-12-2020	06:25:12 AM	YBBU	1	0	
17	Spectrogram 1	1	38.7374	477158.7374	477158.8568	284.741	541.008	375	375	256.267	93.75	0.1194	0.1013	-374	326	374	E:\2020-winter\HP36P1B\20201219_062500.WAV	19-12-2020	06:25:39 AM	19-12-2020	06:25:39 AM	AEDO	1	0	
18	Spectrogram 1	1	14.1143	477374.1143	477374.3467	3825.503	7691.275	5250	5250	3865.772	2906.25	0.2324	0.1813	-944	890	944	E:\2020-winter\HP36P1B\20201219_063000.WAV	19-12-2020	06:30:14 AM	19-12-2020	06:30:14 AM	GRNW	1	0	
19	Spectrogram 1	1	230.6721	477350.6721	477351.0616	3463.087	4348.993	3656.25	3843.75	885.906	656.25	0.3895	0.32	-437	593	593	E:\2020-winter\HP36P1B\20201219_062500.WAV	19-12-2020	06:28:51 AM	19-12-2020	06:28:51 AM	SHMY	1	0	
20	Spectrogram 1	1	100.0126	477700.0126	477700.1759	2255.034	2979.866	2718.75	2718.75	724.832	468.75	0.1633	0.1333	-461	488	488	E:\2020-winter\HP36P1B\20201219_063500.WAV	19-12-2020	06:36:40 AM	19-12-2020	06:36:40 AM	STBU	1	0	
22	Spectrogram 1	1	120.2261	477720.2261	477720.9422	2738.255	6885.906	3187.5	3750	4147.651	3281.25	0.7161	0.6507	-606	676	676	E:\2020-winter\HP36P1B\20201219_063500.WAV	19-12-2020	06:37:00 AM	19-12-2020	06:37:01 AM	STBU	0	1	
23	Spectrogram 1	1	88.8693	477928.8693	477928.9824	3261.745	6000	5156.25	5062.5	2738.255	1781.25	0.1131	0.096	-826	994	994	E:\2020-winter\HP36P1B\20201219_064000.WAV	19-12-2020	06:41:29 AM	19-12-2020	06:41:29 AM	CBSU	1	0	
24	Spectrogram 1	1	152.3806	478232.3806	478232.6822	3583.893	3906.04	3750	3750	322.147	187.5	0.3016	0.256	-503	581	581	E:\2020-winter\HP36P1B\20201219_064500.WAV	19-12-2020	06:47:32 AM	19-12-2020	06:47:33 AM	LBLW	1	0	
25	Spectrogram 1	1	58.9761	478378.9761	478380	2335.57	3664.43	3281.25	3187.5	1328.86	937.5	1.0239	0.864	-624	625	625	E:\2020-winter\HP36P1B\20201219_065000.WAV	19-12-2020	06:50:59 AM	19-12-2020	06:51:00 AM	YBBU	0	1	
26	Spectrogram 1	1	60	478380	478380.647	2214.765	3583.893	3468.75	3093.75	1369.128	1031.25	0.647	0.576	-568	618	618	E:\2020-winter\HP36P1B\20201219_065000.WAV	19-12-2020	06:51:00 AM	19-12-2020	06:51:01 AM	YBBU	0	1	cont
28	Spectrogram 1	1	133.0653	478453.0653	478453.2977	3744.966	5073.826	3937.5	4312.5	1328.86	1125	0.2324	0.208	-632	979	979	E:\2020-winter\HP36P1B\20201219_065000.WAV	19-12-2020	06:52:13 AM	19-12-2020	06:52:13 AM	BNMO	1	0	
29	Spectrogram 1	1	38.4359	478838.4359	478838.5113	8778.523	9583.893	9375	9281.25	805.37	562.5	0.0754	0.0533	-857	779	857	E:\2020-winter\HP36P1B\20201219_070000.WAV	19-12-2020	07:00:38 AM	19-12-2020	07:00:39 AM	NIFP	1	0	
30	Spectrogram 1	1	169.2651	478969.2651	478970	2778.523	4026.846	3000	3093.75	1248.323	937.5	0.7349	0.624	-970	1125	1125	E:\2020-winter\HP36P1B\20201219_070000.WAV	19-12-2020	07:02:49 AM	19-12-2020	07:02:50 AM	PTBA	0	1	
32	Spectrogram 1	1	196.7148	479476.7148	479477.4372	3221.477	4993.289	4031.25	4125	1771.812	1406.25	0.7224	0.6347	-602	746	746	E:\2020-winter\HP36P1B\20201219_071000.WAV	19-12-2020	07:13:17 AM	19-12-2020	07:13:17 AM	BNMO	0	1	
34	Spectrogram 1	1	123.1407	479883.1407	479884.9309	4550.336	8093.96	7031.25	6375	3543.624	3093.75	1.7902	1.5787	-735	800	800	E:\2020-winter\HP36P1B\20201219_072000.WAV	19-12-2020	07:22:03 AM	19-12-2020	07:22:05 AM	VFNU	1	0	
36	Spectrogram 1	1	200.7726	479960.7726	479961.5515	3140.94	5154.362	4031.25	3937.5	2013.422	1687.5	0.7789	0.6933	-666	701	701	E:\2020-winter\HP36P1B\20201219_072000.WAV	19-12-2020	07:23:21 AM	19-12-2020	07:23:22 AM	GHCF	1	0	
37	Spectrogram 1	1	202.8957	479962.8957	479964.4598	80.537	422.819	281.25	187.5	342.282	281.25	1.5641	1.4347	-756	824	824	E:\2020-winter\HP36P1B\20201219_072000.WAV	19-12-2020	07:23:23 AM	19-12-2020	07:23:24 AM	MIPI	1	0	
38	Spectrogram 1	1	39.5163	480039.5163	480040	1932.886	2697.987	2531.25	2343.75	765.101	562.5	0.4837	0.384	-718	914	914	E:\2020-winter\HP36P1B\20201219_072500.WAV	19-12-2020	07:25:40 AM	19-12-2020	07:25:40 AM	GRFL	1	0	
39	Spectrogram 1	1	42.7261	480282.7261	480284.598	3020.134	4832.215	4125	4031.25	1812.081	1500	1.8719	1.68	-807	828	828	E:\2020-winter\HP36P1B\20201219_073000.WAV	19-12-2020	07:30:43 AM	19-12-2020	07:30:45 AM	STWO	0	1	
41	Spectrogram 1	1	174.1143	481134.1143	481134.3467	2375.839	3302.013	3093.75	2906.25	926.174	843.75	0.2324	0.2027	-669	828	828	E:\2020-winter\HP36P1B\20201219_074500.WAV	19-12-2020	07:47:54 AM	19-12-2020	07:47:54 AM	RTFL	1	0	
43	Spectrogram 1	1	101.0741	482261.0741	482261.6834	5355.705	7369.128	6843.75	6562.5	2013.423	1593.75	0.6093	0.5333	-792	823	823	E:\2020-winter\HP36P1B\20201219_081000.WAV	19-12-2020	08:11:41 AM	19-12-2020	08:11:42 AM	NIFP	0	1	
44	Spectrogram 1	1	11.3065	485051.3065	485051.6646	6926.174	8013.423	7312.5	7406.25	1087.249	937.5	0.3581	0.32	-625	808	808	E:\2020-winter\HP36P1B\20201219_091000.WAV	19-12-2020	09:10:11 AM	19-12-2020	09:10:12 AM	VHPA	1	0	
