Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
2	Spectrogram 1	1	197.0917	340517.0917	340517.1671	294.221	1155.867	468.75	562.5	861.646	656.25	0.0754	0.0533	-454	874	874	E:\2020-winter\HP4008R\20201217_055000.WAV	17-12-2020	05:53:17	17-12-2020	05:53:17	GRHO	1	0	rain
3	Spectrogram 1	1	86.7274	341126.7274	341127.2362	5085.814	5632.224	5343.75	5343.75	546.41	281.25	0.5088	0.3573	-719	1601	1601	E:\2020-winter\HP4008R\20201217_060500.WAV	17-12-2020	06:06:27	17-12-2020	06:06:27	MWTH	1	0	
4	Spectrogram 1	1	93.1344	341133.1344	341133.9447	2647.986	4077.058	2812.5	3187.5	1429.072	1218.75	0.8103	0.704	-650	840	840	E:\2020-winter\HP4008R\20201217_060500.WAV	17-12-2020	06:06:33	17-12-2020	06:06:34	RWBU	1	0	
5	Spectrogram 1	1	0	341280	341280.1822	756.567	1092.82	937.5	937.5	336.253	187.5	0.1822	0.1387	-718	730	730	E:\2020-winter\HP4008R\20201217_061000.WAV	17-12-2020	06:10:00	17-12-2020	06:10:00	MWTH	0	1	
6	Spectrogram 1	1	141.1872	341421.1872	341422.2927	1597.198	3320.49	1687.5	2343.75	1723.292	1500	1.1055	0.9867	-1224	1336	1336	E:\2020-winter\HP4008R\20201217_061000.WAV	17-12-2020	06:12:21	17-12-2020	06:12:22	BCFU	1	0	
9	Spectrogram 1	1	63.9887	341583.9887	341586.1181	3194.396	5211.909	3843.75	3843.75	2017.513	1500	2.1294	1.8827	-723	880	880	E:\2020-winter\HP4008R\20201217_061500.WAV	17-12-2020	06:16:04	17-12-2020	06:16:06	IWEY	0	1	
10	Spectrogram 1	1	229.0923	341749.0923	341749.2525	903.678	1366.025	1125	1125	462.347	375	0.1602	0.1333	-410	478	478	E:\2020-winter\HP4008R\20201217_061500.WAV	17-12-2020	06:18:49	17-12-2020	06:18:49	WCBA	1	0	
11	Spectrogram 1	1	51.6583	341811.6583	341811.7337	5085.814	7817.863	6937.5	6468.75	2732.049	2437.5	0.0754	0.0587	-1152	1260	1260	E:\2020-winter\HP4008R\20201217_062000.WAV	17-12-2020	06:20:52	17-12-2020	06:20:52	NIFP	1	0	
12	Spectrogram 1	1	116.3819	341876.3819	341877.7387	5800.35	8196.147	7218.75	6937.5	2395.797	2062.5	1.3568	1.216	-1493	1335	1493	E:\2020-winter\HP4008R\20201217_062000.WAV	17-12-2020	06:21:56	17-12-2020	06:21:58	CBSU	0	1	
13	Spectrogram 1	1	195.9359	341955.9359	341956.8718	6178.634	8490.368	6843.75	7312.5	2311.734	1687.5	0.9359	0.8107	-8616	5861	8616	E:\2020-winter\HP4008R\20201217_062000.WAV	17-12-2020	06:23:16	17-12-2020	06:23:17	NIFP	0	1	
14	Spectrogram 1	1	65.7726	342065.7726	342065.9987	3320.49	3908.932	3750	3656.25	588.442	375	0.2261	0.1707	-592	629	629	E:\2020-winter\HP4008R\20201217_062500.WAV	17-12-2020	06:26:06	17-12-2020	06:26:06	IWEY	1	0	
15	Spectrogram 1	1	130.8731	342130.8731	342130.9736	4497.373	6220.665	4500	5437.5	1723.292	1593.75	0.1005	0.064	-2536	2503	2536	E:\2020-winter\HP4008R\20201217_062500.WAV	17-12-2020	06:27:11	17-12-2020	06:27:11	CBSU	1	0	
