Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	59233.26947	59233.63065	5338.1	5679.7	193.2695	5531.25	5531.25	341.6	281.25	0.3612	0.3253	-416	374	416	E:\2020-winter\HP4008U\20201213_055000.WAV	13-12-2020	05:53:13	13-12-2020	05:53:14	MWTH	1	0	
2	Spectrogram 1	1	59348.17837	59348.66204	1195.7	2306	68.1784	1312.5	1593.75	1110.3	937.5	0.4837	0.4213	-4507	4510	4510	E:\2020-winter\HP4008U\20201213_055500.WAV	13-12-2020	05:56:08	13-12-2020	05:56:09	MWTH	0	1	
4	Spectrogram 1	1	59040.76633	59042.06658	85.4	1452	0.7663	562.5	656.25	1366.6	937.5	1.3003	0.992	-4555	4797	4797	E:\2020-winter\HP4008U\20201213_055000.WAV	13-12-2020	05:50:01	13-12-2020	05:50:02	GRHO	0	1	
5	Spectrogram 1	1	59619.49119	59619.99998	3501.8	5081.9	99.4912	4687.5	4125	1580.1	1312.5	0.5088	0.4267	-477	482	482	E:\2020-winter\HP4008U\20201213_060000.WAV	13-12-2020	06:01:39	13-12-2020	06:01:39	IWEY	0	1	
6	Spectrogram 1	1	59707.30526	59707.55024	1964.4	2903.9	187.3053	2718.75	2531.25	939.5	843.75	0.245	0.2133	-387	596	596	E:\2020-winter\HP4008U\20201213_060000.WAV	13-12-2020	06:03:07	13-12-2020	06:03:08	RWBU	1	0	
7	Spectrogram 1	1	59745.43969	59748.61807	1195.7	3928.8	225.4397	1687.5	1968.75	2733.1	1406.25	3.1784	2.8533	-1364	1301	1364	E:\2020-winter\HP4008U\20201213_060000.WAV	13-12-2020	06:03:45	13-12-2020	06:03:49	GRTD	0	1	
9	Spectrogram 1	1	59850.79146	59850.89196	4142.3	6448.4	90.7915	5156.25	5343.75	2306.1	1781.25	0.1005	0.0747	-644	696	696	E:\2020-winter\HP4008U\20201213_060500.WAV	13-12-2020	06:06:31	13-12-2020	06:06:31	CBSU	1	0	
12	Spectrogram 1	1	59994.88692	59996.13692	2049.8	3202.8	234.8869	2812.5	2625	1153	1031.25	1.25	1.104	-1326	1386	1386	E:\2020-winter\HP4008U\20201213_060500.WAV	13-12-2020	06:08:55	13-12-2020	06:08:56	BCFU	1	0	
13	Spectrogram 1	1	60001.95979	60002.14196	982.2	1452	1.9598	1218.75	1218.75	469.8	375	0.1822	0.1653	-783	593	783	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:10:02	13-12-2020	06:10:02	WCBA	1	0	
14	Spectrogram 1	1	60015.45853	60015.72863	1110.3	1793.6	15.4585	1687.5	1500	683.3	656.25	0.2701	0.2347	-693	845	845	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:10:15	13-12-2020	06:10:16	MGHO	1	0	
15	Spectrogram 1	1	60057.52511	60059.99998	298.9	896.8	57.5251	750	656.25	597.9	375	2.4749	2.048	-784	811	811	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:10:58	13-12-2020	06:10:59	SPDO	1	0	
16	Spectrogram 1	1	60085.22612	60086.22486	6832.7	8071.2	85.2261	7406.25	7500	1238.5	1218.75	0.9987	0.9227	-678	667	678	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:11:25	13-12-2020	06:11:26	NIFP	0	1	
17	Spectrogram 1	1	60094.7613	60094.80527	3629.9	7174.4	94.7613	6281.25	6187.5	3544.5	2156.25	0.044	0.032	-781	684	781	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:11:35	13-12-2020	06:11:35	BRWA	1	0	
18	Spectrogram 1	1	60122.10427	60122.22361	2605	3672.6	122.1043	2906.25	3000	1067.6	656.25	0.1193	0.08	-535	540	540	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:12:02	13-12-2020	06:12:02	IBRO	1	0	
19	Spectrogram 1	1	60180.05025	60182.29271	4185.1	6875.4	180.0503	4312.5	4875	2690.3	2250	2.2425	2.048	-730	737	737	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:13:00	13-12-2020	06:13:02	VFNU	1	0	
20	Spectrogram 1	1	60204.65451	60205.26381	4313.2	6832.7	204.6545	6187.5	5812.5	2519.5	1968.75	0.6093	0.4747	-560	512	560	E:\2020-winter\HP4008U\20201213_061000.WAV	13-12-2020	06:13:25	13-12-2020	06:13:25	GHCF	1	0	
21	Spectrogram 1	1	60261.68341	60262.18593	192.2	533.8	21.6834	375	375	341.6	187.5	0.5025	0.448	-913	896	913	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:15:22	13-12-2020	06:15:22	AEDO	1	0	
22	Spectrogram 1	1	60335.16959	60337.31782	512.5	5380.8	95.1696	2156.25	1968.75	4868.3	3562.5	2.1482	1.952	-570	755	755	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:16:35	13-12-2020	06:16:37	ASDR	1	0	
23	Spectrogram 1	1	60395.43341	60396.20602	1836.3	3202.8	155.4334	3000	2718.75	1366.5	1125	0.7726	0.6773	-1626	1884	1884	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:17:35	13-12-2020	06:17:36	PTBA	1	0	
24	Spectrogram 1	1	60401.80904	60402.27386	683.3	1067.6	161.809	937.5	843.75	384.3	281.25	0.4648	0.3893	-641	565	641	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:17:42	13-12-2020	06:17:42	ISBA	1	0	
25	Spectrogram 1	1	60414.57285	60415.74119	982.2	1622.8	174.5729	1125	1218.75	640.6	468.75	1.1683	0.6933	-789	918	918	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:17:55	13-12-2020	06:17:56	GRJU	1	0	
26	Spectrogram 1	1	60643.46733	60643.951	5850.5	8113.9	163.4673	7218.75	7125	2263.4	843.75	0.4837	0.32	-2025	2591	2591	E:\2020-winter\HP4008U\20201213_062000.WAV	13-12-2020	06:22:43	13-12-2020	06:22:44	VHPA	1	0	
27	Spectrogram 1	1	60469.07661	60469.30903	3544.5	7131.7	229.0766	3656.25	4593.75	3587.2	3000	0.2324	0.192	-417	367	417	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:18:49	13-12-2020	06:18:49	GRNW	1	0	
28	Spectrogram 1	1	60703.38567	60703.48617	2092.5	5252.7	223.3857	3375	3375	3160.2	1593.75	0.1005	0.0853	-559	550	559	E:\2020-winter\HP4008U\20201213_062000.WAV	13-12-2020	06:23:43	13-12-2020	06:23:43	AFBL	1	0	
29	Spectrogram 1	1	60415.75376	60417.93968	1723.3	3951	175.7537	3281.25	2812.5	2227.7	1781.25	2.1859	1.8347	-1586	1605	1605	E:\2020-winter\HP4008U\20201213_061500.WAV	13-12-2020	06:17:56	13-12-2020	06:17:58	YBBU	0	1	
30	Spectrogram 1	1	60746.97235	60747.06657	3320.5	4119.1	26.9724	3843.75	3843.75	798.6	562.5	0.0942	0.08	-426	473	473	E:\2020-winter\HP4008U\20201213_062500.WAV	13-12-2020	06:25:27	13-12-2020	06:25:27	STBU	1	0	
31	Spectrogram 1	1	60891.45728	60893.18467	4203.2	5380	171.4573	4968.75	4968.75	1176.8	843.75	1.7274	1.424	-623	707	707	E:\2020-winter\HP4008U\20201213_062500.WAV	13-12-2020	06:27:51	13-12-2020	06:27:53	HSWO	1	0	
33	Spectrogram 1	1	60977.87059	60978.16581	1260.9	2353.8	17.8706	1781.25	1781.25	1092.9	937.5	0.2952	0.2507	-484	501	501	E:\2020-winter\HP4008U\20201213_063000.WAV	13-12-2020	06:30:18	13-12-2020	06:30:18	RESP	1	0	
34	Spectrogram 1	1	61070.48367	61070.94221	2143.6	4329.2	110.4837	2812.5	2812.5	2185.6	1500	0.4585	0.2453	-3034	2832	3034	E:\2020-winter\HP4008U\20201213_063000.WAV	13-12-2020	06:31:50	13-12-2020	06:31:51	SHMY	1	0	
