Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	55042.1608	55042.99622	1195.7	1879	82.1608	1218.75	1500	683.3	656.25	0.8354	0.7627	-518	456	518	E:\2020-winter\INBS04R\20201211_054500.WAV	11-12-2020	05:46:22	11-12-2020	05:46:23	MWTH	0	1	
2	Spectrogram 1	1	55661.60804	55662.31783	5284.4	5616.6	221.608	5437.5	5437.5	332.2	187.5	0.7098	0.5813	-478	494	494	E:\2020-winter\INBS04R\20201211_055500.WAV	11-12-2020	05:58:42	11-12-2020	05:58:42	MWTH	1	0	
3	Spectrogram 1	1	55666.4133	55669.40325	2929.1	4197.3	226.4133	3937.5	3656.25	1268.2	843.75	2.99	2.56	-580	569	580	E:\2020-winter\INBS04R\20201211_055500.WAV	11-12-2020	05:58:46	11-12-2020	05:58:49	IWEY	0	1	
4	Spectrogram 1	1	55668.23491	55668.46732	9361	9783.7	228.2349	9562.5	9562.5	422.7	375	0.2324	0.1707	-580	445	580	E:\2020-winter\INBS04R\20201211_055500.WAV	11-12-2020	05:58:48	11-12-2020	05:58:48	SPPI	1	0	
5	Spectrogram 1	1	55679.43465	55679.64194	3629.9	7089	239.4346	4781.25	5156.25	3459.1	3000	0.2073	0.176	-425	405	425	E:\2020-winter\INBS04R\20201211_055500.WAV	11-12-2020	05:58:59	11-12-2020	05:59:00	PHPA	1	0	
6	Spectrogram 1	1	55683.0716	55683.43592	1836.3	2818.5	3.0716	2531.25	2437.5	982.2	562.5	0.3643	0.2187	-995	1053	1053	E:\2020-winter\INBS04R\20201211_060000.WAV	11-12-2020	06:00:03	11-12-2020	06:00:03	CSEA	1	0	
7	Spectrogram 1	1	55687.23617	55687.70727	2306	3672.6	7.2362	3281.25	3281.25	1366.6	468.75	0.4711	0.384	-1152	907	1152	E:\2020-winter\INBS04R\20201211_060000.WAV	11-12-2020	06:00:07	11-12-2020	06:00:08	OHTH	1	0	
8	Spectrogram 1	1	55718.54898	55719.13315	5722.4	8925.3	38.549	6843.75	6937.5	3202.9	1968.75	0.5842	0.3893	-756	715	756	E:\2020-winter\INBS04R\20201211_060000.WAV	11-12-2020	06:00:39	11-12-2020	06:00:39	IBRO	0	1	
9	Spectrogram 1	1	55732.77638	55733.38567	7729.5	9608.5	52.7764	9375	8437.5	1879	1687.5	0.6093	0.5867	-1373	1349	1373	E:\2020-winter\INBS04R\20201211_060000.WAV	11-12-2020	06:00:53	11-12-2020	06:00:53	BBFL	1	0	
10	Spectrogram 1	1	55740.27638	55741.5201	2049.8	3843.4	60.2764	2812.5	3000	1793.6	1125	1.2437	1.1147	-1816	1619	1816	E:\2020-winter\INBS04R\20201211_060000.WAV	11-12-2020	06:01:00	11-12-2020	06:01:02	FTBU	0	1	
