Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	332223.3605	332223.8505	5328.7	5790.2	63.3605	5531.25	5531.25	461.5	375	0.49	0.4107	-835	1263	1263	E:\2020-winter\INBS04U\20201215_060000.WAV	15-12-2020	06:01:03	15-12-2020	06:01:04	MWTH	1	0	
2	Spectrogram 1	1	332375.3832	332376.9598	1174.8	2139.9	215.3832	1218.75	1500	965.1	750	1.5766	1.3813	-2746	4743	4743	E:\2020-winter\INBS04U\20201215_060000.WAV	15-12-2020	06:03:35	15-12-2020	06:03:37	MWTH	0	1	
5	Spectrogram 1	1	332706.2751	332706.6269	2811.2	3860.1	66.2751	3093.75	3187.5	1048.9	937.5	0.3518	0.2933	-741	786	786	E:\2020-winter\INBS04U\20201215_061000.WAV	15-12-2020	06:11:06	15-12-2020	06:11:07	RWBU	1	0	
6	Spectrogram 1	1	332824.7927	332825.0188	1804.2	2181.8	184.7927	2062.5	1968.75	377.6	281.25	0.2261	0.192	-573	785	785	E:\2020-winter\INBS04U\20201215_061000.WAV	15-12-2020	06:13:05	15-12-2020	06:13:05	MGHO	1	0	
7	Spectrogram 1	1	332860	332861.005	839.2	1384.6	220	843.75	1031.25	545.4	468.75	1.005	0.9013	-622	655	655	E:\2020-winter\INBS04U\20201215_061000.WAV	15-12-2020	06:13:40	15-12-2020	06:13:41	WCBA	1	0	
8	Spectrogram 1	1	333285.3517	333286.8279	6587.4	8727.3	165.3517	7781.25	7593.75	2139.9	1875	1.4762	1.3493	-746	922	922	E:\2020-winter\INBS04U\20201215_062000.WAV	15-12-2020	06:22:45	15-12-2020	06:22:47	NIFP	0	1	
9	Spectrogram 1	1	333564.4347	333565.603	1049	1552.4	204.4347	1406.25	1312.5	503.4	375	1.1683	1.0933	-1891	1764	1891	E:\2020-winter\INBS04U\20201215_062500.WAV	15-12-2020	06:28:24	15-12-2020	06:28:26	GRJU	1	0	
10	Spectrogram 1	1	333600.4711	333601.093	2559.4	3818.2	0.4711	2812.5	3093.75	1258.8	1125	0.6219	0.5653	-1356	1468	1468	E:\2020-winter\INBS04U\20201215_063000.WAV	15-12-2020	06:30:00	15-12-2020	06:30:01	INPI	1	0	
11	Spectrogram 1	1	334138.6683	334138.9698	2727.3	4363.6	58.6683	3281.25	3375	1636.3	1218.75	0.3015	0.2507	-647	720	720	E:\2020-winter\INBS04U\20201215_064000.WAV	15-12-2020	06:40:59	15-12-2020	06:40:59	SHMY	1	0	
13	Spectrogram 1	1	335586.3819	335586.5578	4153.8	7384.6	66.3819	6281.25	5437.5	3230.8	2718.75	0.1759	0.1493	-971	921	971	E:\2020-winter\INBS04U\20201215_071000.WAV	15-12-2020	07:11:06	15-12-2020	07:11:07	GRNW	1	0	
14	Spectrogram 1	1	337190	337192.0038	3356.6	4489.5	230	4125	3843.75	1132.9	1031.25	2.0038	1.8453	-597	579	597	E:\2020-winter\INBS04U\20201215_074000.WAV	15-12-2020	07:43:50	15-12-2020	07:43:52	IWEY	1	0	
15	Spectrogram 1	1	336869.3027	336869.3907	7720.3	8643.4	149.3027	8250	8250	923.1	656.25	0.088	0.064	-727	598	727	E:\2020-winter\INBS04U\20201215_073500.WAV	15-12-2020	07:37:29	15-12-2020	07:37:29	NIFP	1	0	
17	Spectrogram 1	1	339095.0942	339096.3568	5622.4	8139.9	215.0942	6750	6656.25	2517.5	2156.25	1.2626	1.1627	-2928	3776	3776	E:\2020-winter\INBS04U\20201215_082000.WAV	15-12-2020	08:23:35	15-12-2020	08:23:36	VFNU	1	0	
20	Spectrogram 1	1	340821.6143	340823.907	5244.8	7258.7	21.6143	6093.75	6281.25	2013.9	1781.25	2.2927	2.08	-629	644	644	E:\2020-winter\INBS04U\20201215_090000.WAV	15-12-2020	09:00:22	15-12-2020	09:00:24	CBSU	0	1	
21	Spectrogram 1	1	341244.8618	341245.7223	2265.7	3776.2	204.8618	3375	2906.25	1510.5	1312.5	0.8605	0.752	-2743	3653	3653	E:\2020-winter\INBS04U\20201215_090500.WAV	15-12-2020	09:08:25	15-12-2020	09:08:26	YBBU	0	1	
22	Spectrogram 1	1	341798.505	341798.7814	3650.3	7720.3	38.505	7031.25	6093.75	4070	3187.5	0.2764	0.2187	-757	726	757	E:\2020-winter\INBS04U\20201215_092000.WAV	15-12-2020	09:20:39	15-12-2020	09:20:39	GRWA	1	0	
23	Spectrogram 1	1	341839.3279	341839.7362	5874.1	8517.5	79.3279	7875	7500	2643.4	2062.5	0.4083	0.3467	-479	528	528	E:\2020-winter\INBS04U\20201215_092000.WAV	15-12-2020	09:21:19	15-12-2020	09:21:20	VHPA	1	0	
24	Spectrogram 1	1	341971.4761	341971.6269	2727.3	4531.5	211.4761	3281.25	3468.75	1804.2	1593.75	0.1508	0.128	-392	492	492	E:\2020-winter\INBS04U\20201215_092000.WAV	15-12-2020	09:23:31	15-12-2020	09:23:32	PHPA	1	0	
25	Spectrogram 1	1	338445.0314	338445.559	3102.334	5903.052	45.0314	3281.25	3375	2800.718	2250	0.5276	0.432	-554	562	562	E:\2020-winter\INBS04U\20201215_081000.WAV	15-12-2020	08:10:45	15-12-2020	08:10:46	WBBF	1	0	
