Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	54554.4912	54555.00627	5338.1	5765.1	74.4912	5531.25	5531.25	427	375	0.5151	0.3947	-1565	1976	1976	E:\2020-winter\INME03R\20201211_055500.WAV	11-12-2020	05:56:14	11-12-2020	05:56:15	MWTH	1	0	
2	Spectrogram 1	1	54608.36682	54609.30274	1494.7	2989.3	128.3668	2812.5	2343.75	1494.6	1312.5	0.9359	0.8373	-1488	2021	2021	E:\2020-winter\INME03R\20201211_055500.WAV	11-12-2020	05:57:08	11-12-2020	05:57:09	INPI	1	0	
3	Spectrogram 1	1	54724.55401	54725.37059	1409.3	1921.7	4.554	1593.75	1687.5	512.4	375	0.8166	0.72	-1136	1233	1233	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:00:05	11-12-2020	06:00:05	MWTH	0	1	
4	Spectrogram 1	1	54734.48492	54735.91079	3245.6	4313.2	14.4849	3843.75	3750	1067.6	1031.25	1.4259	1.2907	-2127	2691	2691	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:00:14	11-12-2020	06:00:16	IWEY	0	1	
5	Spectrogram 1	1	54769.17084	54769.63566	3776.2	6167.8	49.1708	5812.5	5250	2391.6	2062.5	0.4648	0.3947	-2647	2332	2647	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:00:49	11-12-2020	06:00:50	WBBF	1	0	
7	Spectrogram 1	1	54855.56532	54855.66582	2979	4279.7	135.5653	4125	3750	1300.7	1031.25	0.1005	0.0907	-1944	2411	2411	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:02:16	11-12-2020	06:02:16	PHPA	1	0	
8	Spectrogram 1	1	54861.13065	54861.92839	2014	3230.8	141.1306	3000	2812.5	1216.8	1031.25	0.7977	0.672	-2502	3367	3367	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:02:21	11-12-2020	06:02:22	GRTD	1	0	
9	Spectrogram 1	1	54896.84044	54897.86431	881.1	1762.2	176.8404	1312.5	1312.5	881.1	562.5	1.0239	0.8853	-3046	3401	3401	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:02:57	11-12-2020	06:02:58	GRJU	1	0	
10	Spectrogram 1	1	54862.51884	54863.02763	2937.1	4111.9	142.5188	3000	3093.75	1174.8	843.75	0.5088	0.3627	-2491	3470	3470	E:\2020-winter\INME03R\20201211_060000.WAV	11-12-2020	06:02:23	11-12-2020	06:02:23	SHMY	1	0	
11	Spectrogram 1	1	55002.73869	55004.2211	1049	1468.5	42.7387	1218.75	1218.75	419.5	281.25	1.4824	1.312	-2161	2437	2437	E:\2020-winter\INME03R\20201211_060500.WAV	11-12-2020	06:05:43	11-12-2020	06:05:44	WCBA	1	0	
12	Spectrogram 1	1	55179.30274	55179.93088	6042	7594.4	219.3028	6937.5	6937.5	1552.4	1312.5	0.6281	0.56	-1333	1184	1333	E:\2020-winter\INME03R\20201211_060500.WAV	11-12-2020	06:08:39	11-12-2020	06:08:40	NIFP	0	1	
13	Spectrogram 1	1	55231.90326	55233.54899	2181.8	2853.1	31.9032	2531.25	2531.25	671.3	468.75	1.6457	1.2907	-1690	2859	2859	E:\2020-winter\INME03R\20201211_061000.WAV	11-12-2020	06:10:32	11-12-2020	06:10:34	GRFL	1	0	
14	Spectrogram 1	1	55441.55779	55441.65829	4321.7	5035	1.5578	4593.75	4593.75	713.3	468.75	0.1005	0.0693	-906	1464	1464	E:\2020-winter\INME03R\20201211_061500.WAV	11-12-2020	06:15:02	11-12-2020	06:15:02	IBRO	1	0	
15	Spectrogram 1	1	55496.26255	55496.44471	4657.3	7049	56.2625	6843.75	6093.75	2391.7	2062.5	0.1822	0.144	-1360	1381	1381	E:\2020-winter\INME03R\20201211_061500.WAV	11-12-2020	06:15:56	11-12-2020	06:15:56	GRNW	1	0	
16	Spectrogram 1	1	55668.31657	55669.35928	5328.7	8391.6	228.3166	6843.75	6656.25	3062.9	2625	1.0427	0.9387	-1649	1483	1649	E:\2020-winter\INME03R\20201211_061500.WAV	11-12-2020	06:18:48	11-12-2020	06:18:49	CBSU	0	1	
17	Spectrogram 1	1	56118.19722	56119.99998	1174.8	2762.59	198.1972	1500	1593.75	1587.79	937.5	1.8028	1.5253	-3275	2831	3275	E:\2020-winter\INME03R\20201211_062500.WAV	11-12-2020	06:28:18	11-12-2020	06:28:19	UK	1	0	woodpecker? GRTD?
18	Spectrogram 1	1	56174.38441	56175.02512	2265.7	4615.4	14.3844	3000	3187.5	2349.7	2062.5	0.6407	0.576	-1049	999	1049	E:\2020-winter\INME03R\20201211_063000.WAV	11-12-2020	06:30:14	11-12-2020	06:30:15	ASDR	1	0	
19	Spectrogram 1	1	56334.31532	56336.01758	5076.9	7216.8	174.3153	5906.25	6187.5	2139.9	1687.5	1.7023	1.552	-1266	1322	1322	E:\2020-winter\INME03R\20201211_063000.WAV	11-12-2020	06:32:54	11-12-2020	06:32:56	VFNU	1	0	
21	Spectrogram 1	1	57022.82035	57024.20225	1846.2	2727.3	142.8204	2531.25	2437.5	881.1	656.25	1.3819	1.2267	-1460	2195	2195	E:\2020-winter\INME03R\20201211_064500.WAV	11-12-2020	06:47:23	11-12-2020	06:47:24	BRFL	1	0	
22	Spectrogram 1	1	57651.11809	57651.22487	2853.1	3566.4	51.1181	3468.75	3281.25	713.3	656.25	0.1068	0.0853	-1305	1667	1667	E:\2020-winter\INME03R\20201211_070000.WAV	11-12-2020	07:00:51	11-12-2020	07:00:51	YBBU	1	0	
23	Spectrogram 1	1	58263.06532	58263.72487	587.4	1342.7	183.0653	1125	843.75	755.3	562.5	0.6595	0.608	-1664	1608	1664	E:\2020-winter\INME03R\20201211_071000.WAV	11-12-2020	07:13:03	11-12-2020	07:13:04	ISBA	1	0	
24	Spectrogram 1	1	58390.15075	58390.20729	4279.7	5328.7	70.1508	4593.75	4687.5	1049	937.5	0.0565	0.0427	-1604	2897	2897	E:\2020-winter\INME03R\20201211_071500.WAV	11-12-2020	07:16:10	11-12-2020	07:16:10	ORMI	1	0	
25	Spectrogram 1	1	58893.39823	58893.66833	3860.1	7720.3	93.3982	6281.25	5531.25	3860.2	3187.5	0.2701	0.2293	-1393	1538	1538	E:\2020-winter\INME03R\20201211_072500.WAV	11-12-2020	07:26:33	11-12-2020	07:26:34	GRWA	1	0	
26	Spectrogram 1	1	61036.50124	61036.90325	6881.1	8139.9	76.5012	7687.5	7593.75	1258.8	937.5	0.402	0.3573	-1299	1384	1384	E:\2020-winter\INME03R\20201211_081000.WAV	11-12-2020	08:11:17	11-12-2020	08:11:17	VHPA	1	0	
27	Spectrogram 1	1	62022.88316	62026.50752	2391.6	3188.8	102.8832	2718.75	2812.5	797.2	750	3.6244	3.264	-3420	3229	3420	E:\2020-winter\INME03R\20201211_083000.WAV	11-12-2020	08:31:43	11-12-2020	08:31:47	CHBE	1	0	
28	Spectrogram 1	1	62195.59672	62196.22486	2391.6	3230.8	35.5967	3093.75	2812.5	839.2	656.25	0.6281	0.5707	-589	590	590	E:\2020-winter\INME03R\20201211_083500.WAV	11-12-2020	08:35:36	11-12-2020	08:35:36	RWBU	1	0	
29	Spectrogram 1	1	62280.36432	62281.00502	2727.3	4615.4	120.3643	3656.25	3656.25	1888.1	1500	0.6407	0.5653	-608	649	649	E:\2020-winter\INME03R\20201211_083500.WAV	11-12-2020	08:37:00	11-12-2020	08:37:01	UK	1	0	
30	Spectrogram 1	1	62754.98115	62755.14446	3482.5	5664.3	114.9811	3750	4500	2181.8	1875	0.1633	0.1493	-1144	1333	1333	E:\2020-winter\INME03R\20201211_084500.WAV	11-12-2020	08:46:55	11-12-2020	08:46:55	LISP	1	0	
31	Spectrogram 1	1	63633.27889	63634.48492	2559.4	6923.1	33.2789	3937.5	4406.25	4363.7	3656.25	1.206	1.088	-607	710	710	E:\2020-winter\INME03R\20201211_090500.WAV	11-12-2020	09:05:33	11-12-2020	09:05:34	IYTI	0	1	
33	Spectrogram 1	1	64325.27637	64325.64069	8685.3	9314.7	5.2764	9000	8906.25	629.4	281.25	0.3643	0.1227	-1978	1426	1978	E:\2020-winter\INME03R\20201211_092000.WAV	11-12-2020	09:20:05	11-12-2020	09:20:06	SPPI	1	0	
