Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	0	469440	469440.5465	5286.713	5706.294	5531.25	5531.25	419.58	187.5	0.5465	0.2827	-940	889	940	E:\2020-winter\INME03R\20201217_061000.WAV	17-12-2020	06:10:00	17-12-2020	06:10:01	MWTH	1	0	
2	Spectrogram 1	1	18.8882	469458.8882	469460	1258.741	2013.986	1781.25	1781.25	755.245	468.75	1.1118	0.656	-857	879	879	E:\2020-winter\INME03R\20201217_061000.WAV	17-12-2020	06:10:19	17-12-2020	06:10:19	MWTH	0	1	
3	Spectrogram 1	1	10	469450	469451.5766	3314.685	4195.804	3843.75	3750	881.119	750	1.5766	1.4293	-729	830	830	E:\2020-winter\INME03R\20201217_061000.WAV	17-12-2020	06:10:10	17-12-2020	06:10:12	IWEY	0	1	
4	Spectrogram 1	1	50	469490	469491.0113	1594.406	2685.315	1875	1968.75	1090.909	843.75	1.0113	0.8747	-618	623	623	E:\2020-winter\INME03R\20201217_061000.WAV	17-12-2020	06:10:50	17-12-2020	06:10:51	GRTD	1	0	
5	Spectrogram 1	1	74.9058	469514.9058	469515.8229	1468.531	3020.979	2812.5	2625	1552.448	1031.25	0.9171	0.752	-1286	1190	1286	E:\2020-winter\INME03R\20201217_061000.WAV	17-12-2020	06:11:15	17-12-2020	06:11:16	INPI	1	0	
7	Spectrogram 1	1	6.2186	469686.2186	469687.8455	965.035	1510.49	1218.75	1218.75	545.455	281.25	1.6269	1.344	-883	973	973	E:\2020-winter\INME03R\20201217_061500.WAV	17-12-2020	06:15:06	17-12-2020	06:15:08	WCBA	1	0	
8	Spectrogram 1	1	68.0402	469748.0402	469749.3027	713.287	1804.196	1125	1218.75	1090.909	468.75	1.2626	1.104	-4280	4178	4280	E:\2020-winter\INME03R\20201217_061500.WAV	17-12-2020	06:16:08	17-12-2020	06:16:09	GRJU	1	0	
9	Spectrogram 1	1	2.9837	469922.9837	469923.8568	1804.196	6125.874	2625	2718.75	4321.678	3468.75	0.8731	0.7093	-752	918	918	E:\2020-winter\INME03R\20201217_062000.WAV	17-12-2020	06:20:03	17-12-2020	06:20:04	SHMY	1	0	
10	Spectrogram 1	1	121.3254	470041.3254	470042.4246	6629.371	7972.028	7312.5	7312.5	1342.657	1125	1.0992	1.0453	-1094	1433	1433	E:\2020-winter\INME03R\20201217_062000.WAV	17-12-2020	06:22:01	17-12-2020	06:22:02	NIFP	0	1	
11	Spectrogram 1	1	91.9912	470491.9912	470492.2425	1258.741	2475.524	2062.5	2062.5	1216.783	656.25	0.2513	0.2027	-1104	1284	1284	E:\2020-winter\INME03R\20201217_063000.WAV	17-12-2020	06:31:32	17-12-2020	06:31:32	RESP	1	0	
12	Spectrogram 1	1	2.1922	471122.1922	471122.3869	1006.993	1930.07	1406.25	1406.25	923.077	750	0.1947	0.1547	-727	716	727	E:\2020-winter\INME03R\20201217_064500.WAV	17-12-2020	06:45:02	17-12-2020	06:45:02	HOCR	1	0	
13	Spectrogram 1	1	158.0904	471278.0904	471278.26	4405.594	8307.692	5531.25	5906.25	3902.098	2718.75	0.1696	0.1387	-578	556	578	E:\2020-winter\INME03R\20201217_064500.WAV	17-12-2020	06:47:38	17-12-2020	06:47:38	GRNW	1	0	
14	Spectrogram 1	1	26.608	471386.608	471386.7022	3650.35	5118.881	4406.25	4312.5	1468.531	1031.25	0.0942	0.0747	-533	640	640	E:\2020-winter\INME03R\20201217_065000.WAV	17-12-2020	06:50:27	17-12-2020	06:50:27	PHPA	1	0	
15	Spectrogram 1	1	93.1658	472173.1658	472173.26	2643.357	3776.224	3375	3375	1132.867	937.5	0.0942	0.0747	-575	561	575	E:\2020-winter\INME03R\20201217_070500.WAV	17-12-2020	07:06:33	17-12-2020	07:06:33	YBBU	1	0	
16	Spectrogram 1	1	34.8618	472354.8618	472355.4585	1636.364	3188.811	2062.5	2156.25	1552.448	1406.25	0.5967	0.544	-520	674	674	E:\2020-winter\INME03R\20201217_071000.WAV	17-12-2020	07:10:35	17-12-2020	07:10:35	RWBU	1	0	
17	Spectrogram 1	1	6.1809	472566.1809	472568.7688	2307.692	5706.294	3937.5	3937.5	3398.601	2718.75	2.5879	2.0587	-1588	2009	2009	E:\2020-winter\INME03R\20201217_071500.WAV	17-12-2020	07:15:06	17-12-2020	07:15:09	MAPA	1	0	
19	Spectrogram 1	1	127.946	473167.946	473168.0339	2685.315	4321.678	3562.5	3562.5	1636.364	1406.25	0.0879	0.0747	-977	1162	1162	E:\2020-winter\INME03R\20201217_072500.WAV	17-12-2020	07:27:08	17-12-2020	07:27:08	STBU	1	0	
20	Spectrogram 1	1	183.9698	473463.9698	473464.7927	3062.937	4741.259	4593.75	3843.75	1678.322	1500	0.8229	0.7627	-792	1044	1044	E:\2020-winter\INME03R\20201217_073000.WAV	17-12-2020	07:33:04	17-12-2020	07:33:05	ASDR	1	0	
