Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	218.3857	55898.38566	55899.91832	982.206	1708.185	1125	1312.5	725.979	656.25	1.5327	1.3547	-592	417	592	E:\2020-winter\INME03U\20201211_053000.WAV	11-12-2020	05:33:38	11-12-2020	05:33:40	MWTH	0	1	
2	Spectrogram 1	1	54.3279	55974.32788	55974.47235	298.932	1494.662	843.75	937.5	1195.73	937.5	0.1445	0.1067	-399	460	460	E:\2020-winter\INME03U\20201211_053500.WAV	11-12-2020	05:35:54	11-12-2020	05:35:54	ISOW	1	0	
3	Spectrogram 1	1	143.7311	56303.73115	56303.9824	2733.096	3245.552	3000	3000	512.456	375	0.2513	0.176	-324	347	347	E:\2020-winter\INME03U\20201211_054000.WAV	11-12-2020	05:42:24	11-12-2020	05:42:24	SHMY	1	0	
4	Spectrogram 1	1	64.8681	56704.86808	56705.37687	5594.306	5935.943	5718.75	5718.75	341.637	281.25	0.5088	0.4	-442	390	442	E:\2020-winter\INME03U\20201211_055000.WAV	11-12-2020	05:51:05	11-12-2020	05:51:05	MWTH	1	0	
5	Spectrogram 1	1	87.6382	56727.63818	56728.58667	1964.413	3288.256	3093.75	2906.25	1323.843	937.5	0.9485	0.8267	-535	485	535	E:\2020-winter\INME03U\20201211_055000.WAV	11-12-2020	05:51:28	11-12-2020	05:51:29	INPI	1	0	
6	Spectrogram 1	1	66.3254	56706.32536	56706.43215	7846.154	8727.273	8343.75	8343.75	881.119	656.25	0.1068	0.0907	-307	384	384	E:\2020-winter\INME03U\20201211_055000.WAV	11-12-2020	05:51:06	11-12-2020	05:51:06	NIFP	1	0	
7	Spectrogram 1	1	1.0616	56881.06156	56881.18719	2517.483	3231.598	3000	2906.25	714.115	468.75	0.1256	0.096	-351	372	372	E:\2020-winter\INME03U\20201211_055500.WAV	11-12-2020	05:55:01	11-12-2020	05:55:01	OHTH	1	0	
8	Spectrogram 1	1	30.402	57150.40201	57152.66959	2643.357	4951.049	3937.5	3937.5	2307.692	1593.75	2.2676	2.0373	-992	1039	1039	E:\2020-winter\INME03U\20201211_060000.WAV	11-12-2020	06:00:30	11-12-2020	06:00:33	IWEY	0	1	
11	Spectrogram 1	1	84.7362	57204.73617	57204.88692	8181.818	8601.399	8437.5	8437.5	419.581	187.5	0.1508	0.1173	-1566	1689	1689	E:\2020-winter\INME03U\20201211_060000.WAV	11-12-2020	06:01:25	11-12-2020	06:01:25	SPPI	1	0	
12	Spectrogram 1	1	110.6972	57230.69722	57231.25627	1426.573	4447.552	3093.75	3093.75	3020.979	2437.5	0.559	0.4907	-1157	1045	1157	E:\2020-winter\INME03U\20201211_060000.WAV	11-12-2020	06:01:51	11-12-2020	06:01:51	RWBU	1	0	
