Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	263406.9912	263407.8831	555.2	1622.8	126.9912	1312.5	1218.75	1067.6	937.5	0.8919	0.7947	-490	534	534	E:\2020-winter\INME03U\20201214_053500.WAV	14-12-2020	05:37:07	14-12-2020	05:37:08	GRJU	1	0	
2	Spectrogram 1	1	263405.9862	263406.0615	8370.1	8968	125.9862	8812.5	8812.5	597.9	468.75	0.0753	0.0587	-211	229	229	E:\2020-winter\INME03U\20201214_053500.WAV	14-12-2020	05:37:06	14-12-2020	05:37:06	NIFP	1	0	
3	Spectrogram 1	1	263448.9698	263449.8555	1323.8	1879	168.9698	1687.5	1687.5	555.2	468.75	0.8857	0.8	-496	412	496	E:\2020-winter\INME03U\20201214_053500.WAV	14-12-2020	05:37:49	14-12-2020	05:37:50	MWTH	0	1	
4	Spectrogram 1	1	263483.0904	263483.2977	4185.1	4526.7	203.0904	4406.25	4312.5	341.6	281.25	0.2073	0.1653	-274	305	305	E:\2020-winter\INME03U\20201214_053500.WAV	14-12-2020	05:38:23	14-12-2020	05:38:23	IWEY	1	0	
5	Spectrogram 1	1	263873.147	263873.4862	5508.9	5807.8	113.147	5718.75	5625	298.9	187.5	0.3392	0.2773	-417	511	511	E:\2020-winter\INME03U\20201214_054500.WAV	14-12-2020	05:46:53	14-12-2020	05:46:53	MWTH	1	0	
6	Spectrogram 1	1	264011.6206	264012.8643	427	896.8	11.6206	656.25	656.25	469.8	375	1.2437	1.184	-468	517	517	E:\2020-winter\INME03U\20201214_055000.WAV	14-12-2020	05:50:12	14-12-2020	05:50:13	SPDO	1	0	
8	Spectrogram 1	1	264167.3178	264167.8015	854.1	1238.4	167.3178	1031.25	1031.25	384.3	281.25	0.4837	0.4373	-427	484	484	E:\2020-winter\INME03U\20201214_055000.WAV	14-12-2020	05:52:47	14-12-2020	05:52:48	ISBA	1	0	
9	Spectrogram 1	1	264436.3442	264436.8467	1510.5	3230.8	196.3442	2906.25	2437.5	1720.3	1500	0.5025	0.448	-1229	1632	1632	E:\2020-winter\INME03U\20201214_055500.WAV	14-12-2020	05:58:16	14-12-2020	05:58:17	RWBU	1	0	
10	Spectrogram 1	1	264437.8329	264437.9962	2979	4951	197.8329	3656.25	3656.25	1972	1687.5	0.1633	0.1547	-441	522	522	E:\2020-winter\INME03U\20201214_055500.WAV	14-12-2020	05:58:18	14-12-2020	05:58:18	PHPA	1	0	
12	Spectrogram 1	1	264482.6319	264482.7387	8307.7	9062.9	2.6319	8437.5	8531.25	755.2	562.5	0.1068	0.0853	-499	508	508	E:\2020-winter\INME03U\20201214_060000.WAV	14-12-2020	06:00:03	14-12-2020	06:00:03	SPPI	1	0	
13	Spectrogram 1	1	264158.26	264159.3718	3524.5	4657.3	158.26	3843.75	3937.5	1132.8	1031.25	1.1118	1.0187	-554	561	561	E:\2020-winter\INME03U\20201214_055000.WAV	14-12-2020	05:52:38	14-12-2020	05:52:39	IWEY	0	1	
14	Spectrogram 1	1	264604.1457	264605.8605	3482.5	6503.5	124.1457	5437.5	5437.5	3021	2250	1.7148	1.4987	-598	556	598	E:\2020-winter\INME03U\20201214_060000.WAV	14-12-2020	06:02:04	14-12-2020	06:02:06	IBRO	0	1	
15	Spectrogram 1	1	264686.1181	264686.9221	1636.4	3021	206.1181	2718.75	2625	1384.6	1125	0.804	0.7093	-615	483	615	E:\2020-winter\INME03U\20201214_060000.WAV	14-12-2020	06:03:26	14-12-2020	06:03:27	INPI	1	0	
16	Spectrogram 1	1	264930.6407	264930.7789	839.2	1258.7	210.6407	1125	1031.25	419.5	375	0.1382	0.1173	-323	360	360	E:\2020-winter\INME03U\20201214_060500.WAV	14-12-2020	06:08:31	14-12-2020	06:08:31	WCBA	1	0	
18	Spectrogram 1	1	264976.3191	264976.7274	3272.7	4825.2	16.3191	3937.5	3937.5	1552.5	1125	0.4083	0.3627	-567	585	585	E:\2020-winter\INME03U\20201214_061000.WAV	14-12-2020	06:10:16	14-12-2020	06:10:17	SHMY	1	0	
19	Spectrogram 1	1	265022.3178	265022.6696	2181.8	5244.8	62.3178	4125	3843.75	3063	1781.25	0.3518	0.2933	-711	787	787	E:\2020-winter\INME03U\20201214_061000.WAV	14-12-2020	06:11:02	14-12-2020	06:11:03	ASDR	1	0	
20	Spectrogram 1	1	265085.4711	265087.1419	5832.2	8685.3	125.4711	7968.75	7687.5	2853.1	2250	1.6708	1.3493	-600	794	794	E:\2020-winter\INME03U\20201214_061000.WAV	14-12-2020	06:12:05	14-12-2020	06:12:07	NIFP	0	1	
21	Spectrogram 1	1	265204.4472	265210	1888.1	3776.2	4.4472	2906.25	2906.25	1888.1	1125	5.5528	3.9947	-1840	2004	2004	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:15:04	14-12-2020	06:15:10	PTBA	0	1	
22	Spectrogram 1	1	265210.7035	265211.0804	5160.8	9398.6	10.7035	9093.75	8343.75	4237.8	2625	0.3769	0.2827	-1745	1806	1806	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:15:11	14-12-2020	06:15:11	ABFL	1	0	
23	Spectrogram 1	1	265248.9321	265248.9635	2265.7	6965	48.9321	6093.75	5343.75	4699.3	3562.5	0.0314	0.0267	-595	541	595	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:15:49	14-12-2020	06:15:49	BRWA	1	0	
24	Spectrogram 1	1	265256.294	265257.2801	1720.3	3314.7	56.294	3000	2625	1594.4	937.5	0.9861	0.784	-1219	1047	1219	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:15:56	14-12-2020	06:15:57	INBL	1	0	
26	Spectrogram 1	1	265254.3404	265254.5603	755.2	1049	54.3404	937.5	937.5	293.8	187.5	0.2199	0.2027	-315	291	315	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:15:54	14-12-2020	06:15:55	MGHO	1	0	
27	Spectrogram 1	1	265296.3254	265296.8907	3021	5244.8	96.3254	4875	4593.75	2223.8	1875	0.5653	0.4907	-454	489	489	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:16:36	14-12-2020	06:16:37	STBU	1	0	
28	Spectrogram 1	1	265336.4007	265336.9723	2223.8	3188.8	136.4007	2906.25	2906.25	965	843.75	0.5716	0.432	-595	562	595	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:17:16	14-12-2020	06:17:17	GRFL	1	0	
29	Spectrogram 1	1	265423.9698	265424.2525	1174.8	1930.1	223.9698	1781.25	1687.5	755.3	656.25	0.2827	0.2453	-464	455	464	E:\2020-winter\INME03U\20201214_061500.WAV	14-12-2020	06:18:44	14-12-2020	06:18:44	RESP	1	0	
31	Spectrogram 1	1	265450.6595	265450.848	3104.9	7888.1	10.6595	5156.25	5250	4783.2	2531.25	0.1885	0.144	-1256	1446	1446	E:\2020-winter\INME03U\20201214_062000.WAV	14-12-2020	06:20:11	14-12-2020	06:20:11	GRNW	1	0	
32	Spectrogram 1	1	265462.8769	265464.9937	4573.4	7468.5	22.8769	6187.5	6187.5	2895.1	2343.75	2.1168	1.808	-664	595	664	E:\2020-winter\INME03U\20201214_062000.WAV	14-12-2020	06:20:23	14-12-2020	06:20:25	VFNU	1	0	
