Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	470019.8801	470019.9995	1665.5	2177.9	99.8801	1875	1968.75	512.4	281.25	0.1193	0.0907	-598	581	598	E:\2020-winter\INOA03R\20201217_054000.WAV	17-12-2020	05:41:40	17-12-2020	05:41:40	RWBU	1	0	
2	Spectrogram 1	1	470918.9316	470919.0824	8113.9	8754.4	38.9316	8625	8625	640.5	562.5	0.1508	0.112	-741	684	741	E:\2020-winter\INOA03R\20201217_060000.WAV	17-12-2020	06:00:39	17-12-2020	06:00:39	NIFP	1	0	
3	Spectrogram 1	1	471022.8512	471023.4228	1409.3	1964.4	142.8512	1781.25	1687.5	555.1	375	0.5716	0.5013	-699	595	699	E:\2020-winter\INOA03R\20201217_060000.WAV	17-12-2020	06:02:23	17-12-2020	06:02:23	MWTH	0	1	
4	Spectrogram 1	1	471361.8776	471363.5799	2690.4	4227.8	1.8776	3562.5	3656.25	1537.4	1406.25	1.7023	1.4827	-687	792	792	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:10:02	17-12-2020	06:10:04	IWEY	0	1	
5	Spectrogram 1	1	471365.0623	471365.546	5167.3	5551.6	5.0623	5343.75	5343.75	384.3	187.5	0.4837	0.3467	-765	608	765	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:10:05	17-12-2020	06:10:06	MWTH	1	0	
6	Spectrogram 1	1	471368.9316	471369.0887	966.7	1471.1	8.9316	1218.75	1218.75	504.4	375	0.157	0.1387	-317	330	330	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:10:09	17-12-2020	06:10:09	WCBA	1	0	
7	Spectrogram 1	1	471380.4706	471381.4568	1639.2	3320.5	20.4706	2343.75	2343.75	1681.3	843.75	0.9862	0.8533	-5982	5812	5982	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:10:20	17-12-2020	06:10:21	INPI	1	0	
8	Spectrogram 1	1	471412.2796	471413.6929	2774.1	3740.8	52.2796	3187.5	3187.5	966.7	656.25	1.4133	1.0667	-725	697	725	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:10:52	17-12-2020	06:10:54	OHTH	1	0	
9	Spectrogram 1	1	471464.8236	471464.9806	9120.8	9499.1	104.8236	9281.25	9281.25	378.3	281.25	0.157	0.128	-392	465	465	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:11:45	17-12-2020	06:11:45	SPPI	1	0	
10	Spectrogram 1	1	471465.4517	471465.747	5464.1	9919.4	105.4517	5531.25	7125	4455.3	3937.5	0.2952	0.2613	-718	608	718	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:11:45	17-12-2020	06:11:46	ABFL	1	0	
11	Spectrogram 1	1	471483.7243	471484.2834	2185.6	3446.6	123.7244	3093.75	2718.75	1261	937.5	0.559	0.464	-544	605	605	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:12:04	17-12-2020	06:12:04	YBBU	1	0	
12	Spectrogram 1	1	471488.3851	471488.9819	1681.3	2984.2	128.3851	2437.5	2437.5	1302.9	1031.25	0.5967	0.5067	-561	584	584	E:\2020-winter\INOA03R\20201217_061000.WAV	17-12-2020	06:12:08	17-12-2020	06:12:09	GRTD	1	0	
13	Spectrogram 1	1	471628.2721	471629.4153	672.5	1050.8	28.2721	937.5	843.75	378.3	187.5	1.1432	0.8107	-706	717	717	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:15:28	17-12-2020	06:15:29	ISBA	1	0	
15	Spectrogram 1	1	471632.4869	471632.6691	3698.8	7145.4	32.4869	3750	3843.75	3446.6	1875	0.1822	0.16	-668	793	793	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:15:32	17-12-2020	06:15:33	CBSU	1	0	
16	Spectrogram 1	1	471700.2884	471700.9166	1639.2	2732	100.2884	2437.5	2437.5	1092.8	750	0.6281	0.5013	-2017	2139	2139	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:16:40	17-12-2020	06:16:41	STBU	1	0	
17	Spectrogram 1	1	471737.1163	471737.7256	6472.9	8910.7	137.1163	7125	7500	2437.8	2062.5	0.6093	0.5227	-1085	1313	1313	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:17:17	17-12-2020	06:17:18	VFNU	1	0	
18	Spectrogram 1	1	471770.0246	471770.2821	1639.2	2732	170.0246	2437.5	2531.25	1092.8	562.5	0.2575	0.192	-802	719	802	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:17:50	17-12-2020	06:17:50	CSEA	1	0	
19	Spectrogram 1	1	471751.3751	471752.4367	1008.8	1555.2	151.3751	1218.75	1218.75	546.4	375	1.0616	0.96	-801	768	801	E:\2020-winter\INOA03R\20201217_061500.WAV	17-12-2020	06:17:31	17-12-2020	06:17:32	GRJU	1	0	
