Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	267006.8593	267007.1796	1891.4	2479.9	126.8593	2062.5	2062.5	588.5	468.75	0.3204	0.288	-310	253	310	E:\2020-winter\IPTO04U\20201215_060000.WAV	15-12-2020	06:02:07	15-12-2020	06:02:07	MWTH	0	1	
2	Spectrogram 1	1	267050.9171	267051.0427	462.3	1513.1	170.9171	1406.25	1125	1050.8	937.5	0.1256	0.1013	-480	313	480	E:\2020-winter\IPTO04U\20201215_060000.WAV	15-12-2020	06:02:51	15-12-2020	06:02:51	JENI	1	0	
3	Spectrogram 1	1	267070	267073.9698	1513.1	2606	190	2250	1968.75	1092.9	937.5	3.9698	3.6427	-442	516	516	E:\2020-winter\IPTO04U\20201215_060000.WAV	15-12-2020	06:03:10	15-12-2020	06:03:14	GRTD	1	0	
4	Spectrogram 1	1	267125.6218	267127.5	3026.3	4413.3	5.6219	3656.25	3656.25	1387	1218.75	1.8781	1.7013	-389	287	389	E:\2020-winter\IPTO04U\20201215_060500.WAV	15-12-2020	06:05:06	15-12-2020	06:05:07	IWEY	0	1	
5	Spectrogram 1	1	267391.6897	267392.0603	1134.9	2521.9	31.6897	2343.75	1968.75	1387	1031.25	0.3706	0.3147	-538	443	538	E:\2020-winter\IPTO04U\20201215_061000.WAV	15-12-2020	06:10:32	15-12-2020	06:10:32	RWBU	1	0	
6	Spectrogram 1	1	267495.3203	267495.5088	966.7	1387	135.3203	1218.75	1125	420.3	281.25	0.1884	0.1547	-379	323	379	E:\2020-winter\IPTO04U\20201215_061000.WAV	15-12-2020	06:12:15	15-12-2020	06:12:16	WCBA	1	0	
7	Spectrogram 1	1	267503.5804	267504.8681	798.6	1639.2	143.5804	1406.25	1312.5	840.6	468.75	1.2877	1.1893	-1619	1612	1619	E:\2020-winter\IPTO04U\20201215_061000.WAV	15-12-2020	06:12:24	15-12-2020	06:12:25	GRJU	1	0	
8	Spectrogram 1	1	267666.3568	267666.9723	756.6	1134.9	66.3568	937.5	937.5	378.3	281.25	0.6156	0.576	-1373	1532	1532	E:\2020-winter\IPTO04U\20201215_061500.WAV	15-12-2020	06:16:06	15-12-2020	06:16:07	ISBA	1	0	
10	Spectrogram 1	1	267771.6709	267772.4372	2101.6	3614.7	171.6709	3281.25	3093.75	1513.1	1218.75	0.7663	0.6773	-535	539	539	E:\2020-winter\IPTO04U\20201215_061500.WAV	15-12-2020	06:17:52	15-12-2020	06:17:52	BCFU	1	0	
11	Spectrogram 1	1	267777.8203	267778.6244	1807.4	2984.2	177.8203	2250	2531.25	1176.8	1031.25	0.804	0.72	-821	1178	1178	E:\2020-winter\IPTO04U\20201215_061500.WAV	15-12-2020	06:17:58	15-12-2020	06:17:59	PTBA	1	0	
12	Spectrogram 1	1	267996.3473	267996.8153	1092.8	2269.7	156.3474	1687.5	1687.5	1176.9	1031.25	0.468	0.3947	-654	579	654	E:\2020-winter\IPTO04U\20201215_062000.WAV	15-12-2020	06:22:36	15-12-2020	06:22:37	MGHO	1	0	
14	Spectrogram 1	1	268052.456	268052.9334	1849.4	3362.5	212.456	3093.75	2625	1513.1	1312.5	0.4774	0.432	-925	881	925	E:\2020-winter\IPTO04U\20201215_062000.WAV	15-12-2020	06:23:32	15-12-2020	06:23:33	YBBU	1	0	
15	Spectrogram 1	1	268137.0854	268137.1545	5338	6767.1	57.0854	6468.75	6375	1429.1	1218.75	0.0691	0.048	-650	545	650	E:\2020-winter\IPTO04U\20201215_062500.WAV	15-12-2020	06:25:57	15-12-2020	06:25:57	CBSU	1	0	
17	Spectrogram 1	1	268326.5326	268326.608	5380	7901.9	6.5326	6656.25	6656.25	2521.9	2156.25	0.0754	0.064	-563	494	563	E:\2020-winter\IPTO04U\20201215_063000.WAV	15-12-2020	06:30:07	15-12-2020	06:30:07	NIFP	1	0	
18	Spectrogram 1	1	268444.3153	268444.5414	1008.8	2059.5	124.3153	1875	1875	1050.7	843.75	0.2261	0.1813	-794	556	794	E:\2020-winter\IPTO04U\20201215_063000.WAV	15-12-2020	06:32:04	15-12-2020	06:32:05	RESP	1	0	
19	Spectrogram 1	1	268476.7085	268477.9397	2479.9	4833.6	156.7085	3187.5	3281.25	2353.7	1781.25	1.2312	1.1253	-623	662	662	E:\2020-winter\IPTO04U\20201215_063000.WAV	15-12-2020	06:32:37	15-12-2020	06:32:38	STBU	0	1	
20	Spectrogram 1	1	268894.1834	268894.3844	1176.9	4203.2	94.1834	3187.5	3093.75	3026.3	937.5	0.201	0.0853	-3919	4179	4179	E:\2020-winter\IPTO04U\20201215_064000.WAV	15-12-2020	06:41:34	15-12-2020	06:41:34	PHPA	1	0	
21	Spectrogram 1	1	269850.5842	269850.7977	3740.8	7145.4	90.5842	4781.25	5437.5	3404.6	2625	0.2136	0.1707	-953	591	953	E:\2020-winter\IPTO04U\20201215_070000.WAV	15-12-2020	07:01:31	15-12-2020	07:01:31	GRNW	1	0	
22	Spectrogram 1	1	270039.7048	270039.9058	3614.7	4119.1	39.7047	3843.75	3843.75	504.4	187.5	0.201	0.1013	-2078	2958	2958	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:05:40	15-12-2020	07:05:40	LBLW	1	0	
23	Spectrogram 1	1	270109.1771	270109.4975	3152.4	7944	109.1771	4968.75	5437.5	4791.6	2812.5	0.3204	0.24	-894	788	894	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:06:49	15-12-2020	07:06:49	GRWA	1	0	
24	Spectrogram 1	1	270249.1394	270249.4032	3110.3	3866.9	9.1394	3562.5	3468.75	756.6	562.5	0.2638	0.2027	-664	634	664	E:\2020-winter\IPTO04U\20201215_071000.WAV	15-12-2020	07:10:09	15-12-2020	07:10:09	GRFL	1	0	
25	Spectrogram 1	1	270173.907	270174.0327	1723.3	4455.3	173.907	3000	3093.75	2732	2250	0.1256	0.1013	-723	707	723	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:07:54	15-12-2020	07:07:54	AFBL	1	0	
26	Spectrogram 1	1	270193.8065	270193.8756	3740.8	6767.1	193.8065	5906.25	5812.5	3026.3	2718.75	0.0691	0.0533	-495	476	495	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:08:14	15-12-2020	07:08:14	BRWA	1	0	
27	Spectrogram 1	1	270051.2877	270051.4133	2101.6	2732	51.2877	2531.25	2531.25	630.4	281.25	0.1256	0.0853	-867	1008	1008	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:05:51	15-12-2020	07:05:51	STWO	1	0	
28	Spectrogram 1	1	270237.0289	270238.1156	3866.9	6977.2	237.0289	5906.25	5906.25	3110.3	2250	1.0867	0.9493	-4822	4988	4988	E:\2020-winter\IPTO04U\20201215_070500.WAV	15-12-2020	07:08:57	15-12-2020	07:08:58	IBRO	0	1	
29	Spectrogram 1	1	271542.5377	271544.642	5253.9	7523.6	102.5377	6281.25	6468.75	2269.7	1968.75	2.1043	1.9093	-526	732	732	E:\2020-winter\IPTO04U\20201215_073500.WAV	15-12-2020	07:36:43	15-12-2020	07:36:45	VFNU	1	0	
