Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	201121.3693	201121.6394	546.4	1513.1	1.3694	1406.25	1312.5	966.7	656.25	0.2701	0.192	-4214	3820	4214	E:\2020-winter\IPTO06R\20201214_054000.WAV	14-12-2020	05:40:01	14-12-2020	05:40:02	JENI	1	0	type 1
2	Spectrogram 1	1	201123.2098	201123.5616	378.3	1092.8	3.2098	843.75	750	714.5	468.75	0.3518	0.272	-3663	3607	3663	E:\2020-winter\IPTO06R\20201214_054000.WAV	14-12-2020	05:40:03	14-12-2020	05:40:04	JENI	1	0	type 2
3	Spectrogram 1	1	201125.8417	201125.9045	294.2	1050.8	5.8417	750	656.25	756.6	375	0.0628	0.0373	-303	278	303	E:\2020-winter\IPTO06R\20201214_054000.WAV	14-12-2020	05:40:06	14-12-2020	05:40:06	JENI	1	0	type 3
4	Spectrogram 1	1	202251.1558	202251.7651	1849.4	2774.1	171.1558	2062.5	2156.25	924.7	843.75	0.6093	0.5173	-266	267	267	E:\2020-winter\IPTO06R\20201214_060000.WAV	14-12-2020	06:02:51	14-12-2020	06:02:52	GRTD	1	0	
5	Spectrogram 1	1	202254.8995	202255.1193	2479.9	2732	174.8995	2625	2625	252.1	187.5	0.2198	0.1867	-199	208	208	E:\2020-winter\IPTO06R\20201214_060000.WAV	14-12-2020	06:02:55	14-12-2020	06:02:55	MWTH	0	1	
6	Spectrogram 1	1	202322.4874	202323.4925	168.1	504.4	2.4874	375	375	336.3	281.25	1.005	0.8693	-291	346	346	E:\2020-winter\IPTO06R\20201214_060500.WAV	14-12-2020	06:05:02	14-12-2020	06:05:03	GRCO	1	0	
7	Spectrogram 1	1	202320	202320.7349	1429.1	3026.3	0	2625	2531.25	1597.2	1312.5	0.7349	0.656	-286	257	286	E:\2020-winter\IPTO06R\20201214_060500.WAV	14-12-2020	06:05:00	14-12-2020	06:05:01	RWBU	1	0	
8	Spectrogram 1	1	202416.5955	202418.0339	2563.9	4203.2	96.5955	4125	3468.75	1639.3	1406.25	1.4384	1.2747	-478	545	545	E:\2020-winter\IPTO06R\20201214_060500.WAV	14-12-2020	06:06:37	14-12-2020	06:06:38	IWEY	0	1	
9	Spectrogram 1	1	202441.1181	202445.7538	756.6	3993	121.1181	1875	2062.5	3236.4	2156.25	4.6357	3.8933	-548	530	548	E:\2020-winter\IPTO06R\20201214_060500.WAV	14-12-2020	06:07:01	14-12-2020	06:07:06	BRDR	1	0	
10	Spectrogram 1	1	202612.4121	202612.5691	966.7	1387	52.4121	1218.75	1218.75	420.3	281.25	0.157	0.1227	-280	314	314	E:\2020-winter\IPTO06R\20201214_061000.WAV	14-12-2020	06:10:52	14-12-2020	06:10:53	WCBA	1	0	
11	Spectrogram 1	1	202634.152	202635.4146	882.7	1723.3	74.152	1218.75	1218.75	840.6	468.75	1.2626	1.072	-516	572	572	E:\2020-winter\IPTO06R\20201214_061000.WAV	14-12-2020	06:11:14	14-12-2020	06:11:15	GRJU	1	0	
12	Spectrogram 1	1	202782.2048	202782.4309	6262.7	6683	222.2048	6468.75	6468.75	420.3	187.5	0.2261	0.128	-282	341	341	E:\2020-winter\IPTO06R\20201214_061000.WAV	14-12-2020	06:13:42	14-12-2020	06:13:42	IBRO	1	0	
13	Spectrogram 1	1	202845.0188	202848.5804	1681.3	3656.7	45.0188	2437.5	2531.25	1975.4	1593.75	3.5616	3.1627	-422	357	422	E:\2020-winter\IPTO06R\20201214_061500.WAV	14-12-2020	06:15:45	14-12-2020	06:15:49	YBBU	0	1	
14	Spectrogram 1	1	202868.2789	202868.4987	3152.4	9289	68.2789	6750	6000	6136.6	2531.25	0.2198	0.144	-3186	3207	3207	E:\2020-winter\IPTO06R\20201214_061500.WAV	14-12-2020	06:16:08	14-12-2020	06:16:08	GRNW	1	0	
15	Spectrogram 1	1	202924.5666	202924.6608	5296	7775.8	124.5666	6937.5	6843.75	2479.8	2062.5	0.0942	0.0747	-336	305	336	E:\2020-winter\IPTO06R\20201214_061500.WAV	14-12-2020	06:17:05	14-12-2020	06:17:05	NIFP	1	0	
16	Spectrogram 1	1	202981.4636	202981.5452	2143.6	6935.2	181.4636	4125	4593.75	4791.6	4218.75	0.0817	0.064	-231	289	289	E:\2020-winter\IPTO06R\20201214_061500.WAV	14-12-2020	06:18:01	14-12-2020	06:18:02	BRWA	1	0	
17	Spectrogram 1	1	203041.8593	203042.1859	1807.4	2648	1.8593	2531.25	2343.75	840.6	750	0.3266	0.2773	-439	440	440	E:\2020-winter\IPTO06R\20201214_062000.WAV	14-12-2020	06:20:02	14-12-2020	06:20:02	PTBA	1	0	
