Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	262562.1608	262562.6822	5338	5632.2	2.1608	5531.25	5531.25	294.2	281.25	0.5214	0.4587	-331	343	343	E:\2020-winter\OLCAP3B\20201215_060500.WAV	15-12-2020	06:05:02	15-12-2020	06:05:03	MWTH	1	0	
2	Spectrogram 1	1	262585.9359	262586.2249	1639.2	2101.6	25.9359	1968.75	1875	462.4	375	0.2889	0.256	-352	314	352	E:\2020-winter\OLCAP3B\20201215_060500.WAV	15-12-2020	06:05:26	15-12-2020	06:05:26	MWTH	0	1	
3	Spectrogram 1	1	262630.5842	262633.7123	1429.1	2942.2	70.5842	1968.75	2062.5	1513.1	1312.5	3.1281	2.8587	-437	385	437	E:\2020-winter\OLCAP3B\20201215_060500.WAV	15-12-2020	06:06:11	15-12-2020	06:06:14	GRTD	0	1	
4	Spectrogram 1	1	262997.2299	262998.6683	966.7	1387	197.2299	1218.75	1218.75	420.3	281.25	1.4384	1.3013	-356	351	356	E:\2020-winter\OLCAP3B\20201215_061000.WAV	15-12-2020	06:13:17	15-12-2020	06:13:19	WCBA	1	0	
5	Spectrogram 1	1	263022.4435	263023.0653	6388.8	8028	222.4435	7593.75	7218.75	1639.2	1406.25	0.6219	0.56	-337	315	337	E:\2020-winter\OLCAP3B\20201215_061000.WAV	15-12-2020	06:13:42	15-12-2020	06:13:43	NIFP	0	1	
6	Spectrogram 1	1	263228.1595	263228.2914	3614.7	5506.1	188.1595	5250	4687.5	1891.4	1593.75	0.1319	0.1227	-296	315	315	E:\2020-winter\OLCAP3B\20201215_061500.WAV	15-12-2020	06:18:08	15-12-2020	06:18:08	IBRO	1	0	
7	Spectrogram 1	1	263428.4171	263430	5338	7397.5	148.4171	6000	6375	2059.5	1781.25	1.5829	1.4187	-379	338	379	E:\2020-winter\OLCAP3B\20201215_062000.WAV	15-12-2020	06:22:28	15-12-2020	06:22:29	VFNU	1	0	
8	Spectrogram 1	1	263661.1118	263661.3442	924.7	1975.5	141.1118	937.5	1406.25	1050.8	1031.25	0.2324	0.2027	-337	330	337	E:\2020-winter\OLCAP3B\20201215_062500.WAV	15-12-2020	06:27:21	15-12-2020	06:27:21	RESP	1	0	
9	Spectrogram 1	1	263734.5477	263734.8744	6136.6	7607.7	214.5477	7218.75	7125	1471.1	1312.5	0.3266	0.2827	-329	443	443	E:\2020-winter\OLCAP3B\20201215_062500.WAV	15-12-2020	06:28:35	15-12-2020	06:28:35	VHPA	1	0	
11	Spectrogram 1	1	264432.4749	264432.6068	3278.5	3824.9	192.4749	3562.5	3562.5	546.4	468.75	0.1319	0.1067	-323	310	323	E:\2020-winter\OLCAP3B\20201215_064000.WAV	15-12-2020	06:43:12	15-12-2020	06:43:13	LBLW	1	0	
12	Spectrogram 1	1	266748.662	266748.8693	4203.2	7229.4	108.662	6843.75	5531.25	3026.2	2625	0.2073	0.1867	-331	309	331	E:\2020-winter\OLCAP3B\20201215_073000.WAV	15-12-2020	07:31:49	15-12-2020	07:31:49	GRNW	1	0	
13	Spectrogram 1	1	267597.8831	267598.8505	4035	8322.2	237.8831	4875	5812.5	4287.2	3750	0.9673	0.88	-316	348	348	E:\2020-winter\OLCAP3B\20201215_074500.WAV	15-12-2020	07:48:58	15-12-2020	07:48:59	CBSU	0	1	
14	Spectrogram 1	1	268514.0766	268514.1897	6136.6	7986	194.0766	6375	7031.25	1849.4	1593.75	0.1131	0.096	-294	307	307	E:\2020-winter\OLCAP3B\20201215_080500.WAV	15-12-2020	08:08:14	15-12-2020	08:08:14	NIFP	1	0	
15	Spectrogram 1	1	268845.9485	268846.2249	4161.1	7271.5	45.9485	5250	5625	3110.4	2531.25	0.2764	0.2347	-355	383	383	E:\2020-winter\OLCAP3B\20201215_081500.WAV	15-12-2020	08:15:46	15-12-2020	08:15:46	GRWA	1	0	
16	Spectrogram 1	1	270037.5251	270037.6319	2227.7	3194.4	37.5251	2718.75	2718.75	966.7	843.75	0.1068	0.0907	-311	299	311	E:\2020-winter\OLCAP3B\20201215_084000.WAV	15-12-2020	08:40:38	15-12-2020	08:40:38	YBBU	1	0	
17	Spectrogram 1	1	270828.8882	270829.8178	3278.5	5085.8	108.8882	3562.5	4031.25	1807.3	1500	0.9296	0.8213	-312	316	316	E:\2020-winter\OLCAP3B\20201215_085500.WAV	15-12-2020	08:56:49	15-12-2020	08:56:50	STBU	0	1	
18	Spectrogram 1	1	270800.5276	270800.7538	1555.2	2311.7	80.5276	2062.5	1875	756.5	656.25	0.2261	0.208	-370	350	370	E:\2020-winter\OLCAP3B\20201215_085500.WAV	15-12-2020	08:56:21	15-12-2020	08:56:21	LBCR	1	0	
19	Spectrogram 1	1	270846.093	270846.294	3152.4	4959.7	126.093	3937.5	3937.5	1807.3	1500	0.201	0.176	-308	300	308	E:\2020-winter\OLCAP3B\20201215_085500.WAV	15-12-2020	08:57:06	15-12-2020	08:57:06	ASDR	1		
