Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	52124.73617	52125.09421	5295.4	5765.1	44.7362	5625	5531.25	469.7	375	0.358	0.3093	-496	460	496	E:\2020-winter\OLV110R\20210106_053000.WAV	06-01-2021	05:30:45	06-01-2021	05:30:45	MWTH	1	0	
2	Spectrogram 1	1	54197.96481	54199.00124	3202.8	4441.3	197.9648	3750	3750	1238.5	1031.25	1.0364	0.9227	-856	1991	1991	E:\2020-winter\OLV110R\20210106_061000.WAV	06-01-2021	06:13:18	06-01-2021	06:13:19	IWEY	0	1	
3	Spectrogram 1	1	54328.13441	54328.67461	1494.7	4270.5	88.1344	2062.5	2812.5	2775.8	2625	0.5402	0.4853	-642	606	642	E:\2020-winter\OLV110R\20210106_061500.WAV	06-01-2021	06:16:28	06-01-2021	06:16:29	GRTD	1	0	
4	Spectrogram 1	1	54363.32286	54363.58668	3160.1	4654.8	123.3229	4125	3843.75	1494.7	1312.5	0.2638	0.2347	-474	555	555	E:\2020-winter\OLV110R\20210106_061500.WAV	06-01-2021	06:17:03	06-01-2021	06:17:04	STBU	1	0	
5	Spectrogram 1	1	54419.32159	54419.86179	1891.4	2858.1	179.3216	2156.25	2250	966.7	843.75	0.5402	0.48	-733	803	803	E:\2020-winter\OLV110R\20210106_061500.WAV	06-01-2021	06:17:59	06-01-2021	06:18:00	YBBU	1	0	
6	Spectrogram 1	1	54480	54481.03643	1134.9	1681.3	0	1500	1406.25	546.4	375	1.0364	0.928	-618	665	665	E:\2020-winter\OLV110R\20210106_062000.WAV	06-01-2021	06:20:00	06-01-2021	06:20:01	MWTH	0	1	
7	Spectrogram 1	1	54567.2236	54568.53013	2353.8	6178.6	87.2236	3093.75	4875	3824.8	3093.75	1.3065	1.072	-2605	2840	2840	E:\2020-winter\OLV110R\20210106_062000.WAV	06-01-2021	06:21:27	06-01-2021	06:21:29	SHMY	1	0	
8	Spectrogram 1	1	54590.25126	54591.79648	3530.6	6893.2	110.2512	4875	4875	3362.6	2718.75	1.5452	1.296	-536	641	641	E:\2020-winter\OLV110R\20210106_062000.WAV	06-01-2021	06:21:50	06-01-2021	06:21:52	IBRO	0	1	
9	Spectrogram 1	1	54964.10175	54965.08793	672.5	1429.1	4.1018	1218.75	1125	756.6	656.25	0.9862	0.9067	-776	1065	1065	E:\2020-winter\OLV110R\20210106_063000.WAV	06-01-2021	06:30:04	06-01-2021	06:30:05	GRJU	1	0	
10	Spectrogram 1	1	55132.61934	55132.81406	1134.9	2017.5	172.6193	1687.5	1687.5	882.6	750	0.1947	0.1707	-567	499	567	E:\2020-winter\OLV110R\20210106_063000.WAV	06-01-2021	06:32:53	06-01-2021	06:32:53	RESP	1	0	
11	Spectrogram 1	1	55316.18717	55316.36933	3656.7	7607.7	116.1872	4968.75	5812.5	3951	3093.75	0.1822	0.128	-575	543	575	E:\2020-winter\OLV110R\20210106_063500.WAV	06-01-2021	06:36:56	06-01-2021	06:36:56	GRNW	1	0	
12	Spectrogram 1	1	55327.20476	55327.34923	1387	1849.4	127.2048	1687.5	1687.5	462.4	375	0.1445	0.128	-494	612	612	E:\2020-winter\OLV110R\20210106_063500.WAV	06-01-2021	06:37:07	06-01-2021	06:37:07	MGHO	1	0	
13	Spectrogram 1	1	55578.68089	55579.05149	5338	7944	138.6809	7406.25	6843.75	2606	2156.25	0.3706	0.304	-652	684	684	E:\2020-winter\OLV110R\20210106_064000.WAV	06-01-2021	06:42:19	06-01-2021	06:42:19	VHPA	1	0	
14	Spectrogram 1	1	55699.17712	55699.33415	2143.6	5043.8	19.1771	3375	3281.25	2900.2	2625	0.157	0.1333	-484	478	484	E:\2020-winter\OLV110R\20210106_064500.WAV	06-01-2021	06:45:19	06-01-2021	06:45:19	PHPA	1	0	
15	Spectrogram 1	1	55719.33415	55719.87435	3614.7	4791.6	39.3341	4593.75	4218.75	1176.9	1031.25	0.5402	0.4747	-499	575	575	E:\2020-winter\OLV110R\20210106_064500.WAV	06-01-2021	06:45:39	06-01-2021	06:45:40	GHCF	1	0	
16	Spectrogram 1	1	55750.76005	55751.5201	5211.9	7061.3	70.76	6187.5	6093.75	1849.4	1593.75	0.76	0.6773	-554	573	573	E:\2020-winter\OLV110R\20210106_064500.WAV	06-01-2021	06:46:11	06-01-2021	06:46:12	VFNU	1	0	
18	Spectrogram 1	1	56024.85552	56025.14446	4581.4	7649.7	104.8555	6375	5906.25	3068.3	2531.25	0.2889	0.256	-623	627	627	E:\2020-winter\OLV110R\20210106_065000.WAV	06-01-2021	06:51:45	06-01-2021	06:51:45	GRWA	1	0	
19	Spectrogram 1	1	56268.81908	56269.99998	5296	7986	108.8191	6093.75	6375	2690	2343.75	1.1809	1.088	-547	771	771	E:\2020-winter\OLV110R\20210106_065500.WAV	06-01-2021	06:56:49	06-01-2021	06:56:49	CBSU	0	1	
20	Spectrogram 1	1	56503.64321	56505.62813	4119.1	5338	103.6432	4406.25	4593.75	1218.9	1031.25	1.9849	1.7547	-527	567	567	E:\2020-winter\OLV110R\20210106_070000.WAV	06-01-2021	07:01:44	06-01-2021	07:01:46	LBLW	0	1	
21	Spectrogram 1	1	58218.82536	58218.96983	2648	3362.5	138.8254	2906.25	3000	714.5	562.5	0.1445	0.1227	-521	445	521	E:\2020-winter\OLV110R\20210106_073500.WAV	06-01-2021	07:37:19	06-01-2021	07:37:19	RTFL	1	0	
