Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	60177.90199	60179.32787	1323.8	1879	177.902	1687.5	1687.5	555.2	468.75	1.4259	1.3013	-835	1093	1093	E:\2020-winter\OLV110U\20201201_054500.WAV	01-12-2020	05:47:58	01-12-2020	05:47:59	MWTH	0	1	
2	Spectrogram 1	1	60187.63818	60187.97109	5252.7	5551.6	187.6382	5437.5	5437.5	298.9	187.5	0.3329	0.288	-670	818	818	E:\2020-winter\OLV110U\20201201_054500.WAV	01-12-2020	05:48:08	01-12-2020	05:48:08	MWTH	1	0	
3	Spectrogram 1	1	60386.48868	60387.15451	896.8	1323.8	146.4887	1218.75	1218.75	427	375	0.6658	0.4907	-4440	7908	7908	E:\2020-winter\OLV110U\20201201_055000.WAV	01-12-2020	05:52:26	01-12-2020	05:52:27	SBEO	1	0	
4	Spectrogram 1	1	60518.56782	60518.70601	336.8	676.1	38.5678	562.5	562.5	339.3	281.25	0.1382	0.096	-429	446	446	E:\2020-winter\OLV110U\20201201_055500.WAV	01-12-2020	05:55:39	01-12-2020	05:55:39	BRBO	1	0	
5	Spectrogram 1	1	60720.03769	60722.19221	3031.6	4210.5	0.0377	3375	3656.25	1178.9	937.5	2.1545	1.9253	-678	600	678	E:\2020-winter\OLV110U\20201201_060000.WAV	01-12-2020	06:00:00	01-12-2020	06:00:02	IWEY	0	1	
6	Spectrogram 1	1	60853.89446	60854.06406	926.3	1431.6	133.8945	1218.75	1218.75	505.3	468.75	0.1696	0.1493	-650	653	653	E:\2020-winter\OLV110U\20201201_060000.WAV	01-12-2020	06:02:14	01-12-2020	06:02:14	WCBA	1	0	
7	Spectrogram 1	1	60897.27385	60897.75752	1846.2	3230.8	177.2739	3000	2625	1384.6	1125	0.4837	0.432	-517	641	641	E:\2020-winter\OLV110U\20201201_060000.WAV	01-12-2020	06:02:57	01-12-2020	06:02:58	GRTD	1	0	
8	Spectrogram 1	1	60943.7123	60944.81155	1930.1	3482.5	223.7123	2906.25	2812.5	1552.4	1406.25	1.0992	0.9813	-805	927	927	E:\2020-winter\OLV110U\20201201_060000.WAV	01-12-2020	06:03:44	01-12-2020	06:03:45	STBU	1	0	
9	Spectrogram 1	1	60965.41456	60966.08667	713.3	1174.8	5.4146	937.5	937.5	461.5	375	0.6721	0.608	-3984	4332	4332	E:\2020-winter\OLV110U\20201201_060500.WAV	01-12-2020	06:05:05	01-12-2020	06:05:06	ISBA	1	0	
10	Spectrogram 1	1	60997.89571	60998.26003	1594.4	4447.6	37.8957	3187.5	3187.5	2853.2	2437.5	0.3643	0.2987	-1348	1255	1348	E:\2020-winter\OLV110U\20201201_060500.WAV	01-12-2020	06:05:38	01-12-2020	06:05:38	SHMY	1	0	
11	Spectrogram 1	1	61118.05903	61119.52887	4447.6	8517.5	158.059	7031.25	6937.5	4069.9	3187.5	1.4698	1.1787	-479	601	601	E:\2020-winter\OLV110U\20201201_060500.WAV	01-12-2020	06:07:38	01-12-2020	06:07:40	NIFP	0	1	
