Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	59944.37185	59946.30652	2861.2	5338.1	184.3719	4031.25	3843.75	2476.9	2062.5	1.9347	1.728	-1001	1038	1038	E:\2020-winter\PANMP2B\20201211_055500.WAV	11-12-2020	05:58:04	11-12-2020	05:58:06	IWEY	0	1	rain
2	Spectrogram 1	1	60202.34296	60202.83919	5380.8	5722.4	202.343	5531.25	5531.25	341.6	281.25	0.4962	0.4587	-626	709	709	E:\2020-winter\PANMP2B\20201211_060000.WAV	11-12-2020	06:03:22	11-12-2020	06:03:23	MWTH	1	0	
3	Spectrogram 1	1	60240.62186	60241.72738	1238.4	1708.2	0.6219	1406.25	1406.25	469.8	375	1.1055	1.008	-763	851	851	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:05:01	11-12-2020	06:05:02	MWTH	0	1	
4	Spectrogram 1	1	60334.37185	60334.51632	8370.1	8669	94.3719	8531.25	8531.25	298.9	187.5	0.1445	0.1173	-592	750	750	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:06:34	11-12-2020	06:06:35	SPPI	1	0	
5	Spectrogram 1	1	60367.29898	60368.02134	2277.7	3205.6	127.299	3000	2906.25	927.9	843.75	0.7224	0.672	-743	704	743	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:07:07	11-12-2020	06:07:08	RWBU	1	0	
6	Spectrogram 1	1	60400.98618	60401.70226	6251.7	8181.8	160.9862	7312.5	7125	1930.1	1687.5	0.7161	0.64	-703	796	796	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:07:41	11-12-2020	06:07:42	NIFP	0	1	
7	Spectrogram 1	1	60413.80652	60415.59044	1972	3314.7	173.8065	3000	3000	1342.7	937.5	1.7839	1.5573	-1060	1236	1236	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:07:54	11-12-2020	06:07:56	STBU	0	1	
8	Spectrogram 1	1	60372.79522	60373.83793	1930.1	3314.7	132.7952	3000	2625	1384.6	1125	1.0427	0.928	-683	829	829	E:\2020-winter\PANMP2B\20201211_060500.WAV	11-12-2020	06:07:13	11-12-2020	06:07:14	BCFU	1	0	
9	Spectrogram 1	1	60540.38317	60540.4711	923.1	1468.5	60.3832	1125	1125	545.4	468.75	0.0879	0.08	-718	725	725	E:\2020-winter\PANMP2B\20201211_061000.WAV	11-12-2020	06:11:00	11-12-2020	06:11:00	WCBA	1	0	
10	Spectrogram 1	1	60702.96482	60704.58542	4699.3	8769.2	222.9648	5531.25	6656.25	4069.9	3000	1.6206	1.3013	-1211	1096	1211	E:\2020-winter\PANMP2B\20201211_061000.WAV	11-12-2020	06:13:43	11-12-2020	06:13:45	OHTH	0	1	
11	Spectrogram 1	1	60716.55149	60717.26129	7930.1	9146.9	236.5515	8250	8437.5	1216.8	1125	0.7098	0.6293	-709	747	747	E:\2020-winter\PANMP2B\20201211_061000.WAV	11-12-2020	06:13:57	11-12-2020	06:13:57	BBFL	1	0	
12	Spectrogram 1	1	60770.9108	60771.25	1888.1	3272.7	50.9108	2718.75	2625	1384.6	1125	0.3392	0.2987	-812	827	827	E:\2020-winter\PANMP2B\20201211_061500.WAV	11-12-2020	06:15:51	11-12-2020	06:15:51	YBBU	1	0	
13	Spectrogram 1	1	60826.51381	60829.30274	1468.5	3230.8	106.5138	2062.5	2437.5	1762.3	1500	2.7889	2.544	-2244	2906	2906	E:\2020-winter\PANMP2B\20201211_061500.WAV	11-12-2020	06:16:47	11-12-2020	06:16:49	GRTD	0	1	
15	Spectrogram 1	1	60932.98366	60935.38315	5370.6	7342.7	212.9837	6281.25	6468.75	1972.1	1687.5	2.3995	2.144	-747	845	845	E:\2020-winter\PANMP2B\20201211_061500.WAV	11-12-2020	06:18:33	11-12-2020	06:18:35	VFNU	1	0	
16	Spectrogram 1	1	60941.85301	60942.68216	2601.4	4657.3	221.853	2812.5	3375	2055.9	1781.25	0.8291	0.7573	-671	761	761	E:\2020-winter\PANMP2B\20201211_061500.WAV	11-12-2020	06:18:42	11-12-2020	06:18:43	STBU	1	0	
17	Spectrogram 1	1	61265.15074	61265.69722	3650.3	4111.9	65.1508	3937.5	3843.75	461.6	375	0.5465	0.4747	-747	818	818	E:\2020-winter\PANMP2B\20201211_062500.WAV	11-12-2020	06:26:05	11-12-2020	06:26:06	LBLW	1	0	
18	Spectrogram 1	1	61493.46733	61495.11305	4279.7	5538.5	53.4673	4968.75	4968.75	1258.8	1031.25	1.6457	1.4453	-3384	3486	3486	E:\2020-winter\PANMP2B\20201211_063000.WAV	11-12-2020	06:30:53	11-12-2020	06:30:55	HSWO	1	0	
19	Spectrogram 1	1	61680.61558	61680.77889	4741.3	8014	0.6156	6937.5	6656.25	3272.7	2531.25	0.1633	0.128	-679	717	717	E:\2020-winter\PANMP2B\20201211_063500.WAV	11-12-2020	06:35:01	11-12-2020	06:35:01	CBSU	1	0	
20	Spectrogram 1	1	61875.402	61875.58416	4531.5	6797.2	195.402	6562.5	5718.75	2265.7	1781.25	0.1822	0.1493	-2891	3054	3054	E:\2020-winter\PANMP2B\20201211_063500.WAV	11-12-2020	06:38:15	11-12-2020	06:38:16	GRNW	1	0	
21	Spectrogram 1	1	61930.64698	61930.88568	4657.3	5328.7	10.647	4875	4875	671.4	562.5	0.2387	0.2133	-1937	2113	2113	E:\2020-winter\PANMP2B\20201211_064000.WAV	11-12-2020	06:40:11	11-12-2020	06:40:11	WBBF	1	0	
23	Spectrogram 1	1	62296.26883	62297.43089	1510.5	2265.7	136.2688	1875	1875	755.2	656.25	1.1621	1.0933	-863	986	986	E:\2020-winter\PANMP2B\20201211_064500.WAV	11-12-2020	06:47:16	11-12-2020	06:47:17	GRJU	1	0	
24	Spectrogram 1	1	63241.24372	63241.36934	4615.4	5748.3	121.2437	5062.5	5062.5	1132.9	750	0.1256	0.0853	-728	818	818	E:\2020-winter\PANMP2B\20201211_070500.WAV	11-12-2020	07:07:01	11-12-2020	07:07:01	IBRO	1	0	
25	Spectrogram 1	1	63253.1721	63253.90703	3902.1	6083.9	133.1721	5343.75	5250	2181.8	1875	0.7349	0.6453	-1060	1602	1602	E:\2020-winter\PANMP2B\20201211_070500.WAV	11-12-2020	07:07:13	11-12-2020	07:07:14	GHCF	1	0	
27	Spectrogram 1	1	63353.15954	63353.59924	5958	8265.7	233.1595	7593.75	7406.25	2307.7	1500	0.4397	0.3413	-977	984	984	E:\2020-winter\PANMP2B\20201211_070500.WAV	11-12-2020	07:08:53	11-12-2020	07:08:54	VHPA	1	0	
28	Spectrogram 1	1	63416.3128	63416.57662	4028	8601.4	56.3128	5906.25	5718.75	4573.4	2718.75	0.2638	0.176	-1383	1505	1505	E:\2020-winter\PANMP2B\20201211_071000.WAV	11-12-2020	07:10:56	11-12-2020	07:10:57	GRWA	1	0	
29	Spectrogram 1	1	63646.63315	63649.99998	2139.9	3482.5	46.6331	2625	2812.5	1342.6	1218.75	3.3668	3.0667	-1477	1654	1654	E:\2020-winter\PANMP2B\20201211_071500.WAV	11-12-2020	07:15:47	11-12-2020	07:15:49	PTBA	0	1	
31	Spectrogram 1	1	63881.36306	63881.63316	1720.3	3021	41.3631	2437.5	2343.75	1300.7	843.75	0.2701	0.1973	-1103	1241	1241	E:\2020-winter\PANMP2B\20201211_072000.WAV	11-12-2020	07:20:41	11-12-2020	07:20:42	AFBL	1	0	
32	Spectrogram 1	1	65097.83918	65098.05275	1636.4	2349.7	57.8392	2156.25	2156.25	713.3	468.75	0.2136	0.1867	-952	795	952	E:\2020-winter\PANMP2B\20201211_074500.WAV	11-12-2020	07:45:58	11-12-2020	07:45:58	MGHO	1	0	
33	Spectrogram 1	1	65840.78517	65841.8216	2601.4	3524.5	80.7852	2906.25	3000	923.1	656.25	1.0364	0.912	-784	792	792	E:\2020-winter\PANMP2B\20201211_080000.WAV	11-12-2020	08:01:21	11-12-2020	08:01:22	GRFL	1	0	
35	Spectrogram 1	1	66172.70728	66172.83291	3608.4	9314.7	172.7073	6843.75	6375	5706.3	5062.5	0.1256	0.112	-684	702	702	E:\2020-winter\PANMP2B\20201211_080500.WAV	11-12-2020	08:07:53	11-12-2020	08:07:53	BRWA	1	0	
36	Spectrogram 1	1	67610	67610.99874	4069.9	6209.8	170	6000	5343.75	2139.9	1875	0.9987	0.8693	-927	985	985	E:\2020-winter\PANMP2B\20201211_083500.WAV	11-12-2020	08:37:50	11-12-2020	08:37:51	ORMI	0		
