Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	59948.11556	59948.87561	726	2391.5	188.1156	1125	1406.25	1665.5	1125	0.76	0.64	-4941	4936	4941	E:\2020-winter\SEL107R\20201202_053500.WAV	02-12-2020	05:38:08	02-12-2020	05:38:09	GRJU	1	0	
2	Spectrogram 1	1	60774.75502	60776.16833	1281.1	1857.7	54.755	1687.5	1593.75	576.6	468.75	1.4133	1.2853	-933	1213	1213	E:\2020-winter\SEL107R\20201202_055500.WAV	02-12-2020	05:55:55	02-12-2020	05:55:56	MWTH	0	1	
3	Spectrogram 1	1	60790.87311	60791.51382	384.3	811.4	70.8731	656.25	562.5	427.1	281.25	0.6407	0.5653	-4692	4576	4692	E:\2020-winter\SEL107R\20201202_055500.WAV	02-12-2020	05:56:11	02-12-2020	05:56:12	SPDO	1	0	
4	Spectrogram 1	1	60962.14196	60963.91331	2816.1	4707.5	2.142	4312.5	4312.5	1891.4	1125	1.7714	1.5253	-893	1074	1074	E:\2020-winter\SEL107R\20201202_060000.WAV	02-12-2020	06:00:02	02-12-2020	06:00:04	IWEY	0	1	
5	Spectrogram 1	1	60960.82286	60961.27512	1050.8	4371.3	0.8229	1875	2062.5	3320.5	2906.25	0.4523	0.384	-557	543	557	E:\2020-winter\SEL107R\20201202_060000.WAV	02-12-2020	06:00:01	02-12-2020	06:00:01	GRTD	1	0	
6	Spectrogram 1	1	61030.78517	61031.19346	5800.4	9036.8	70.7852	8250	7593.75	3236.4	2625	0.4083	0.3627	-1129	992	1129	E:\2020-winter\SEL107R\20201202_060000.WAV	02-12-2020	06:01:11	02-12-2020	06:01:11	NIFP	1	0	
7	Spectrogram 1	1	61049.71732	61049.93717	8910.7	9289	89.7173	9093.75	9093.75	378.3	281.25	0.2198	0.1493	-726	823	823	E:\2020-winter\SEL107R\20201202_060000.WAV	02-12-2020	06:01:30	02-12-2020	06:01:30	SPPI	1	0	
8	Spectrogram 1	1	61119.47234	61119.51631	3530.6	9625.2	159.4723	4687.5	4687.5	6094.6	5156.25	0.044	0.0373	-423	508	508	E:\2020-winter\SEL107R\20201202_060000.WAV	02-12-2020	06:02:39	02-12-2020	06:02:40	BRWA	1	0	
9	Spectrogram 1	1	61282.75125	61282.95226	1050.8	1429.1	82.7512	1312.5	1218.75	378.3	281.25	0.201	0.1813	-956	977	977	E:\2020-winter\SEL107R\20201202_060500.WAV	02-12-2020	06:06:23	02-12-2020	06:06:23	WCBA	1	0	
10	Spectrogram 1	1	61284.10175	61284.27135	1891.4	2942.2	84.1017	2343.75	2343.75	1050.8	843.75	0.1696	0.1387	-567	580	580	E:\2020-winter\SEL107R\20201202_060500.WAV	02-12-2020	06:06:24	02-12-2020	06:06:24	YBBU	1	0	
