Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	24.5289	405144.5289	405146.0804	1451.957	1750.89	1593.75	1593.75	298.933	187.5	1.5515	1.3653	-1995	949	1995	E:\2020-winter\SEL107U\20201207_054500.WAV	07-12-2020	05:45:25	07-12-2020	05:45:26	MWTH	0	1	
2	Spectrogram 1	1	32.098	406112.098	406114.8492	2690.391	4911.032	3656.25	3843.75	2220.641	1968.75	2.7513	2.4373	-2194	2492	2492	E:\2020-winter\SEL107U\20201207_060500.WAV	07-12-2020	06:05:32	07-12-2020	06:05:35	IWEY	0	1	
3	Spectrogram 1	1	132.5188	406212.5188	406212.9585	4014.235	4612.1	4406.25	4312.5	597.865	375	0.4397	0.3147	-1200	1101	1200	E:\2020-winter\SEL107U\20201207_060500.WAV	07-12-2020	06:07:13	07-12-2020	06:07:13	SHMY	1	0	
4	Spectrogram 1	1	150.5276	406230.5276	406230.7098	8754.448	9266.904	9093.75	9093.75	512.456	281.25	0.1822	0.1387	-576	712	712	E:\2020-winter\SEL107U\20201207_060500.WAV	07-12-2020	06:07:31	07-12-2020	06:07:31	SPPI	1	0	
5	Spectrogram 1	1	170.5339	406250.5339	406251.0176	1836.299	2391.459	2062.5	2156.25	555.16	281.25	0.4837	0.3573	-1270	1038	1270	E:\2020-winter\SEL107U\20201207_060500.WAV	07-12-2020	06:07:51	07-12-2020	06:07:51	GRTD	1	0	
6	Spectrogram 1	1	15.1319	406335.1319	406336.049	1793.594	3202.847	3000	2625	1409.253	1031.25	0.9171	0.8267	-1053	1186	1186	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:10:15	07-12-2020	06:10:16	OHTH	1	0	
7	Spectrogram 1	1	14.0703	406334.0703	406334.711	1793.594	3117.438	2906.25	2718.75	1323.844	937.5	0.6407	0.576	-558	692	692	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:10:14	07-12-2020	06:10:15	RWBU	1	0	
8	Spectrogram 1	1	47.343	406367.3429	406367.7512	1665.48	3202.847	2531.25	2531.25	1537.367	1125	0.4083	0.3467	-488	575	575	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:10:47	07-12-2020	06:10:48	YBBU	1	0	
9	Spectrogram 1	1	99.1771	406419.1771	406420	7565.674	9373.03	8531.25	8437.5	1807.356	1500	0.8229	0.7253	-583	628	628	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:11:39	07-12-2020	06:11:39	BBFL	1	0	
10	Spectrogram 1	1	102.9146	406422.9146	406422.9837	3278.459	8952.715	4031.25	4406.25	5674.256	3843.75	0.0691	0.0587	-1236	1664	1664	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:11:43	07-12-2020	06:11:43	BRWA	1	0	
11	Spectrogram 1	1	113.8882	406433.8882	406436.2751	924.694	1302.977	1218.75	1125	378.283	281.25	2.3869	1.9947	-2288	2432	2432	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:11:54	07-12-2020	06:11:56	WCBA	1	0	
12	Spectrogram 1	1	128.3166	406448.3166	406448.6872	2311.734	6346.76	4875	4968.75	4035.026	2625	0.3706	0.304	-1749	1569	1749	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:12:08	07-12-2020	06:12:09	IBRO	0	1	
13	Spectrogram 1	1	137.4497	406457.4497	406458.706	4833.625	7607.706	4875	5625	2774.081	2250	1.2563	1.1147	-1275	1353	1353	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:12:17	07-12-2020	06:12:19	CBSU	0	1	
14	Spectrogram 1	1	190.0628	406510.0628	406510.603	6094.571	9162.872	8718.75	7687.5	3068.301	2531.25	0.5402	0.4747	-3042	1446	3042	E:\2020-winter\SEL107U\20201207_061000.WAV	07-12-2020	06:13:10	07-12-2020	06:13:11	NIFP	1	0	
