Selection	View	Channel	File Offset (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	5.8982	197765.8982	197766.9284	1134.851	1681.261	1500	1406.25	546.41	375	1.0301	0.896	-11892	11669	11892	E:\2020-winter\SEL207R\20201204_055000.WAV	04-12-2020	05:50:06	04-12-2020	05:50:07	MWTH	0	1	
3	Spectrogram 1	1	1.6771	198241.6771	198241.7462	714.536	1429.072	1218.75	1218.75	714.536	656.25	0.0691	0.0587	-533	568	568	E:\2020-winter\SEL207R\20201204_060000.WAV	04-12-2020	06:00:02	04-12-2020	06:00:02	ISOW	1	0	
4	Spectrogram 1	1	101.0804	198341.0804	198341.9535	1681.261	3152.364	2906.25	2718.75	1471.103	750	0.8731	0.7467	-7222	6984	7222	E:\2020-winter\SEL207R\20201204_060000.WAV	04-12-2020	06:01:41	04-12-2020	06:01:42	INPI	1	0	
5	Spectrogram 1	1	104.8555	198344.8555	198345.3957	5043.783	5674.256	5343.75	5343.75	630.473	281.25	0.5402	0.2613	-4276	3917	4276	E:\2020-winter\SEL207R\20201204_060000.WAV	04-12-2020	06:01:45	04-12-2020	06:01:45	MWTH	1	0	
6	Spectrogram 1	1	0.4522	198480.4523	198480.9171	1681.261	4035.026	1968.75	3000	2353.765	1968.75	0.4648	0.32	-4726	4584	4726	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:05:00	04-12-2020	06:05:01	SHMY	1	0	
7	Spectrogram 1	1	37.1669	198517.1669	198517.4495	462.347	1302.977	1125	1031.25	840.63	562.5	0.2827	0.2187	-614	799	799	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:05:37	04-12-2020	06:05:37	MGHO	1	0	
8	Spectrogram 1	1	77.3804	198557.3804	198557.8704	1849.387	2395.797	2250	2250	546.41	375	0.4899	0.3253	-732	910	910	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:06:17	04-12-2020	06:06:18	GRTD	1	0	
9	Spectrogram 1	1	71.7523	198551.7523	198553.6304	4119.089	8028.021	6000	6000	3908.932	2250	1.8781	1.6533	-1969	1996	1996	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:06:12	04-12-2020	06:06:14	IBRO	0	1	
10	Spectrogram 1	1	142.594	198622.594	198629.9998	2017.513	3866.9	3187.5	2906.25	1849.387	750	7.4058	5.232	-4064	3892	4064	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:07:23	04-12-2020	06:07:30	BRFL	1	0	
11	Spectrogram 1	1	151.9533	198631.9533	198632.2234	5842.382	8532.399	7500	7312.5	2690.017	2156.25	0.2701	0.224	-528	647	647	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:07:32	04-12-2020	06:07:32	NIFP	1	0	
12	Spectrogram 1	1	195.9294	198675.9294	198676.1681	8658.494	9120.841	8906.25	8906.25	462.347	281.25	0.2387	0.192	-478	677	677	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:08:16	04-12-2020	06:08:16	SPPI	1	0	
13	Spectrogram 1	1	198.0274	198678.0274	198679.7422	2479.86	3530.648	3000	3000	1050.788	375	1.7148	1.056	-1543	1473	1543	E:\2020-winter\SEL207R\20201204_060500.WAV	04-12-2020	06:08:18	04-12-2020	06:08:20	WTKI	1	0	
14	Spectrogram 1	1	1.1493	198721.1493	198721.7963	588.441	2185.639	937.5	937.5	1597.198	750	0.647	0.4907	-1571	1642	1642	E:\2020-winter\SEL207R\20201204_061000.WAV	04-12-2020	06:10:01	04-12-2020	06:10:02	ISBA	0	1	
15	Spectrogram 1	1	5.7535	198725.7535	198727.1417	1008.757	1387.04	1218.75	1218.75	378.283	281.25	1.3882	1.1467	-1250	1195	1250	E:\2020-winter\SEL207R\20201204_061000.WAV	04-12-2020	06:10:06	04-12-2020	06:10:07	WCBA	1	0	
16	Spectrogram 1	1	214.6229	198934.6229	198935.3264	7649.737	9246.935	8531.25	8437.5	1597.198	1312.5	0.7035	0.6347	-576	718	718	E:\2020-winter\SEL207R\20201204_061000.WAV	04-12-2020	06:13:35	04-12-2020	06:13:35	BBFL	1	0	
17	Spectrogram 1	1	35.0438	198995.0438	198995.6405	4959.72	9288.967	7218.75	7500	4329.247	2906.25	0.5967	0.5013	-4488	4294	4488	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:15:35	04-12-2020	06:15:36	TBWA	1	0	verify
18	Spectrogram 1	1	40.9294	199000.9294	199002.0475	5968.476	8490.368	7125	7125	2521.892	1687.5	1.1181	0.5333	-2738	2979	2979	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:15:41	04-12-2020	06:15:42	NIFP	0	1	
19	Spectrogram 1	1	48.555	199008.5551	199008.9005	8700.525	9499.124	9093.75	9000	798.599	281.25	0.3455	0.112	-3502	3364	3502	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:15:49	04-12-2020	06:15:49	SPPI	1	0	
20	Spectrogram 1	1	46.8402	198766.8402	198768.6179	3110.333	4203.152	3843.75	3750	1092.819	843.75	1.7776	1.6	-3259	3265	3265	E:\2020-winter\SEL207R\20201204_061000.WAV	04-12-2020	06:10:47	04-12-2020	06:10:49	IWEY	0	1	
21	Spectrogram 1	1	95.6405	199055.6405	199056.0425	1092.82	3152.364	3000	2156.25	2059.544	1968.75	0.402	0.3627	-469	500	500	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:16:36	04-12-2020	06:16:36	RWBU	1	0	
22	Spectrogram 1	1	122.6066	199082.6066	199082.6568	2563.923	8700.525	5531.25	5531.25	6136.602	4125	0.0503	0.0427	-519	506	519	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:17:03	04-12-2020	06:17:03	BRWA	1	0	
23	Spectrogram 1	1	172.8201	199132.8201	199133.7498	1555.166	3530.648	2906.25	2906.25	1975.482	750	0.9296	0.864	-3217	3264	3264	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:17:53	04-12-2020	06:17:54	OHTH	1	0	
24	Spectrogram 1	1	138.643	199098.643	199099.0324	6052.539	7901.926	7312.5	7031.25	1849.387	1406.25	0.3894	0.3307	-460	593	593	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:17:19	04-12-2020	06:17:19	VHPA	1	0	
25	Spectrogram 1	1	180.6782	199140.6782	199142.2234	504.378	1807.356	1312.5	1218.75	1302.978	375	1.5452	1.072	-4441	4906	4906	E:\2020-winter\SEL207R\20201204_061500.WAV	04-12-2020	06:18:01	04-12-2020	06:18:02	GRJU	1	0	
26	Spectrogram 1	1	2.795	199202.795	199204.1267	1639.229	3320.49	2437.5	2531.25	1681.261	1125	1.3317	1.1467	-704	815	815	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:03	04-12-2020	06:20:04	YBBU	1	0	
27	Spectrogram 1	1	3.5048	199203.5048	199207.2862	336.252	840.63	656.25	656.25	504.378	281.25	3.7814	3.2267	-1395	1351	1395	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:04	04-12-2020	06:20:07	SPDO	1	0	
28	Spectrogram 1	1	37.1292	199237.1292	199238.8314	5295.972	7691.769	6375	6000	2395.797	1687.5	1.7023	1.4933	-748	746	748	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:37	04-12-2020	06:20:39	VFNU	1	0	
29	Spectrogram 1	1	32.6819	199232.6819	199233.1154	273.205	672.504	468.75	468.75	399.299	187.5	0.4334	0.3467	-1123	1095	1123	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:20:33	04-12-2020	06:20:33	EUHO	1	0	
30	Spectrogram 1	1	72.0287	199272.0287	199275.0814	1387.04	6767.075	3750	3375	5380.035	3562.5	3.0528	1.664	-3450	3789	3789	E:\2020-winter\SEL207R\20201204_062000.WAV	04-12-2020	06:21:12	04-12-2020	06:21:15	DFBA	1	0	
