Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	265243.5553	265245.2764	1134.9	1891.4	43.5553	1687.5	1593.75	756.5	656.25	1.7211	1.5253	-1753	2137	2137	E:\2020-winter\SEL207U\20201205_053000.WAV	05-12-2020	05:30:44	05-12-2020	05:30:45	MWTH	0	1	
3	Spectrogram 1	1	266640.044	266640.603	5211.9	5716.3	0.044	5437.5	5437.5	504.4	281.25	0.559	0.4213	-821	918	918	E:\2020-winter\SEL207U\20201205_060000.WAV	05-12-2020	06:00:00	05-12-2020	06:00:01	MWTH	1	0	
4	Spectrogram 1	1	266792.5628	266793.6935	2269.7	6304.7	152.5628	5156.25	4875	4035	3468.75	1.1307	0.992	-6407	4306	6407	E:\2020-winter\SEL207U\20201205_060000.WAV	05-12-2020	06:02:33	05-12-2020	06:02:34	IBRO	0	1	
5	Spectrogram 1	1	267108.2538	267110	2690	4287.2	228.2537	4218.75	3468.75	1597.2	1500	1.7462	1.5147	-15085	9695	15085	E:\2020-winter\SEL207U\20201205_060500.WAV	05-12-2020	06:08:48	05-12-2020	06:08:49	IWEY	0	1	
6	Spectrogram 1	1	267194.7613	267196.25	1008.8	1303	74.7613	1031.25	1125	294.2	187.5	1.4887	1.36	-14922	10692	14922	E:\2020-winter\SEL207U\20201205_061000.WAV	05-12-2020	06:11:15	05-12-2020	06:11:16	WCBA	1	0	
7	Spectrogram 1	1	267207.6193	267208.0402	2101.6	2942.2	87.6193	2718.75	2625	840.6	750	0.4209	0.3627	-926	935	935	E:\2020-winter\SEL207U\20201205_061000.WAV	05-12-2020	06:11:28	05-12-2020	06:11:28	GRTD	1	0	
8	Spectrogram 1	1	267237.8455	267238.0213	1765.3	3530.6	117.8455	3375	2718.75	1765.3	1500	0.1759	0.144	-864	1013	1013	E:\2020-winter\SEL207U\20201205_061000.WAV	05-12-2020	06:11:58	05-12-2020	06:11:58	RWBU	1	0	
9	Spectrogram 1	1	267340.8794	267341.652	1639.2	3194.4	220.8794	3000	2625	1555.2	1312.5	0.7726	0.672	-1540	1537	1540	E:\2020-winter\SEL207U\20201205_061000.WAV	05-12-2020	06:13:41	05-12-2020	06:13:42	INPI	1	0	
10	Spectrogram 1	1	267495.0628	267495.3832	1387	3908.9	135.0628	3468.75	3000	2521.9	2062.5	0.3204	0.2613	-959	1043	1043	E:\2020-winter\SEL207U\20201205_061500.WAV	05-12-2020	06:17:15	05-12-2020	06:17:15	SHMY	1	0	
11	Spectrogram 1	1	267942.8266	267944.2776	924.7	1891.4	102.8266	1406.25	1406.25	966.7	750	1.451	1.2107	-1439	1641	1641	E:\2020-winter\SEL207U\20201205_062500.WAV	05-12-2020	06:26:43	05-12-2020	06:26:44	GRJU	1	0	
12	Spectrogram 1	1	268036.6206	268037.0603	6472.9	7944	196.6206	7125	7218.75	1471.1	1125	0.4397	0.368	-4498	2817	4498	E:\2020-winter\SEL207U\20201205_062500.WAV	05-12-2020	06:28:17	05-12-2020	06:28:17	VHPA	1	0	
13	Spectrogram 1	1	268132.8832	268133.3291	2101.6	3698.8	52.8832	2625	2625	1597.2	1125	0.446	0.3947	-1612	1704	1704	E:\2020-winter\SEL207U\20201205_063000.WAV	05-12-2020	06:30:53	05-12-2020	06:30:53	STBU	1	0	
14	Spectrogram 1	1	268173.3794	268174.1143	1134.9	1933.5	93.3794	1593.75	1593.75	798.6	468.75	0.7349	0.6507	-1130	1417	1417	E:\2020-winter\SEL207U\20201205_063000.WAV	05-12-2020	06:31:33	05-12-2020	06:31:34	MGHO	1	0	
15	Spectrogram 1	1	268279.2462	268280	2900.2	5674.3	199.2462	4406.25	4406.25	2774.1	2531.25	0.7538	0.6613	-4732	5537	5537	E:\2020-winter\SEL207U\20201205_063000.WAV	05-12-2020	06:33:19	05-12-2020	06:33:19	ASDR	1	0	
16	Spectrogram 1	1	268392.5314	268392.6633	3068.3	5380	72.5314	4593.75	4500	2311.7	1687.5	0.1319	0.1067	-1258	1492	1492	E:\2020-winter\SEL207U\20201205_063500.WAV	05-12-2020	06:36:13	05-12-2020	06:36:13	PHPA	1	0	
17	Spectrogram 1	1	268411.093	268411.853	3993	6010.5	91.093	4781.25	4875	2017.5	1593.75	0.76	0.688	-1019	1296	1296	E:\2020-winter\SEL207U\20201205_063500.WAV	05-12-2020	06:36:31	05-12-2020	06:36:32	BWFS	1	0	
18	Spectrogram 1	1	268433.3166	268433.6872	5884.4	6430.8	113.3166	6281.25	6281.25	546.4	468.75	0.3706	0.32	-1053	1213	1213	E:\2020-winter\SEL207U\20201205_063500.WAV	05-12-2020	06:36:53	05-12-2020	06:36:54	LBLW	1	0	
19	Spectrogram 1	1	268449.2651	268449.6168	5211.9	6851.1	129.2651	6656.25	6281.25	1639.2	1312.5	0.3518	0.2987	-1610	1814	1814	E:\2020-winter\SEL207U\20201205_063500.WAV	05-12-2020	06:37:09	05-12-2020	06:37:10	IYTI	1	0	
20	Spectrogram 1	1	268560.0879	268560.2827	3656.7	7103.3	0.0879	5718.75	5156.25	3446.6	2437.5	0.1947	0.16	-865	704	865	E:\2020-winter\SEL207U\20201205_064000.WAV	05-12-2020	06:40:00	05-12-2020	06:40:00	GRNW	1	0	
21	Spectrogram 1	1	268736.162	268737.9271	2395.8	3614.7	176.162	2718.75	2812.5	1218.9	1031.25	1.7651	1.6373	-1339	1311	1339	E:\2020-winter\SEL207U\20201205_064000.WAV	05-12-2020	06:42:56	05-12-2020	06:42:58	CHBE	1	0	
22	Spectrogram 1	1	269761.5138	269762.3869	505.3	1010.5	1.5138	750	750	505.2	375	0.8731	0.8107	-651	598	651	E:\2020-winter\SEL207U\20201205_070500.WAV	05-12-2020	07:05:02	05-12-2020	07:05:02	SPDO	1	0	
23	Spectrogram 1	1	270016.5389	270016.6017	535	891.6	16.5389	750	750	356.6	281.25	0.0628	0.0427	-732	671	732	E:\2020-winter\SEL207U\20201205_071000.WAV	05-12-2020	07:10:17	05-12-2020	07:10:17	MABA	1	0	
24	Spectrogram 1	1	271616.7462	271616.8027	4119.1	5296	176.7462	5062.5	4875	1176.9	843.75	0.0565	0.0427	-678	851	851	E:\2020-winter\SEL207U\20201205_074000.WAV	05-12-2020	07:42:57	05-12-2020	07:42:57	ORMI	1	0	
25	Spectrogram 1	1	272608.0527	272608.8191	772.7	1129.4	208.0528	937.5	937.5	356.7	281.25	0.7663	0.6933	-593	581	593	E:\2020-winter\SEL207U\20201205_080000.WAV	05-12-2020	08:03:28	05-12-2020	08:03:29	ISBA	1	0	
26	Spectrogram 1	1	272732.6005	272732.8203	3866.9	5338	92.6005	4968.75	4781.25	1471.1	1125	0.2198	0.1813	-752	797	797	E:\2020-winter\SEL207U\20201205_080500.WAV	05-12-2020	08:06:33	05-12-2020	08:06:33	CORO	1	0	
27	Spectrogram 1	1	272958.75	272959.1834	1050.8	1807.4	78.75	1406.25	1406.25	756.6	468.75	0.4334	0.3413	-796	717	796	E:\2020-winter\SEL207U\20201205_081000.WAV	05-12-2020	08:11:19	05-12-2020	08:11:19	LBCR	1	0	
28	Spectrogram 1	1	272983.6055	272983.6558	3866.9	6388.8	103.6055	4875	4875	2521.9	1687.5	0.0503	0.032	-354	418	418	E:\2020-winter\SEL207U\20201205_081000.WAV	05-12-2020	08:11:44	05-12-2020	08:11:44	BRWA	1	0	
29	Spectrogram 1	1	273199.711	273199.8492	1891.4	3782.8	79.711	2718.75	2718.75	1891.4	1312.5	0.1382	0.096	-629	591	629	E:\2020-winter\SEL207U\20201205_081500.WAV	05-12-2020	08:16:20	05-12-2020	08:16:20	HSWO	1	0	
30	Spectrogram 1	1	273699.0264	273699.2588	1807.4	3026.3	99.0264	2531.25	2531.25	1218.9	937.5	0.2324	0.2027	-525	572	572	E:\2020-winter\SEL207U\20201205_082500.WAV	05-12-2020	08:26:39	05-12-2020	08:26:39	YBBU	1	0	
31	Spectrogram 1	1	273693.6809	273694.196	2353.8	6178.6	93.6809	4968.75	4875	3824.8	2156.25	0.5151	0.4587	-833	792	833	E:\2020-winter\SEL207U\20201205_082500.WAV	05-12-2020	08:26:34	05-12-2020	08:26:34	DFBA	1	0	
32	Spectrogram 1	1	274387.6633	274390	1429.1	3236.4	67.6633	2625	2531.25	1807.3	1406.25	2.3367	2.2133	-782	807	807	E:\2020-winter\SEL207U\20201205_084000.WAV	05-12-2020	08:41:08	05-12-2020	08:41:09	STBU	1	0	
