Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	62005.09421	62005.52763	5210	5508.9	85.0942	5437.5	5437.5	298.9	187.5	0.4334	0.368	-495	546	546	E:\2020-winter\STIN02R\20201202_055500.WAV	02-12-2020	05:56:25	02-12-2020	05:56:26	MWTH	1	0	
2	Spectrogram 1	1	62051.52638	62051.75251	8284.7	9096.1	131.5264	8625	8718.75	811.4	562.5	0.2261	0.1813	-470	608	608	E:\2020-winter\STIN02R\20201202_055500.WAV	02-12-2020	05:57:12	02-12-2020	05:57:12	SPPI	1	0	
3	Spectrogram 1	1	62120.40201	62121.1495	1494.7	1879	200.402	1781.25	1687.5	384.3	375	0.7475	0.6453	-550	560	560	E:\2020-winter\STIN02R\20201202_055500.WAV	02-12-2020	05:58:20	02-12-2020	05:58:21	MWTH	0	1	
4	Spectrogram 1	1	62188.00878	62188.48616	1975.5	3572.7	28.0088	3187.5	2718.75	1597.2	1406.25	0.4774	0.4373	-524	651	651	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:00:28	02-12-2020	06:00:28	BCFU	1	0	
5	Spectrogram 1	1	62204.13316	62205.19471	5380	7986	44.1332	5437.5	6656.25	2606	2343.75	1.0616	0.9973	-568	686	686	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:00:44	02-12-2020	06:00:45	CBSU	0	1	
6	Spectrogram 1	1	62184.21482	62184.67964	7397.5	9415.1	24.2148	7781.25	8250	2017.6	1781.25	0.4648	0.4053	-512	555	555	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:00:24	02-12-2020	06:00:25	BBFL	1	0	
7	Spectrogram 1	1	62297.43717	62299.99998	2900.2	4665.5	137.4372	3750	3656.25	1765.3	1593.75	2.5628	2.2933	-655	706	706	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:02:17	02-12-2020	06:02:19	IWEY	0	1	
8	Spectrogram 1	1	62341.12437	62341.49497	6346.8	8490.4	181.1244	7406.25	7406.25	2143.6	1875	0.3706	0.3307	-502	520	520	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:03:01	02-12-2020	06:03:01	NIFP	1	0	
9	Spectrogram 1	1	62281.48241	62282.05402	2437.8	3446.6	121.4824	2718.75	2906.25	1008.8	843.75	0.5716	0.528	-596	617	617	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:02:01	02-12-2020	06:02:02	OHTH	1	0	
11	Spectrogram 1	1	62399.36556	62399.83038	7187.4	8994.7	239.3656	8343.75	8156.25	1807.3	1593.75	0.4648	0.4213	-496	616	616	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:03:59	02-12-2020	06:04:00	VHPA	1	0	
12	Spectrogram 1	1	62381.26884	62381.3505	1471.1	2143.6	221.2688	1781.25	1781.25	672.5	562.5	0.0817	0.0587	-502	567	567	E:\2020-winter\STIN02R\20201202_060000.WAV	02-12-2020	06:03:41	02-12-2020	06:03:41	GRJU	1	0	
13	Spectrogram 1	1	62415.9422	62417.8329	882.7	1387	15.9422	1125	1125	504.3	187.5	1.8907	1.3013	-1412	1452	1452	E:\2020-winter\STIN02R\20201202_060500.WAV	02-12-2020	06:05:16	02-12-2020	06:05:18	WCBA	1	0	
14	Spectrogram 1	1	62443.86306	62444.24622	2984.2	6767.1	43.8631	5437.5	5062.5	3782.9	3093.75	0.3832	0.32	-640	604	640	E:\2020-winter\STIN02R\20201202_060500.WAV	02-12-2020	06:05:44	02-12-2020	06:05:44	IBRO	0	1	
15	Spectrogram 1	1	62767.21104	62767.66958	2017.5	3824.9	127.211	2625	2625	1807.4	1406.25	0.4585	0.4	-575	607	607	E:\2020-winter\STIN02R\20201202_061000.WAV	02-12-2020	06:12:07	02-12-2020	06:12:08	YBBU	1	0	
16	Spectrogram 1	1	62782.3618	62783.58039	2353.8	3194.4	142.3618	3000	2906.25	840.6	562.5	1.2186	1.088	-614	590	614	E:\2020-winter\STIN02R\20201202_061000.WAV	02-12-2020	06:12:22	02-12-2020	06:12:24	GRTD	1	0	
17	Spectrogram 1	1	62786.97863	62787.6633	2143.6	3866.9	146.9786	3656.25	3093.75	1723.3	1500	0.6847	0.5867	-575	574	575	E:\2020-winter\STIN02R\20201202_061000.WAV	02-12-2020	06:12:27	02-12-2020	06:12:28	RWBU	1	0	
18	Spectrogram 1	1	62859.29018	62859.49119	3993	7523.6	219.2902	6000	5906.25	3530.6	2906.25	0.201	0.16	-450	613	613	E:\2020-winter\STIN02R\20201202_061000.WAV	02-12-2020	06:13:39	02-12-2020	06:13:39	GRNW	1	0	
19	Spectrogram 1	1	62861.05527	62869.99998	1849.4	3572.7	221.0553	2906.25	2718.75	1723.3	1593.75	8.9447	8.064	-616	731	731	E:\2020-winter\STIN02R\20201202_061000.WAV	02-12-2020	06:13:41	02-12-2020	06:13:49	PTBA	0	1	
20	Spectrogram 1	1	62960.65326	62960.96733	1303	2017.5	80.6533	1781.25	1781.25	714.5	656.25	0.3141	0.272	-601	476	601	E:\2020-winter\STIN02R\20201202_061500.WAV	02-12-2020	06:16:21	02-12-2020	06:16:21	RESP	1	0	
