Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	474707.2676	474707.7261	2690	3572.7	227.2676	3375	3281.25	882.7	656.25	0.4585	0.384	-945	896	945	E:\2020-winter\STIN02U\20201208_053000.WAV	08-12-2020	05:33:47	08-12-2020	05:33:48	UK	1	0	
2	Spectrogram 1	1	474840.6219	474841.4322	1513.1	1933.5	120.6219	1781.25	1687.5	420.4	281.25	0.8103	0.7307	-758	1019	1019	E:\2020-winter\STIN02U\20201208_053500.WAV	08-12-2020	05:37:01	08-12-2020	05:37:01	MWTH	0	1	
3	Spectrogram 1	1	474860.5716	474860.647	356.6	1396.9	140.5716	750	750	1040.3	937.5	0.0754	0.048	-798	830	830	E:\2020-winter\STIN02U\20201208_053500.WAV	08-12-2020	05:37:21	08-12-2020	05:37:21	ISOW	1	0	
4	Spectrogram 1	1	475765.2889	475765.961	2143.6	3236.4	85.2889	2812.5	2812.5	1092.8	937.5	0.6721	0.6027	-605	655	655	E:\2020-winter\STIN02U\20201208_055500.WAV	08-12-2020	05:56:25	08-12-2020	05:56:26	INPI	1	0	
5	Spectrogram 1	1	475826.897	475827.3115	5127.8	5674.3	146.897	5343.75	5343.75	546.5	281.25	0.4146	0.3467	-840	747	840	E:\2020-winter\STIN02U\20201208_055500.WAV	08-12-2020	05:57:27	08-12-2020	05:57:27	MWTH	1	0	
6	Spectrogram 1	1	475886.3065	475888.8191	1429.1	2479.9	206.3065	1968.75	1875	1050.8	750	2.5126	2.192	-641	705	705	E:\2020-winter\STIN02U\20201208_055500.WAV	08-12-2020	05:58:26	08-12-2020	05:58:29	GRTD	0	1	
7	Spectrogram 1	1	475971.9158	475974.1332	2732	4245.2	51.9158	4125	4125	1513.2	656.25	2.2173	1.9893	-693	752	752	E:\2020-winter\STIN02U\20201208_060000.WAV	08-12-2020	06:00:52	08-12-2020	06:00:54	IWEY	0	1	
8	Spectrogram 1	1	476167.7261	476168.1281	6472.9	8658.5	7.7261	8437.5	7687.5	2185.6	1875	0.402	0.3467	-487	568	568	E:\2020-winter\STIN02U\20201208_060500.WAV	08-12-2020	06:05:08	08-12-2020	06:05:08	NIFP	1	0	
9	Spectrogram 1	1	476158.2223	476158.7625	462.3	819.6	238.2224	562.5	562.5	357.3	281.25	0.5402	0.48	-688	798	798	E:\2020-winter\STIN02U\20201208_060000.WAV	08-12-2020	06:03:58	08-12-2020	06:03:59	SPDO	1	0	
10	Spectrogram 1	1	476272.2864	476273.6683	924.7	1303	112.2864	1218.75	1218.75	378.3	187.5	1.3819	1.0667	-641	668	668	E:\2020-winter\STIN02U\20201208_060500.WAV	08-12-2020	06:06:52	08-12-2020	06:06:54	WCBA	1	0	
