Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	61738.24747	61738.95099	1323.8	1793.6	58.2475	1593.75	1593.75	469.8	375	0.7035	0.6187	-7487	7761	7761	E:\2020-winter\THEN10U\20201201_053500.WAV	01-12-2020	05:35:58	01-12-2020	05:35:59	MWTH	0	1	
3	Spectrogram 1	1	61948.02134	61948.11556	256.2	896.8	28.0213	281.25	656.25	640.6	562.5	0.0942	0.0747	-5442	5354	5442	E:\2020-winter\THEN10U\20201201_054000.WAV	01-12-2020	05:40:28	01-12-2020	05:40:28	GRHO	1	0	
4	Spectrogram 1	1	62531.68969	62532.68844	683.3	1238.4	131.6897	1125	1031.25	555.1	468.75	0.9987	0.912	-842	799	842	E:\2020-winter\THEN10U\20201201_055000.WAV	01-12-2020	05:52:12	01-12-2020	05:52:13	SBEO	1	0	
5	Spectrogram 1	1	62539.56154	62539.99998	1622.8	2476.9	139.5615	2156.25	2062.5	854.1	750	0.4384	0.3947	-585	611	611	E:\2020-winter\THEN10U\20201201_055000.WAV	01-12-2020	05:52:20	01-12-2020	05:52:19	CSEA	1	0	
6	Spectrogram 1	1	62732.32412	62736.71481	1260.9	2648	92.3241	1875	1875	1387.1	1125	4.3907	3.9253	-1385	1368	1385	E:\2020-winter\THEN10U\20201201_055500.WAV	01-12-2020	05:56:32	01-12-2020	05:56:37	GRTD	0	1	
7	Spectrogram 1	1	62825.81029	62828.74998	3026.3	4413.3	185.8103	4125	3937.5	1387	1031.25	2.9397	2.512	-622	679	679	E:\2020-winter\THEN10U\20201201_055500.WAV	01-12-2020	05:58:06	01-12-2020	05:58:09	IWEY	0	1	
8	Spectrogram 1	1	62880	62880.23869	924.7	1345	0	1125	1125	420.3	375	0.2387	0.192	-438	463	463	E:\2020-winter\THEN10U\20201201_060000.WAV	01-12-2020	06:00:00	01-12-2020	06:00:00	WCBA	1	0	
9	Spectrogram 1	1	62913.66833	62914.35929	5211.9	5632.2	33.6683	5437.5	5437.5	420.3	281.25	0.691	0.5547	-687	704	704	E:\2020-winter\THEN10U\20201201_060000.WAV	01-12-2020	06:00:34	01-12-2020	06:00:34	MWTH	1	0	
10	Spectrogram 1	1	62961.14321	62961.42588	672.5	1387	81.1432	1218.75	1125	714.5	562.5	0.2827	0.24	-442	456	456	E:\2020-winter\THEN10U\20201201_060000.WAV	01-12-2020	06:01:21	01-12-2020	06:01:21	UK	1	0	GRJU?
11	Spectrogram 1	1	63117.24245	63117.38692	2227.7	3068.3	237.2424	2906.25	2906.25	840.6	656.25	0.1445	0.1227	-720	618	720	E:\2020-winter\THEN10U\20201201_060000.WAV	01-12-2020	06:03:57	01-12-2020	06:03:57	SHMY	1	0	
13	Spectrogram 1	1	63126.89069	63127.95853	6767.1	7859.9	6.8907	7687.5	7500	1092.8	937.5	1.0678	0.9013	-855	762	855	E:\2020-winter\THEN10U\20201201_060500.WAV	01-12-2020	06:05:07	01-12-2020	06:05:08	NIFP	0	1	
