Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	64851.48869	64851.85929	5081.9	5594.3	51.4887	5343.75	5343.75	512.4	375	0.3706	0.3253	-30623	21076	30623	E:\2020-winter\UPMAP1B\20201206_060500.WAV	06-12-2020	06:05:51	06-12-2020	06:05:52	MWTH	1	0	rain
2	Spectrogram 1	1	64884.88692	64885.29522	1323.8	1622.8	84.8869	1500	1500	299	187.5	0.4083	0.336	-32767	27092	32767	E:\2020-winter\UPMAP1B\20201206_060500.WAV	06-12-2020	06:06:25	06-12-2020	06:06:25	MWTH	0	1	
3	Spectrogram 1	1	65111.87814	65112.28643	2946.6	3715.3	71.8781	3468.75	3375	768.7	562.5	0.4083	0.3467	-32767	32024	32767	E:\2020-winter\UPMAP1B\20201206_061000.WAV	06-12-2020	06:11:12	06-12-2020	06:11:12	SHMY	1	0	
4	Spectrogram 1	1	65563.66833	65565.56532	966.7	1471.1	43.6683	1218.75	1218.75	504.4	375	1.897	0.544	-32767	32767	32767	E:\2020-winter\UPMAP1B\20201206_062000.WAV	06-12-2020	06:20:44	06-12-2020	06:20:46	WCBA	1	0	
5	Spectrogram 1	1	65765.61557	65769.99998	1975.5	3824.9	5.6156	3093.75	3000	1849.4	1500	4.3844	3.824	-19451	16271	19451	E:\2020-winter\UPMAP1B\20201206_062500.WAV	06-12-2020	06:25:06	06-12-2020	06:25:09	PTBA	0	1	
6	Spectrogram 1	1	66013.64949	66013.91959	2353.8	5422.1	13.6495	2531.25	3562.5	3068.3	2718.75	0.2701	0.208	-12248	10675	12248	E:\2020-winter\UPMAP1B\20201206_063000.WAV	06-12-2020	06:30:14	06-12-2020	06:30:14	AFBL	1	0	
7	Spectrogram 1	1	66032.77009	66032.99622	2732	3698.8	32.7701	3562.5	3375	966.8	843.75	0.2261	0.1973	-4990	9108	9108	E:\2020-winter\UPMAP1B\20201206_063000.WAV	06-12-2020	06:30:33	06-12-2020	06:30:33	IWEY	1	0	
8	Spectrogram 1	1	66480.81658	66481.31909	966.7	1639.2	0.8166	1312.5	1312.5	672.5	562.5	0.5025	0.4267	-16608	12018	16608	E:\2020-winter\UPMAP1B\20201206_064000.WAV	06-12-2020	06:40:01	06-12-2020	06:40:01	GRJU	1	0	
9	Spectrogram 1	1	66760	66760.08166	5884.4	7523.6	40	6843.75	6750	1639.2	1406.25	0.0817	0.0693	-1972	1859	1972	E:\2020-winter\UPMAP1B\20201206_064500.WAV	06-12-2020	06:45:40	06-12-2020	06:45:40	NIFP	1	0	
10	Spectrogram 1	1	66790.69095	66792.39949	3194.4	7986	70.691	6093.75	6093.75	4791.6	4218.75	1.7085	1.5307	-7266	8187	8187	E:\2020-winter\UPMAP1B\20201206_064500.WAV	06-12-2020	06:46:11	06-12-2020	06:46:12	IBRO	0	1	
11	Spectrogram 1	1	67058.19094	67058.8442	3194.4	5884.4	98.1909	3468.75	3937.5	2690	2437.5	0.6533	0.592	-6502	5859	6502	E:\2020-winter\UPMAP1B\20201206_065000.WAV	06-12-2020	06:51:38	06-12-2020	06:51:39	LBLW	1	0	
12	Spectrogram 1	1	67226.26883	67226.61431	882.7	1303	26.2688	1125	1125	420.3	281.25	0.3455	0.3093	-3826	4090	4090	E:\2020-winter\UPMAP1B\20201206_065500.WAV	06-12-2020	06:55:26	06-12-2020	06:55:27	ISBA	1	0	
13	Spectrogram 1	1	67420.63442	67421.0804	3068.3	5464.1	220.6344	3281.25	4125	2395.8	2156.25	0.446	0.3947	-6706	7241	7241	E:\2020-winter\UPMAP1B\20201206_065500.WAV	06-12-2020	06:58:41	06-12-2020	06:58:41	PHPA	1	0	
14	Spectrogram 1	1	67543.53014	67543.951	6346.8	8364.3	103.5301	7406.25	7500	2017.5	1593.75	0.4209	0.3573	-6726	6799	6799	E:\2020-winter\UPMAP1B\20201206_070000.WAV	06-12-2020	07:01:44	06-12-2020	07:01:44	VHPA	1	0	
15	Spectrogram 1	1	67546.30024	67546.853	7775.8	9499.1	106.3002	8062.5	8343.75	1723.3	1500	0.5528	0.464	-9240	9773	9773	E:\2020-winter\UPMAP1B\20201206_070000.WAV	06-12-2020	07:01:46	06-12-2020	07:01:47	BBFL	1	0	
16	Spectrogram 1	1	67931.7902	67931.94095	5338	8112.1	11.7902	6000	6375	2774.1	2437.5	0.1508	0.128	-3667	4733	4733	E:\2020-winter\UPMAP1B\20201206_071000.WAV	06-12-2020	07:10:12	06-12-2020	07:10:12	CBSU	1	0	
17	Spectrogram 1	1	68306.57034	68306.84044	4497.4	7103.3	146.5703	4875	5531.25	2605.9	2156.25	0.2701	0.224	-2610	2554	2610	E:\2020-winter\UPMAP1B\20201206_071500.WAV	06-12-2020	07:17:27	06-12-2020	07:17:27	GRNW	1	0	
18	Spectrogram 1	1	68400	68400.50879	1723.3	2395.8	0	1968.75	2062.5	672.5	562.5	0.5088	0.4587	-5687	4978	5687	E:\2020-winter\UPMAP1B\20201206_072000.WAV	06-12-2020	07:20:00	06-12-2020	07:20:01	YBBU	1	0	
19	Spectrogram 1	1	68571.70854	68573.2412	3278.5	4245.2	171.7085	3843.75	3843.75	966.7	750	1.5327	1.3227	-8532	5369	8532	E:\2020-winter\UPMAP1B\20201206_072000.WAV	06-12-2020	07:22:52	06-12-2020	07:22:53	GRFL	1	0	
20	Spectrogram 1	1	68633.93215	68634.23366	3614.7	7607.7	233.9321	6281.25	5812.5	3993	3187.5	0.3015	0.2507	-1683	1560	1683	E:\2020-winter\UPMAP1B\20201206_072000.WAV	06-12-2020	07:23:54	06-12-2020	07:23:54	GRWA	1	0	
21	Spectrogram 1	1	68804.7613	68804.89949	2816.1	3530.6	164.7613	3468.75	3375	714.5	468.75	0.1382	0.1067	-6380	5854	6380	E:\2020-winter\UPMAP1B\20201206_072500.WAV	06-12-2020	07:27:45	06-12-2020	07:27:45	RTFL	1	0	
22	Spectrogram 1	1	68885.98617	68886.49496	1975.5	3993	5.9862	3281.25	3187.5	2017.5	1687.5	0.5088	0.448	-4497	3599	4497	E:\2020-winter\UPMAP1B\20201206_073000.WAV	06-12-2020	07:30:06	06-12-2020	07:30:06	ASDR	1	0	
23	Spectrogram 1	1	69561.18718	69561.42588	1639.2	2101.6	201.1872	1781.25	1875	462.4	375	0.2387	0.2133	-5185	3348	5185	E:\2020-winter\UPMAP1B\20201206_074000.WAV	06-12-2020	07:43:21	06-12-2020	07:43:21	GRTD	1	0	
24	Spectrogram 1	1	70375.15074	70375.96732	1933.5	3530.6	55.1508	3281.25	2812.5	1597.1	1406.25	0.8166	0.7413	-5448	4893	5448	E:\2020-winter\UPMAP1B\20201206_080000.WAV	06-12-2020	08:00:55	06-12-2020	08:00:56	BCFU	1	0	
25	Spectrogram 1	1	70397.60677	70398.36682	3362.5	4749.6	77.6068	4312.5	4125	1387.1	1125	0.76	0.656	-3210	3868	3868	E:\2020-winter\UPMAP1B\20201206_080000.WAV	06-12-2020	08:01:18	06-12-2020	08:01:18	GHCF	1	0	
26	Spectrogram 1	1	70603.00879	70606.1432	1753.5	2347.9	43.0088	2062.5	2062.5	594.4	562.5	3.1344	2.9867	-5243	5863	5863	E:\2020-winter\UPMAP1B\20201206_080500.WAV	06-12-2020	08:05:43	06-12-2020	08:05:46	CSEA	1	0	
27	Spectrogram 1	1	70896.60803	70898.08415	4245.2	5380	96.608	4968.75	4968.75	1134.8	843.75	1.4761	1.3333	-2843	3041	3041	E:\2020-winter\UPMAP1B\20201206_081000.WAV	06-12-2020	08:11:37	06-12-2020	08:11:38	HSWO	1	0	
29	Spectrogram 1	1	70950.82286	70951.12437	7944	8490.4	150.8229	8250	8156.25	546.4	375	0.3015	0.2293	-4194	3576	4194	E:\2020-winter\UPMAP1B\20201206_081000.WAV	06-12-2020	08:12:31	06-12-2020	08:12:31	SPPI	1	0	
30	Spectrogram 1	1	71283.08416	71283.39195	2563.9	4077.1	3.0842	3187.5	3281.25	1513.2	1218.75	0.3078	0.288	-854	941	941	E:\2020-winter\UPMAP1B\20201206_082000.WAV	06-12-2020	08:20:03	06-12-2020	08:20:03	STBU	1	0	
31	Spectrogram 1	1	71761.1495	71761.27512	4119.1	5632.2	1.1495	5156.25	4968.75	1513.1	1312.5	0.1256	0.112	-2857	2154	2857	E:\2020-winter\UPMAP1B\20201206_083000.WAV	06-12-2020	08:30:01	06-12-2020	08:30:01	LISP	1	0	
