Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	409550.2889	409550.7475	5252.7	5637	110.2889	5437.5	5437.5	384.3	281.25	0.4585	0.4053	-18254	26596	26596	E:\2020-winter\VAR210R\20201206_060500.WAV	06-12-2020	06:06:50	06-12-2020	06:06:51	MWTH	1	0	rain
2	Spectrogram 1	1	409573.3166	409574.1583	1537.4	2263.3	133.3166	2156.25	2062.5	725.9	562.5	0.8417	0.7413	-17191	14078	17191	E:\2020-winter\VAR210R\20201206_060500.WAV	06-12-2020	06:07:13	06-12-2020	06:07:14	MWTH	0	1	
3	Spectrogram 1	1	409733.4925	409734.1394	1708.2	4526.7	53.4925	2343.75	2437.5	2818.5	2437.5	0.647	0.5813	-14417	9492	14417	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:10:53	06-12-2020	06:10:54	GRTD	1	0	
4	Spectrogram 1	1	409792.4812	409792.8769	1681.3	2732	112.4811	1781.25	1875	1050.7	843.75	0.3957	0.256	-32767	32767	32767	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:11:52	06-12-2020	06:11:53	MGHO	1	0	
5	Spectrogram 1	1	409794.5666	409794.8555	2942.2	4329.2	114.5666	3468.75	3468.75	1387	750	0.2889	0.24	-10209	11632	11632	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:11:55	06-12-2020	06:11:55	ASDR	1	0	
6	Spectrogram 1	1	409831.6646	409832.9083	4245.2	8112.1	151.6646	4500	5625	3866.9	3468.75	1.2437	1.1253	-29216	30334	30334	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:12:32	06-12-2020	06:12:33	CBSU	0	1	
7	Spectrogram 1	1	409836.2186	409837.412	1723.3	3993	156.2186	1875	2156.25	2269.7	1781.25	1.1935	1.0613	-26649	25981	26649	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:12:36	06-12-2020	06:12:37	BCFU	0	1	
8	Spectrogram 1	1	409863.6432	409864.2525	7565.7	9120.8	183.6432	7781.25	8250	1555.1	1406.25	0.6093	0.544	-23739	28178	28178	E:\2020-winter\VAR210R\20201206_061000.WAV	06-12-2020	06:13:04	06-12-2020	06:13:04	BBFL	1	0	
9	Spectrogram 1	1	410130.4648	410131.3505	1008.8	1387	210.4648	1312.5	1218.75	378.2	281.25	0.8857	0.7893	-6001	6369	6369	E:\2020-winter\VAR210R\20201206_061500.WAV	06-12-2020	06:18:30	06-12-2020	06:18:31	WCBA	1	0	
10	Spectrogram 1	1	410409.5415	410410.0346	2606	3446.6	9.5415	3375	3000	840.6	750	0.4931	0.4267	-6011	5211	6011	E:\2020-winter\VAR210R\20201206_062500.WAV	06-12-2020	06:25:10	06-12-2020	06:25:10	PTBA	1	0	
