Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Peak Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	BW 90% (Hz)	Delta Time (s)	Dur 90% (s)	Min Amp (U)	Max Amp (U)	Peak Amp (U)	Begin Path	Begin Date	Begin Clock Time	End Date	End Clock Time	species	call	song	notes
1	Spectrogram 1	1	65600.94849	65601.1495	854.1	1452	80.9485	1218.75	1218.75	597.9	468.75	0.201	0.1867	-4306	4321	4321	E:\2020-winter\VAR410U\20201201_053500.WAV	01-12-2020	05:36:21	01-12-2020	05:36:21	WCBA	1	0	
2	Spectrogram 1	1	66118.8442	66118.97611	384.3	726	118.8442	562.5	562.5	341.7	187.5	0.1319	0.1067	-741	768	768	E:\2020-winter\VAR410U\20201201_054500.WAV	01-12-2020	05:46:59	01-12-2020	05:46:59	BRBO	1	0	verify
3	Spectrogram 1	1	66248.67461	66249.0829	5124.6	5551.6	8.6746	5343.75	5343.75	427	375	0.4083	0.3413	-687	831	831	E:\2020-winter\VAR410U\20201201_055000.WAV	01-12-2020	05:50:09	01-12-2020	05:50:09	MWTH	1	0	
4	Spectrogram 1	1	66280.93593	66283.13442	1092.8	2185.6	40.9359	1781.25	1781.25	1092.8	750	2.1985	1.904	-1149	1144	1149	E:\2020-winter\VAR410U\20201201_055000.WAV	01-12-2020	05:50:41	01-12-2020	05:50:43	MWTH	0	1	
5	Spectrogram 1	1	66522.95226	66523.43592	1176.9	3993	42.9522	1968.75	1968.75	2816.1	281.25	0.4837	0.3733	-908	1027	1027	E:\2020-winter\VAR410U\20201201_055500.WAV	01-12-2020	05:55:43	01-12-2020	05:55:43	GRTD	1	0	
6	Spectrogram 1	1	66607.56908	66608.43591	2017.5	3194.4	127.5691	2906.25	2812.5	1176.9	937.5	0.8668	0.7467	-421	462	462	E:\2020-winter\VAR410U\20201201_055500.WAV	01-12-2020	05:57:08	01-12-2020	05:57:08	INPI	1	0	
7	Spectrogram 1	1	66651.35678	66656.90325	2017.5	3278.5	171.3568	2062.5	2718.75	1261	1031.25	5.5465	4.784	-1502	1577	1577	E:\2020-winter\VAR410U\20201201_055500.WAV	01-12-2020	05:57:51	01-12-2020	05:57:57	WTKI	1	0	
8	Spectrogram 1	1	66668.69345	66669.99998	3026.3	4035	188.6935	3843.75	3750	1008.7	843.75	1.3065	1.1413	-609	655	655	E:\2020-winter\VAR410U\20201201_055500.WAV	01-12-2020	05:58:09	01-12-2020	05:58:09	IWEY	0	1	
9	Spectrogram 1	1	66645.15074	66647.74496	966.7	1429.1	165.1507	1218.75	1218.75	462.4	187.5	2.5942	2.16	-646	841	841	E:\2020-winter\VAR410U\20201201_055500.WAV	01-12-2020	05:57:45	01-12-2020	05:57:48	WCBA	1	0	
10	Spectrogram 1	1	66766.99747	66767.11682	8238.2	9751.3	46.9975	9468.75	9468.75	1513.1	1218.75	0.1193	0.0907	-1137	1141	1141	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:00:47	01-12-2020	06:00:47	NIFP	1	0	
11	Spectrogram 1	1	66764.73617	66764.9623	2395.8	3320.5	44.7362	2625	2625	924.7	656.25	0.2261	0.192	-442	610	610	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:00:45	01-12-2020	06:00:45	YBBU	1	0	
12	Spectrogram 1	1	66791.08668	66791.68341	1891.4	3068.3	71.0867	2156.25	2437.5	1176.9	1031.25	0.5967	0.5493	-525	724	724	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:01:11	01-12-2020	06:01:12	RWBU	1	0	
13	Spectrogram 1	1	66888.68717	66889.50375	5253.9	8826.6	168.6872	6281.25	7031.25	3572.7	3093.75	0.8166	0.6987	-420	469	469	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:02:49	01-12-2020	06:02:50	BAOF	1	0	
14	Spectrogram 1	1	66910.15703	66910.45226	7607.7	8280.2	190.157	7968.75	7968.75	672.5	375	0.2952	0.1707	-598	827	827	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:03:10	01-12-2020	06:03:10	SPPI	1	0	
15	Spectrogram 1	1	66930.92965	66931.32537	2882.9	4428.4	210.9296	3375	3375	1545.5	1312.5	0.3957	0.3253	-456	470	470	E:\2020-winter\VAR410U\20201201_060000.WAV	01-12-2020	06:03:31	01-12-2020	06:03:31	SHMY	1	0	
16	Spectrogram 1	1	66986.65828	66987.5628	4329.2	9120.8	26.6583	4406.25	6468.75	4791.6	3750	0.9045	0.7787	-667	663	667	E:\2020-winter\VAR410U\20201201_060500.WAV	01-12-2020	06:05:27	01-12-2020	06:05:28	BRWA	1	0	
17	Spectrogram 1	1	67027.09798	67027.41204	588.4	2900.2	67.098	1875	1781.25	2311.8	1781.25	0.3141	0.2667	-979	915	979	E:\2020-winter\VAR410U\20201201_060500.WAV	01-12-2020	06:06:07	01-12-2020	06:06:07	RESP	1	0	
18	Spectrogram 1	1	67054.44095	67055.23868	772.7	1069.9	94.4409	937.5	937.5	297.2	187.5	0.7977	0.752	-706	851	851	E:\2020-winter\VAR410U\20201201_060500.WAV	01-12-2020	06:06:34	01-12-2020	06:06:35	ISBA	1	0	
19	Spectrogram 1	1	67103.69346	67103.85049	5674.3	7775.8	143.6935	7031.25	7031.25	2101.5	1687.5	0.157	0.1173	-629	719	719	E:\2020-winter\VAR410U\20201201_060500.WAV	01-12-2020	06:07:24	01-12-2020	06:07:24	NIFP	1	0	
20	Spectrogram 1	1	67202.07286	67203.08416	630.5	1639.2	2.0729	1312.5	1312.5	1008.7	562.5	1.0113	0.9067	-653	679	679	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:10:02	01-12-2020	06:10:03	GRJU	1	0	
21	Spectrogram 1	1	67200	67200.99874	1639.2	3446.6	0	2437.5	2437.5	1807.4	1125	0.9987	0.8213	-1191	1152	1191	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:10:00	01-12-2020	06:10:01	OHTH	1	0	
22	Spectrogram 1	1	67224.89949	67228.41079	4707.5	8448.3	24.8995	4781.25	4875	3740.8	1593.75	3.5113	0.4853	-3415	3575	3575	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:10:25	01-12-2020	06:10:28	CBSU	0	1	
23	Spectrogram 1	1	67293.54271	67293.60552	594.4	921.3	93.5427	843.75	750	326.9	187.5	0.0628	0.0427	-384	438	438	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:11:34	01-12-2020	06:11:34	MABA	1	0	
24	Spectrogram 1	1	67320.43342	67320.61558	1008.8	1639.2	120.4334	1406.25	1406.25	630.4	375	0.1822	0.1493	-435	590	590	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:12:00	01-12-2020	06:12:01	MGHO	1	0	
25	Spectrogram 1	1	67421.53894	67422.07286	594.4	1010.5	221.5389	843.75	843.75	416.1	281.25	0.5339	0.4053	-1138	1521	1521	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:13:42	01-12-2020	06:13:42	SBEO	1	0	
26	Spectrogram 1	1	67404.30275	67405.1319	630.5	2816.1	204.3028	2062.5	2062.5	2185.6	1593.75	0.8291	0.672	-1955	1947	1955	E:\2020-winter\VAR410U\20201201_061000.WAV	01-12-2020	06:13:24	01-12-2020	06:13:25	UK	1	0	
27	Spectrogram 1	1	67667.2927	67667.65074	6430.8	8154.1	227.2927	7687.5	7500	1723.3	1312.5	0.358	0.2987	-404	381	404	E:\2020-winter\VAR410U\20201201_061500.WAV	01-12-2020	06:18:47	01-12-2020	06:18:48	VHPA	1	0	
