"","species","median_begin_time","median_relative_onset_time","scientific_name","common_name","Order","ebird_residuals","q1","q3","trophic_niche","mass","foraging_habit","median_pf","territoriality","mean_vert_strat"
"1","ABFL",06:15:38.5,33.2833333333333,"Muscicapa dauurica","Asian Brown Flycatcher","Passeriformes",0.296210559185943,26.775,53.3833333333333,"Invertivore",9.8,"MID",5953.125,"Weakly territorial",6.11538461538461
"2","AEDO",06:42:00.0,58.9916666666667,"Chalcophaps indica","Asian Emerald Dove","Columbiformes",-0.0617196394937283,42.3791666666667,113.308333333333,"Omnivore",136.5,"GRD",375,"Non-territorial",5.7875
"3","AFBL",06:33:41.0,50.5,"Irena puella","Asian Fairy-bluebird","Passeriformes",0.0325413884959699,29,98.8166666666667,"Frugivore",64.9,"CAN",3000,"Weakly territorial",5.80116959064327
"4","ASDR",06:26:35.0,47.7833333333333,"Dicrurus leucophaeus","Ashy Drongo","Passeriformes",0.160364106750231,34.5,71.4333333333333,"Invertivore",37.6,"CAN",3750,"Highly territorial",5.57627118644068
"5","ASKO",06:33:23.0,56.5,"Eudynamys scolopaceus","Asian Koel","Cuculiformes",0.015561401850498,48.1125,76.8625,"Frugivore",194.9,"MID",1828.125,"Non-territorial",4.5
"6","BAOF",07:01:49.0,77.4166666666667,"Ficedula nigrorufa","Black-and-orange Flycatcher","Passeriformes",0.18540480045237,41.05,111.258333333333,"Invertivore",9.4,"UND",6468.75,"Highly territorial",5.94736842105263
"7","BBFL",06:20:17.0,37.15,"Muscicapa muttui","Brown-breasted Flycatcher","Passeriformes",0.180022511011362,25.3083333333333,93.8083333333333,"Invertivore",12,"UND",8437.5,"Weakly territorial",5.98425196850394
"8","BCFU",06:11:27.0,27.625,"Alcippe poioicephala","Brown-cheeked Fulvetta","Passeriformes",-0.0391318378737662,19.7041666666667,43.4041666666667,"Invertivore",20.7,"MID",2812.5,"Highly territorial",6.1986301369863
"9","BNMO",06:29:48.5,46.975,"Hypothymis azurea","Black-naped Monarch","Passeriformes",0.121783832897012,28.0125,86.875,"Invertivore",11.1,"MID",3750,"Weakly territorial",6.11538461538461
"10","BRDR",06:30:15.5,62.4166666666667,"Dicrurus aeneus","Bronzed Drongo","Passeriformes",0.18707248337195,38.5833333333333,85.5208333333333,"Invertivore",26,"MID",1875,"Highly territorial",4.83333333333333
"11","BRFL",06:37:18.0,60.7333333333333,"Dinopium benghalense","Black-rumped Flameback","Piciformes",-0.153385294586554,38.5333333333333,81.6333333333333,"Invertivore",100,"MID",2718.75,"Highly territorial",5.46808510638298
