"","Selection","View","Channel","begin_time","end_time","low_Freq","high_freq","file_offset","peak_freq","center_freq","delta_freq","BW_90","delta_time","dur_90","Peak.Amp..U.","season","site_code","filename","Begin.Path","date","begin_clock_time","end_clock_time","species","call","song","notes"
"1",1,"Spectrogram 1",1,0.201,0.332909273,356.6,1723.8,0.201,1125,1031.25,1367.2,1031.25,0.1319,0.1067,441,"summer","INBS04R","20200324_053000.WAV","E:\2020-summer\INBS04R\20200324_053000.WAV","24-03-2020","05:30:00","05:30:00","GRHO",1,0,NA
"2",1,"Spectrogram 1",1,0,0.427134789,1409.3,1836.3,0,1781.25,1593.75,427,281.25,0.4271,0.3893,998,"summer","INBS04U","20200507_053000.WAV","E:\2020-summer\INBS04U\20200507_053000.WAV","07-05-2020","05:30:00","05:30:00","MWTH",0,1,""
"3",1,"Spectrogram 1",1,0.3518,1.652048548,1110.3,1665.5,0.3518,1312.5,1406.25,555.2,468.75,1.3002,1.2107,782,"summer","INME03R","20200508_053000.WAV","E:\2020-summer\INME03R\20200508_053000.WAV","08-05-2020","05:30:00","05:30:02","MWTH",0,1,NA
"4",1,"Spectrogram 1",1,0,1.9723577,1092.8,1639.2,0,1406.25,1406.25,546.4,281.25,1.9724,1.456,2409,"summer","INME03U","20200502_053000.WAV","E:\2020-summer\INME03U\20200502_053000.WAV","02-05-2020","05:30:00","05:30:02","MWTH",0,1,""
"5",1,"Spectrogram 1",1,585840.1382,585840.5716,1345,2059.5,0.1382,1687.5,1593.75,714.536,281.25,0.4334,0.3573,2283,"summer","OLCAP2B","20200503_053000.WAV","E:\2020-summer\OLCAP2B\20200503_053000.WAV","03-05-2020","05:30:00","05:30:01","WBBF",1,0,NA
"6",1,"Spectrogram 1",1,0.0628,0.810285879,924.7,1387,0.0628,1218.75,1218.75,462.3,187.5,0.7475,0.5173,2156,"summer","OLCAP2B","20200510_053000.WAV","E:\2020-summer\OLCAP2B\20200510_053000.WAV","10-05-2020","05:30:00","05:30:01","MWTH",0,1,""
"7",1,"Spectrogram 1",1,0.308,0.95477188,1050.8,1429.1,0.308,1218.75,1218.75,378.3,281.25,0.6468,0.56,3722,"summer","OLCAP3B","20200510_053000.WAV","E:\2020-summer\OLCAP3B\20200510_053000.WAV","10-05-2020","05:30:00","05:30:01","MWTH",0,1,NA
"8",1,"Spectrogram 1",1,0.2073,0.904534729,1345.009,2353.765,0.2073,2062.5,1968.75,1008.756,843.75,0.6972,0.6133,1045,"summer","OLV208R","20200327_053000.WAV","E:\2020-summer\OLV208R\20200327_053000.WAV","27-03-2020","05:30:00","05:30:01","CHCU",1,0,""
"9",1,"Spectrogram 1",1,0.358,1.187144001,1050.8,1765.3,0.358,1593.75,1406.25,714.5,562.5,0.8291,0.7573,2419,"summer","OLV208U","20200508_053000.WAV","E:\2020-summer\OLV208U\20200508_053000.WAV","08-05-2020","05:30:00","05:30:01","MWTH",0,1,""
"10",1,"Spectrogram 1",1,0.3832,1.645760184,1281.1,1793.6,0.3832,1500,1500,512.5,468.75,1.2626,1.1253,643,"summer","SEL107U","20200307_053000.WAV","E:\2020-summer\SEL107U\20200307_053000.WAV","07-03-2020","05:30:00","05:30:02","MWTH",0,1,""
"11",1,"Spectrogram 1",1,0.27,0.640702183,2437.8,2774.1,0.27,2625,2625,336.3,187.5,0.3707,0.2773,1096,"summer","SEL107U","20200504_053000.WAV","E:\2020-summer\SEL107U\20200504_053000.WAV","04-05-2020","05:30:00","05:30:01","RWLA",1,0,""
"12",1,"Spectrogram 1",1,0.0314,2.311546003,1110.3,2135.2,0.0314,1781.25,1593.75,1024.9,937.5,2.2801,2.0587,561,"summer","STIN02R","20200502_053000.WAV","E:\2020-summer\STIN02R\20200502_053000.WAV","02-05-2020","05:30:00","05:30:02","MWTH",0,1,""
"13",1,"Spectrogram 1",1,600240.4209,600241.1118,1345,2437.8,0.4209,2156.25,2062.5,1092.82,750,0.691,0.5867,746,"summer","THEN10U","20200505_053000.WAV","E:\2020-summer\THEN10U\20200505_053000.WAV","05-05-2020","05:30:00","05:30:01","CHCU",1,0,NA
"14",1,"Spectrogram 1",1,876480,876480.3643,399.3,777.6,0,656.25,562.5,378.284,281.25,0.3643,0.3093,604,"summer","UPMAP3B","20200328_053000.WAV","E:\2020-summer\UPMAP3B\20200328_053000.WAV","28-03-2020","05:30:00","05:30:00","BRBO",1,0,""
"15",1,"Spectrogram 1",1,874560.201,874560.6721,405.7,768.7,0.201,656.25,562.5,362.989,281.25,0.4711,0.4107,1175,"summer","UPMAP4B","20200328_053000.WAV","E:\2020-summer\UPMAP4B\20200328_053000.WAV","28-03-2020","05:30:00","05:30:01","BRBO",1,0,NA
"16",1,"Spectrogram 1",1,0,0.27009994,357.3,756.6,0,562.5,562.5,399.3,187.5,0.2701,0.2133,1475,"summer","VAR210R","20200505_053000.WAV","E:\2020-summer\VAR210R\20200505_053000.WAV","05-05-2020","05:30:00","05:30:00","BRBO",1,0,NA
"17",1,"Spectrogram 1",1,0.3643,0.879374304,1050.8,1933.5,0.3643,1687.5,1593.75,882.7,656.25,0.5151,0.4373,7640,"summer","VAR310U","20200319_053000.WAV","E:\2020-summer\VAR310U\20200319_053000.WAV","19-03-2020","05:30:00","05:30:01","CHCU",1,0,""
"18",1,"Spectrogram 1",1,0.1131,0.314104606,298.9,1323.8,0.1131,562.5,750,1024.9,843.75,0.201,0.16,1152,"summer","VAR410R","20200312_053000.WAV","E:\2020-summer\VAR410R\20200312_053000.WAV","12-03-2020","05:30:00","05:30:00","UK",1,0,"ISOW?"
"19",1,"Spectrogram 1",1,0.2199,2.550297155,462.3,1723.3,0.2199,1125,937.5,1261,1125,2.3304,2.0907,1062,"summer","VAR410R","20200319_053000.WAV","E:\2020-summer\VAR410R\20200319_053000.WAV","19-03-2020","05:30:00","05:30:03","JUNI",1,0,""
"20",1,"Spectrogram 1",1,1.4384,1.494932546,854.1,1601.4,1.4384,1312.5,1312.5,747.3,656.25,0.0565,0.048,243,"summer","IPTO04U","20200315_053000.WAV","E:\2020-summer\IPTO04U\20200315_053000.WAV","15-03-2020","05:30:01","05:30:01","JUNI",1,0,""
"21",1,"Spectrogram 1",1,0.5842,1.243746364,1471.1,2101.6,0.5842,1781.25,1781.25,630.5,562.5,0.6595,0.5813,1199,"summer","OLV110R","20200507_053000.WAV","E:\2020-summer\OLV110R\20200507_053000.WAV","07-05-2020","05:30:01","05:30:01","CHCU",1,0,""
"22",1,"Spectrogram 1",1,0.7224,1.432197516,1323.8,2605,0.7224,2062.5,2062.5,1281.2,843.75,0.7098,0.5813,571,"summer","OLV110U","20200505_053000.WAV","E:\2020-summer\OLV110U\20200505_053000.WAV","05-05-2020","05:30:01","05:30:01","CHCU",1,0,""
"23",1,"Spectrogram 1",1,62400.67211,62402.6005,1153,1964.4,0.6721,1687.5,1687.5,811.388,562.5,1.9284,1.6107,1246,"summer","STIN02U","20200311_053000.WAV","E:\2020-summer\STIN02U\20200311_053000.WAV","11-03-2020","05:30:01","05:30:03","MWTH",0,1,""
"24",2,"Spectrogram 1",1,600241.1432,600241.5892,1429.1,2059.5,1.1432,1781.25,1781.25,630.473,375,0.446,0.3947,599,"summer","THEN10U","20200505_053000.WAV","E:\2020-summer\THEN10U\20200505_053000.WAV","05-05-2020","05:30:01","05:30:02","MWTH",1,0,NA
"25",1,"Spectrogram 1",1,828240.7161,828241.1307,420.3,840.6,0.7161,656.25,656.25,420.315,187.5,0.4146,0.3147,12158,"summer","UPMAP6B","20200328_053000.WAV","E:\2020-summer\UPMAP6B\20200328_053000.WAV","28-03-2020","05:30:01","05:30:01","BRBO",1,0,""
"26",1,"Spectrogram 1",1,674640.7726,674640.8543,294.221,1050.788,0.7726,468.75,468.75,756.567,468.75,0.0817,0.0747,1245,"summer","VAR410U","20200506_053000.WAV","E:\2020-summer\VAR410U\20200506_053000.WAV","06-05-2020","05:30:01","05:30:01","GRHO",1,0,NA
"27",1,"Spectrogram 1",1,132482.4435,132482.701,512.5,1537.4,2.4435,1406.25,1312.5,1024.911,937.5,0.2575,0.192,1170,"summer","IPTO06R","20200319_053000.WAV","E:\2020-summer\IPTO06R\20200319_053000.WAV","19-03-2020","05:30:02","05:30:03","JENI",1,0,NA
"28",1,"Spectrogram 1",1,1.8342,2.292741758,1681.3,2017.5,1.8342,1875,1875,336.2,281.25,0.4585,0.3467,2283,"summer","OLV110U","20200507_053000.WAV","E:\2020-summer\OLV110U\20200507_053000.WAV","07-05-2020","05:30:02","05:30:02","MWTH",0,1,""
