"","scientific_name","mean_eye_size","common_name","mass"
"1","Aegithina tiphia",3.887,"Common Iora",12
"2","Arachnothera longirostra",5.108,"Little Spiderhunter",12.5
"3","Carpodacus erythrinus",3.756,"Common Rosefinch",24
"4","Centropus sinensis",9.759,"Greater Coucal",280.7
"5","Chalcophaps indica",6.947,"Asian Emerald Dove",136.5
"6","Chloropsis aurifrons",4.82272727272727,"Golden-fronted Leafbird",32.3
"7","Copsychus saularis",6.67,"Oriental Magpie-Robin",36
"8","Corvus macrorhynchos",10.713,"Large-billed Crow",513.1
"9","Corvus splendens",8.42727272727273,"House Crow",292.6
"10","Culicicapa ceylonensis",4.182,"Gray-headed Canary-Flycatcher",7.7
"11","Dicaeum concolor",2.82583333333333,"Nilgiri Flowerpecker",6.2
"12","Dicrurus aeneus",5.8,"Bronzed Drongo",26
"13","Dicrurus leucophaeus",6.213,"Ashy Drongo",37.6
"14","Dicrurus paradiseus",6.992,"Greater Racket-tailed Drongo",85.8
"15","Dinopium benghalense",5.848,"Black-rumped Flameback",100
"16","Dryocopus javensis",8.452,"White-bellied Woodpecker",271.4
"17","Ducula badia",8.76454545454545,"Mountain Imperial-Pigeon",486
"18","Eudynamys scolopaceus",8.23,"Asian Koel",194.9
"19","Halcyon smyrnensis",7.935,"White-throated Kingfisher",91.4
"20","Hemicircus canente",4.416,"Heart-spotted Woodpecker",43
"21","Hemipus picatus",4.019,"Bar-winged Flycatcher-shrike",9
"22","Hypothymis azurea",4.359,"Black-naped Monarch",11.1
"23","Irena puella",6.29727272727273,"Asian Fairy-bluebird",64.9
"24","Merops leschenaulti",5.819,"Chestnut-headed Bee-eater",27.2
"25","Muscicapa dauurica",5.025,"Asian Brown Flycatcher",9.8
"26","Orthotomus sutorius",3.407,"Common Tailorbird",7.5
"27","Pavo cristatus",11.565,"Indian Peafowl",4154.8
"28","Pellorneum ruficeps",5.19666666666667,"Puff-throated Babbler",26
"29","Pericrocotus flammeus",5.378,"Orange Minivet",23.3
"30","Phylloscopus trochiloides",3.395,"Greenish Warbler",8.1
"31","Picumnus innominatus",3.679,"Speckled Piculet",10.2
"32","Picus chlorolophus",5.841,"Lesser Yellownape",65.4
"33","Pitta brachyura",7.019,"Indian Pitta",55.5
"34","Pycnonotus jocosus",4.711,"Red-whiskered Bulbul",29.5
"35","Upupa epops",4.995,"Eurasian Hoopoe",66.9
"36","Zosterops palpebrosus",3.07,"Indian White-eye",8.6
"37","Acritillas indica",5.4764956243,"Yellow-browed Bulbul",30.6
"38","Acrocephalus dumetorum",3.7858899219,"Blyth's Reed Warbler",11.2
"39","Alcippe poioicephala",4.3607488465,"Brown-cheeked Fulvetta",20.7
"40","Argya subrufa",4.8090781851,"Rufous Babbler",66.7
"41","Chrysocolaptes guttacristatus",6.4921609244,"Greater Flameback",166
"42","Cinnyris asiaticus",3.3030259567,"Purple Sunbird",8.1
"43","Cyornis pallidipes",5.0395369028,"White-bellied Blue Flycatcher",19
"44","Dendrocitta leucogastra",8.0390426471,"White-bellied Treepie",99.2
"45","Dinopium javanense",4.3723918741,"Common Flameback",72.8
"46","Dumetia atriceps",4.0118512186,"Dark-fronted Babbler",16.3
"47","Eumyias albicaudatus",4.55793996,"Nilgiri Flycatcher",16.4
"48","Ficedula nigrorufa",4.4496810601,"Black-and-orange Flycatcher",9.4
"49","Ficedula ruficauda",3.812357186,"Rusty-tailed Flycatcher",13.3
"50","Galloperdix spadicea",7.2904783485,"Red Spurfowl",359.1
"51","Gallus sonneratii",8.0653371427,"Gray Junglefowl",840.8
"52","Geokichla citrina",6.2181027886,"Orange-headed Thrush",53.3
"53","Gracula indica",6.9110190501,"Southern Hill Myna",192
"54","Harpactes fasciatus",6.7369353528,"Malabar Trogon",62
"55","Hierococcyx varius",7.2727169884,"Common Hawk-Cuckoo",103
"56","Hypsipetes ganeesa",5.2714275729,"Square-tailed Bulbul",51.8
"57","Larvivora brunnea",3.8360014416,"Indian Blue Robin",17.5
"58","Leptocoma minima",2.5051569488,"Crimson-backed Sunbird",4.9
"59","Machlolophus aplonotus",3.6842844378,"Indian Yellow Tit",14.8
"60","Micropternus brachyurus",5.8384613319,"Rufous Woodpecker",85.9
"61","Muscicapa muttui",4.714591388,"Brown-breasted Flycatcher",12
"62","Myophonus horsfieldii",7.9363435741,"Malabar Whistling-Thrush",117
"63","Pericrocotus cinnamomeus",3.6145845817,"Small Minivet",8.6
"64","Phylloscopus magnirostris",3.2780771519,"Large-billed Leaf Warbler",11.6
"65","Phylloscopus nitidus",2.9127111107,"Green Warbler",7.8
"66","Picus xanthopygaeus",5.6591177615,"Streak-throated Woodpecker",99.7
"67","Pomatorhinus horsfieldii",4.6193224752,"Indian Scimitar-Babbler",43
"68","Psilopogon malabaricus",4.0174135706,"Malabar Barbet",37.6
"69","Psilopogon viridis",6.544475824,"White-cheeked Barbet",80.5
"70","Rubigula gularis",3.6509080503,"Flame-throated Bulbul",29.3
"71","Sitta frontalis",3.49217362,"Velvet-fronted Nuthatch",16.5
"72","Tephrodornis sylvicola",5.6730295763,"Malabar Woodshrike",37.8
"73","Terpsiphone paradisi",4.9539744324,"Indian Paradise-Flycatcher",19.2
"74","Treron affinis",5.9078784818,"Gray-fronted Green-Pigeon",234
"75","Turdus simillimus",6.7724445307,"Indian Blackbird",102.7
