"","ebird_residuals","scientific_name","common_name"
"1",0.292232899325407,"Accipiter badius","Shikra"
"2",0.518977776159438,"Accipiter trivirgatus","Crested Goshawk"
"3",-0.0130020873064921,"Aegithina tiphia","Common Iora"
"4",0.249601135728872,"Arachnothera longirostra","Little Spiderhunter"
"5",-0.226711249361432,"Carpodacus erythrinus","Common Rosefinch"
"6",0.0915342838033201,"Centropus sinensis","Greater Coucal"
"7",-0.0617196394937283,"Chalcophaps indica","Asian Emerald Dove"
"8",-0.0536102468704455,"Chloropsis aurifrons","Golden-fronted Leafbird"
"9",0.242596525722813,"Copsychus saularis","Oriental Magpie-Robin"
"10",0.0286637706672731,"Corvus macrorhynchos","Large-billed Crow"
"11",-0.0659302008749586,"Corvus splendens","House Crow"
"12",0.175001217773994,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher"
"13",0.15648255291276,"Cyornis rubeculoides","Blue-throated Flycatcher"
"14",0.0443210402614017,"Dendronanthus indicus","Forest Wagtail"
"15",-0.160898239859801,"Dicaeum concolor","Nilgiri Flowerpecker"
"16",0.18707248337195,"Dicrurus aeneus","Bronzed Drongo"
"17",0.160364106750231,"Dicrurus leucophaeus","Ashy Drongo"
"18",0.0649258920565673,"Dicrurus paradiseus","Greater Racket-tailed Drongo"
"19",-0.153385294586554,"Dinopium benghalense","Black-rumped Flameback"
"20",-0.0435309485572716,"Dryocopus javensis","White-bellied Woodpecker"
"21",-0.158033389880354,"Ducula badia","Mountain Imperial-Pigeon"
"22",0.015561401850498,"Eudynamys scolopaceus","Asian Koel"
"23",0.175075986277453,"Halcyon smyrnensis","White-throated Kingfisher"
"24",0.160456262245939,"Haliastur indus","Brahminy Kite"
"25",-0.215783060134521,"Hemicircus canente","Heart-spotted Woodpecker"
"26",0.0948619243240852,"Hemipus picatus","Bar-winged Flycatcher-shrike"
"27",0.121783832897012,"Hypothymis azurea","Black-naped Monarch"
"28",0.0325413884959699,"Irena puella","Asian Fairy-bluebird"
"29",0.20499324514855,"Lanius cristatus","Brown Shrike"
"30",0.178663246304065,"Merops leschenaulti","Chestnut-headed Bee-eater"
"31",0.104515748438645,"Milvus migrans","Black Kite"
"32",-0.0651121230789404,"Motacilla cinerea","Gray Wagtail"
"33",0.296210559185943,"Muscicapa dauurica","Asian Brown Flycatcher"
"34",-0.00838484124829692,"Oriolus xanthornus","Black-hooded Oriole"
"35",-0.0231438223479351,"Orthotomus sutorius","Common Tailorbird"
"36",-0.436223158813867,"Pavo cristatus","Indian Peafowl"
"37",0.0772319602211519,"Pellorneum ruficeps","Puff-throated Babbler"
"38",0.139913039010826,"Pericrocotus flammeus","Orange Minivet"
"39",-0.0465941122149343,"Phylloscopus trochiloides","Greenish Warbler"
"40",-0.0259295836833609,"Picumnus innominatus","Speckled Piculet"
"41",-0.0446598694054072,"Picus chlorolophus","Lesser Yellownape"
"42",0.181547480946245,"Pitta brachyura","Indian Pitta"
"43",-0.0535772624032965,"Pycnonotus jocosus","Red-whiskered Bulbul"
"44",1.25457488959296,"Spilornis cheela","Crested Serpent-Eagle"
"45",-0.206994499488912,"Upupa epops","Eurasian Hoopoe"
"46",-0.162725371067412,"Zosterops palpebrosus","Indian White-eye"
"47",0.0875112569514971,"Acritillas indica","Yellow-browed Bulbul"
"48",-0.0214994669693342,"Acrocephalus dumetorum","Blyth's Reed Warbler"
"49",-0.0391318378737662,"Alcippe poioicephala","Brown-cheeked Fulvetta"
"50",-0.244151469500239,"Argya subrufa","Rufous Babbler"
"51",-0.180082916184972,"Chrysocolaptes guttacristatus","Greater Flameback"
"52",-0.074058868325264,"Cinnyris asiaticus","Purple Sunbird"
"53",0.127721246524794,"Cyornis pallidipes","White-bellied Blue Flycatcher"
"54",0.166904170024424,"Dendrocitta leucogastra","White-bellied Treepie"
"55",-0.361999535343352,"Dinopium javanense","Common Flameback"
"56",-0.0606641312606644,"Dumetia atriceps","Dark-fronted Babbler"
"57",0.0653706129069495,"Eumyias albicaudatus","Nilgiri Flycatcher"
"58",0.18540480045237,"Ficedula nigrorufa","Black-and-orange Flycatcher"
"59",-0.0590174222336853,"Ficedula ruficauda","Rusty-tailed Flycatcher"
"60",-0.263846728194131,"Galloperdix spadicea","Red Spurfowl"
"61",-0.383063811571674,"Gallus sonneratii","Gray Junglefowl"
"62",0.0708614784268488,"Geokichla citrina","Orange-headed Thrush"
"63",-0.155226923704946,"Gracula indica","Southern Hill Myna"
"64",0.11186307190562,"Harpactes fasciatus","Malabar Trogon"
"65",0.0569934248112376,"Hierococcyx varius","Common Hawk-Cuckoo"
"66",-0.086912769351234,"Hypsipetes ganeesa","Square-tailed Bulbul"
"67",-0.123874498227017,"Larvivora brunnea","Indian Blue Robin"
"68",-0.220437436442614,"Leptocoma minima","Crimson-backed Sunbird"
"69",-0.120851064022585,"Machlolophus aplonotus","Indian Yellow Tit"
"70",-0.11567497731367,"Micropternus brachyurus","Rufous Woodpecker"
"71",0.180022511011362,"Muscicapa muttui","Brown-breasted Flycatcher"
"72",0.111326109446976,"Myophonus horsfieldii","Malabar Whistling-Thrush"
"73",0.000574001181897727,"Pericrocotus cinnamomeus","Small Minivet"
"74",-0.174607065385356,"Phylloscopus magnirostris","Large-billed Leaf Warbler"
"75",-0.190044220609428,"Phylloscopus nitidus","Green Warbler"
"76",-0.18543927099208,"Picus xanthopygaeus","Streak-throated Woodpecker"
"77",-0.170769325159498,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler"
"78",-0.275641459162829,"Psilopogon malabaricus","Malabar Barbet"
"79",0.015285762433253,"Psilopogon viridis","White-cheeked Barbet"
"80",-0.306740605095012,"Rubigula gularis","Flame-throated Bulbul"
"81",-0.202549393545814,"Sitta frontalis","Velvet-fronted Nuthatch"
"82",0.0680702770650523,"Tephrodornis sylvicola","Malabar Woodshrike"
"83",0.107886652726247,"Terpsiphone paradisi","Indian Paradise-Flycatcher"
"84",-0.363265828194812,"Treron affinis","Gray-fronted Green-Pigeon"
