"","scientific_name","mean_eye_size","common_name","mass","rel_mean_eye_size"
"1","Accipiter trivirgatus",14.7425,"Crested Goshawk",265,0.0556320754716981
"2","Aegithina tiphia",3.887,"Common Iora",12,0.323916666666667
"3","Carpodacus erythrinus",3.756,"Common Rosefinch",24,0.1565
"4","Chalcophaps indica",6.947,"Asian Emerald Dove",136.5,0.0508937728937729
"5","Chloropsis aurifrons",4.82272727272727,"Golden-fronted Leafbird",32.3,0.149310441880101
"6","Culicicapa ceylonensis",4.182,"Gray-headed Canary-Flycatcher",7.7,0.543116883116883
"7","Cyornis rubeculoides",4.81,"Blue-throated Flycatcher",14.2,0.338732394366197
"8","Dendronanthus indicus",4.463,"Forest Wagtail",16.4,0.272134146341463
"9","Dicrurus aeneus",5.8,"Bronzed Drongo",26,0.223076923076923
"10","Dicrurus leucophaeus",6.213,"Ashy Drongo",37.6,0.165239361702128
"11","Dinopium benghalense",5.848,"Black-rumped Flameback",100,0.05848
"12","Eudynamys scolopaceus",8.23,"Asian Koel",194.9,0.0422267829656234
"13","Haliastur indus",12.3190909090909,"Brahminy Kite",529,0.0232875064444063
"14","Hemipus picatus",4.019,"Bar-winged Flycatcher-shrike",9,0.446555555555556
"15","Hypothymis azurea",4.359,"Black-naped Monarch",11.1,0.392702702702703
"16","Irena puella",6.29727272727273,"Asian Fairy-bluebird",64.9,0.0970303964140636
"17","Lanius cristatus",6.241,"Brown Shrike",32.2,0.193819875776397
"18","Merops leschenaulti",5.819,"Chestnut-headed Bee-eater",27.2,0.213933823529412
"19","Milvus migrans",12.68,"Black Kite",734.1,0.017272851110203
"20","Motacilla cinerea",4.05,"Gray Wagtail",17.2,0.23546511627907
"21","Muscicapa dauurica",5.025,"Asian Brown Flycatcher",9.8,0.512755102040816
"22","Oriolus xanthornus",5.82636363636364,"Black-hooded Oriole",56.3,0.103487808816406
"23","Orthotomus sutorius",3.407,"Common Tailorbird",7.5,0.454266666666667
"24","Spilornis cheela",37.973,"Crested Serpent-Eagle",597.7,0.0635318721766773
"25","Upupa epops",4.995,"Eurasian Hoopoe",66.9,0.0746636771300448
