"","scientific_name","mean_AD","common_name","mass","rel_mean_AD"
"1","Accipiter trivirgatus",21.8,"Crested Goshawk",265,0.0822641509433962
"2","Aegithina tiphia",6.2,"Common Iora",12,0.516666666666667
"3","Carpodacus erythrinus",6,"Common Rosefinch",24,0.25
"4","Chalcophaps indica",9.83333333333333,"Asian Emerald Dove",136.5,0.072039072039072
"5","Chloropsis aurifrons",7.3,"Golden-fronted Leafbird",32.3,0.226006191950464
"6","Culicicapa ceylonensis",6.35,"Gray-headed Canary-Flycatcher",7.7,0.824675324675325
"7","Cyornis rubeculoides",8,"Blue-throated Flycatcher",14.2,0.563380281690141
"8","Dendronanthus indicus",7.2,"Forest Wagtail",16.4,0.439024390243902
"9","Dicrurus aeneus",8.5,"Bronzed Drongo",26,0.326923076923077
"10","Dicrurus leucophaeus",9.8,"Ashy Drongo",37.6,0.26063829787234
"11","Dinopium benghalense",9.8,"Black-rumped Flameback",100,0.098
"12","Eudynamys scolopaceus",12.5,"Asian Koel",194.9,0.0641354540790149
"13","Haliastur indus",20.6,"Brahminy Kite",529,0.0389413988657845
"14","Hemipus picatus",7.4,"Bar-winged Flycatcher-shrike",9,0.822222222222222
"15","Hypothymis azurea",7,"Black-naped Monarch",11.1,0.630630630630631
"16","Irena puella",9.55,"Asian Fairy-bluebird",64.9,0.147149460708783
"17","Lanius cristatus",9.3,"Brown Shrike",32.2,0.288819875776398
"18","Merops leschenaulti",8.7,"Chestnut-headed Bee-eater",27.2,0.319852941176471
"19","Milvus migrans",20,"Black Kite",734.1,0.027244244653317
"20","Motacilla cinerea",6.2,"Gray Wagtail",17.2,0.36046511627907
"21","Muscicapa dauurica",6.8,"Asian Brown Flycatcher",9.8,0.693877551020408
"22","Oriolus xanthornus",11,"Black-hooded Oriole",56.3,0.19538188277087
"23","Orthotomus sutorius",6,"Common Tailorbird",7.5,0.8
"24","Spilornis cheela",25.8,"Crested Serpent-Eagle",597.7,0.0431654676258993
"25","Upupa epops",8.475,"Eurasian Hoopoe",66.9,0.126681614349776
