"","scientific_name"
"1","Ninox scutulata"
"2","Otus bakkamoena"
"3","Caprimulgus indicus"
"4","Pavo cristatus"
"5","Pycnonotus jocosus"
"6","Dicrurus paradiseus"
"7","Zosterops palpebrosus"
"8","Buceros bicornis"
"9","Pellorneum ruficeps"
"10","Pitta brachyura"
"11","Culicicapa ceylonensis"
"12","Dicaeum concolor"
"13","Muscicapa dauurica"
"14","Picumnus innominatus"
"15","Hypothymis azurea"
"16","Ducula badia"
"17","Irena puella"
"18","Dicrurus leucophaeus"
"19","Upupa epops"
"20","Centropus sinensis"
"21","Eudynamys scolopaceus"
"22","Orthotomus sutorius"
"23","Accipiter badius"
"24","Chalcophaps indica"
"25","Corvus macrorhynchos"
"26","Dinopium benghalense"
"27","Phylloscopus trochiloides"
"28","Aegithina tiphia"
"29","Dryocopus javensis"
"30","Arachnothera longirostra"
"31","Halcyon smyrnensis"
"32","Merops leschenaulti"
"33","Carpodacus erythrinus"
"34","Hemicircus canente"
"35","Pericrocotus flammeus"
"36","Hemipus picatus"
"37","Copsychus saularis"
"38","Picus chlorolophus"
"39","Spilornis cheela"
"40","Corvus splendens"
