"","scientific_name"
"1","Ictinaetus malaiensis"
"2","Ficedula nigrorufa"
"3","Lonchura kelaarti"
"4","Acrocephalus dumetorum"
"5","Iduna caligata"
"6","Ketupa zeylonensis"
"7","Muscicapa muttui"
"8","Yungipicus nanus"
"9","Alcippe poioicephala"
"10","Dinopium javanense"
"11","Hierococcyx varius"
"12","Leptocoma minima"
"13","Dumetia atriceps"
"14","Rubigula gularis"
"15","Gallus sonneratii"
"16","Cacomantis passerinus"
"17","Prinia hodgsonii"
"18","Treron affinis"
"19","Lyncornis macrotis"
"20","Chrysocolaptes guttacristatus"
"21","Phylloscopus nitidus"
"22","Turdus simillimus"
"23","Larvivora brunnea"
"24","Oriolus kundoo"
"25","Terpsiphone paradisi"
"26","Pomatorhinus horsfieldii"
"27","Machlolophus aplonotus"
"28","Argya striata"
"29","Glaucidium radiatum"
"30","Phylloscopus magnirostris"
"31","Psilopogon malabaricus"
"32","Ocyceros griseus"
"33","Psittacula columboides"
"34","Harpactes fasciatus"
"35","Myophonus horsfieldii"
"36","Tephrodornis sylvicola"
"37","Eumyias albicaudatus"
"38","Columba elphinstonii"
"39","Geokichla citrina"
"40","Pernis ptilorhynchus"
"41","Dicaeum erythrorhynchos"
"42","Saxicola caprata"
"43","Psittacula cyanocephala"
"44","Cinnyris asiaticus"
"45","Galloperdix spadicea"
"46","Vanellus indicus"
"47","Argya subrufa"
"48","Micropternus brachyurus"
"49","Ficedula ruficauda"
"50","Pericrocotus cinnamomeus"
"51","Gracula indica"
"52","Ketupa nipalensis"
"53","Spilopelia chinensis"
"54","Hypsipetes ganeesa"
"55","Picus xanthopygaeus"
"56","Arundinax aedon"
"57","Cyornis tickelliae"
"58","Sitta frontalis"
"59","Loriculus vernalis"
"60","Pterorhinus delesserti"
"61","Cyornis pallidipes"
"62","Dendrocitta leucogastra"
"63","Psilopogon viridis"
"64","Iole indica"
