"","scientific_name","common_name","species_annotation_codes","eBird_codes","order","notes","habitat","foraging_habit","family","avibase_ID","total_individuals","female","male","unknown","complete_measures","beakLength_culmen","beakLength_nares","beak_width","beak_depth","tarsus_length","wing_length","kipps_distance","secondary","hand_wing_index","tail_length","mass","migration","trophic_level","trophic_niche","primary_lifestyle"
"1","Ictinaetus malaiensis","Black Eagle","BE","BLEA","Accipitriformes","","RF","CAN","Accipitridae","AVIBASE-28D7E7CC",5,2,3,0,4,51.5,26.1,13.7,18.6,68.7,552.8,240.5,316.8,43.2,314.4,1028,1,"Carnivore","Vertivore","Aerial"
"2","Ficedula nigrorufa","Black-and-orange Flycatcher","BAOF","BAOF","Passeriformes","","RF","UND","Muscicapidae","AVIBASE-47C88B19",4,2,2,0,4,11.6,6.7,3.8,3.1,18,59.1,9.1,50,15.4,48,9.4,1,"Carnivore","Invertivore","Generalist"
"3","Lonchura kelaarti","Black-throated Munia","BTM","BTMU","Passeriformes","","RF","GRD","Estrildidae","AVIBASE-9138891C",10,2,8,0,10,13.6,9,7,7.7,14.4,54.2,13,41.2,24,38.6,14.1,1,"Herbivore","Granivore","Insessorial"
"4","Acrocephalus dumetorum","Blyth's Reed Warbler","BRW","BRWA","Passeriformes","order NA","OC","UND","Acrocephalidae","AVIBASE-B22EAFC8",10,3,5,2,4,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,3,"Carnivore","Invertivore","Insessorial"
"5","Iduna caligata","Booted Warbler","BW","BOWA","Passeriformes","","OC","UND","Acrocephalidae","AVIBASE-1A6C6F17",5,2,3,0,4,12,7.5,2.8,2.6,19.3,59.4,10.1,49.4,17,45.6,8.9,3,"Carnivore","Invertivore","Insessorial"
"6","Ketupa zeylonensis","Brown Fish-Owl","BFO","BFOW","Strigiformes","","RF","AQU","Strigidae","AVIBASE-CFDF9E89",11,8,3,0,9,49.7,30.5,16.9,23.8,71.2,381.1,108.2,273.4,28.3,187.5,1105,1,"Carnivore","Aquatic predator","Insessorial"
"7","Muscicapa muttui","Brown-breasted Flycatcher","BBF","BBFL","Passeriformes","","RF","UND","Muscicapidae","AVIBASE-472841E9",5,2,3,0,4,14.9,8.7,5.1,3.7,13.1,71.4,18.8,53.2,26.1,55,12,3,"Carnivore","Invertivore","Insessorial"
"8","Yungipicus nanus","Brown-capped Pygmy Woodpecker","BCPW","BCPW","Piciformes","","OC","CAN","Picidae","AVIBASE-DB8E1EC2",5,2,3,0,4,13.8,10.5,4.1,4.4,13.5,76.4,21.1,55.9,27.4,36,16.2,1,"Carnivore","Invertivore","Insessorial"
"9","Alcippe poioicephala","Brown-cheeked Fulvetta","BCF","BCFU","Passeriformes","","RF","MID","Leiothrichidae","AVIBASE-E4C78D6C",5,2,3,0,4,14.7,8.2,3.6,4.2,21.2,69.5,7.5,61.6,10.9,65.5,20.7,1,"Carnivore","Invertivore","Insessorial"
"10","Dinopium javanense","Common Flameback","CF","COFL","Piciformes","","RF","MID","Picidae","AVIBASE-8A613564",5,2,3,0,4,28.9,21,7.8,7.6,22,134.1,28.1,105.3,21,96.8,72.8,1,"Carnivore","Invertivore","Insessorial"
"11","Hierococcyx varius","Common Hawk-Cuckoo","CHC","CHCU","Cuculiformes","order NA","OC","CAN","Cuculidae","AVIBASE-0880DDC8",5,2,3,0,4,26.1,14.9,7.7,7.6,23.5,191,66.8,124,35,161.4,103,1,"Carnivore","Invertivore","Insessorial"
"12","Leptocoma minima","Crimson-backed Sunbird","CBS","CBSU","Passeriformes","","RF","CAN","Nectariniidae","AVIBASE-B5F1B635",5,2,3,0,4,15.1,10.3,2.6,2.2,13,44.3,6.2,39.2,13.6,28.6,4.9,1,"Omnivore","Nectarivore","Insessorial"
"13","Dumetia atriceps","Dark-fronted Babbler","DFB","DFBA","Passeriformes","","RF","UND","Timaliidae","AVIBASE-B517FCCC",5,2,3,0,4,14.5,7.8,3.2,4,21.1,58.6,4.2,54.5,7.2,47.8,16.3,1,"Carnivore","Invertivore","Generalist"
"14","Rubigula gularis","Flame-throated Bulbul","FTB","FTBU","Passeriformes","","RF","MID","Pycnonotidae","AVIBASE-442951D4",4,2,2,0,4,14.1,7.3,3.6,3.8,14.4,73.8,8.8,65,11.9,78,29.3,1,"Herbivore","Frugivore","Insessorial"
"15","Gallus sonneratii","Gray Junglefowl","GJ","GRJU","Galliformes","","RF","GRD","Phasianidae","AVIBASE-444C1F4D",5,2,3,0,3,36.4,14.9,9.2,9.1,67.5,218,45.2,168.3,21.2,219,840.8,1,"Herbivore","Omnivore","Terrestrial"
"16","Cacomantis passerinus","Gray-bellied Cuckoo","GBC","GBCU","Cuculiformes","","OC","MID","Cuculidae","AVIBASE-84D36C76",5,3,2,0,4,20.7,12.8,5.4,5.4,17.4,113,37.2,75.5,32.9,103,25.3,1,"Carnivore","Invertivore","Insessorial"
"17","Prinia hodgsonii","Gray-breasted Prinia","GBP","GBPR","Passeriformes","","OC","UND","Cisticolidae","AVIBASE-C29B19D7",5,2,3,0,4,11.9,6.2,2.2,2.3,18.1,45.5,4.8,40.5,10.7,46.6,6.4,1,"Carnivore","Invertivore","Insessorial"
"18","Treron affinis","Gray-fronted Green-Pigeon","GFGP","GFGP","Columbiformes","","RF","CAN","Columbidae","AVIBASE-B30C3132",4,2,2,0,4,18.4,10,4.8,5.7,22.8,144,51.2,92.8,35.6,76.5,234,1,"Herbivore","Frugivore","Insessorial"
"19","Lyncornis macrotis","Great-eared Nightjar","GENI","GENI","Caprimulgiformes","","RF","GRD","Caprimulgidae","AVIBASE-C5E15B31",6,2,3,1,4,16.7,7.1,5.2,3.8,18.1,266.3,141,120,54,176.2,140.6,1,"Carnivore","Invertivore","Aerial"
"20","Chrysocolaptes guttacristatus","Greater Flameback","GF","GRFL","Piciformes","","RF","CAN","Picidae","AVIBASE-B82693BC",4,2,2,0,4,52.4,39.4,11.3,12,30,165.6,36.9,128.7,22.3,90.1,166,1,"Carnivore","Invertivore","Insessorial"
"21","Phylloscopus nitidus","Green Warbler","GRW","GRNW","Passeriformes","","RF","CAN","Phylloscopidae","AVIBASE-3542C46B",5,2,3,0,4,12.4,6.6,2.7,2.7,19.1,62.5,14.4,47.2,23.4,50.4,7.8,3,"Carnivore","Invertivore","Insessorial"
