"","scientific_name","common_name","species_annotation_codes","eBird_codes","order","notes","habitat","foraging_habit","family","avibase_ID","total_individuals","female","male","unknown","complete_measures","beakLength_culmen","beakLength_nares","beak_width","beak_depth","tarsus_length","wing_length","kipps_distance","secondary","hand_wing_index","tail_length","mass","migration","trophic_level","trophic_niche","primary_lifestyle"
"1","Dicrurus leucophaeus","Ashy Drongo","AD","ASDR","Passeriformes","","RF","CAN","Dicruridae","AVIBASE-5FD53BB1",21,4,17,0,14,25.4,16.7,9.3,8.4,18.6,134.8,42.4,91.8,31.5,134.7,37.6,1,"Carnivore","Invertivore","Insessorial"
"2","Muscicapa dauurica","Asian Brown Flycatcher","ABF","ABFL","Passeriformes","","OC","MID","Muscicapidae","AVIBASE-585D0B1A",2,1,1,0,2,12.8,7.8,4.7,3.5,14.4,70.5,20.5,50,29.1,49.5,9.8,3,"Carnivore","Invertivore","Insessorial"
"3","Chalcophaps indica","Asian Emerald Dove","AED","AEDO","Columbiformes","","RF","GRD","Columbidae","AVIBASE-05E5E8F6",58,10,22,26,8,20.9,11.3,3.1,4.2,25.8,143.9,40,100.1,28.7,83.9,136.5,1,"Herbivore","Omnivore","Generalist"
"4","Irena puella","Asian Fairy-bluebird","AFB","AFBL","Passeriformes","","RF","CAN","Irenidae","AVIBASE-213AA070",14,5,9,0,12,26.3,17.5,7.9,9.1,17.8,125.4,31.5,92.9,25.3,91.8,64.9,1,"Herbivore","Frugivore","Insessorial"
"5","Eudynamys scolopaceus","Asian Koel","AK","ASKO","Cuculiformes","","OC","MID","Cuculidae","AVIBASE-61503588",10,6,4,0,8,32.1,20.4,10.3,10.6,31,196.4,62.4,136.4,31.4,179.7,194.9,2,"Herbivore","Frugivore","Insessorial"
"6","Hemipus picatus","Bar-winged Flycatcher-shrike","BWFS","BWFS","Passeriformes","","RF","CAN","Vangidae","AVIBASE-B0066A99",5,2,3,0,4,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,15.3,55.5,9,1,"Carnivore","Invertivore","Insessorial"
"7","Milvus migrans","Black Kite","BK","BLKI","Accipitriformes","","OC","GRD","Accipitridae","AVIBASE-06D9A2C8",8,3,5,0,4,40,22.4,13,17.4,51.4,457.4,219.9,237.5,48.1,269.5,734.1,3,"Omnivore","Omnivore","Aerial"
"8","Oriolus xanthornus","Black-hooded Oriole","BHO","BHOR","Passeriformes","","OC","CAN","Oriolidae","AVIBASE-E931F073",17,6,11,0,8,29.6,19.8,8,7.8,24.3,133.6,36.4,96.6,27.4,82.6,56.3,1,"Herbivore","Frugivore","Insessorial"
"9","Hypothymis azurea","Black-naped Monarch","BNM","BNMO","Passeriformes","","RF","MID","Monarchidae","AVIBASE-0AC5BA0A",6,2,2,2,4,11.8,8.5,4.6,3.7,15.8,69.8,11.1,58.6,16,75.2,11.1,1,"Carnivore","Invertivore","Insessorial"
"10","Dinopium benghalense","Black-rumped Flameback","BRF","BRFL","Piciformes","","OC","MID","Picidae","AVIBASE-4E1BC720",7,3,3,1,6,36.1,26.6,8.4,8.8,25.2,140.9,29.4,112.3,20.7,94.7,100,1,"Carnivore","Invertivore","Insessorial"
"11","Cyornis rubeculoides","Blue-throated Flycatcher","BTF","BTFL","Passeriformes","","RF","UND","Muscicapidae","AVIBASE-AAF62362",5,2,3,0,4,13.5,8.4,4.4,3.6,16.1,65.7,13.5,51.1,20.9,58.2,14.2,1,"Carnivore","Invertivore","Insessorial"
"12","Haliastur indus","Brahminy Kite","BRK","BRKI","Accipitriformes","","OC","AQU","Accipitridae","AVIBASE-D89A9DC9",5,2,3,0,4,48.8,24.4,12.9,17,48.2,399.8,147,257.2,36.4,203.8,529,1,"Carnivore","Omnivore","Generalist"
"13","Dicrurus aeneus","Bronzed Drongo","BD","BRDR","Passeriformes","","RF","MID","Dicruridae","AVIBASE-DD177B0B",12,1,10,1,5,21.6,13.3,7.6,6.1,16,116.9,34.4,82.5,29.4,84.6,26,1,"Carnivore","Invertivore","Insessorial"
"14","Ninox scutulata","Brown Boobook","BB","BRBO","Strigiformes","","RF","MID","Strigidae","AVIBASE-A5AC4024",4,2,2,0,4,28.2,12.8,7.2,12.2,22,181.5,53.1,128.3,29.2,99.2,191,3,"Carnivore","Invertivore","Insessorial"
"15","Lanius cristatus","Brown Shrike","BS","BRSH","Passeriformes","","OC","GRD","Laniidae","AVIBASE-E4968582",20,5,12,3,13,19.3,11.6,6.2,7.9,23.8,85,22.5,62.2,26.6,79.9,32.2,3,"Carnivore","Invertivore","Insessorial"
"16","Strix leptogrammica","Brown Wood-owl","BWO","BRWO","Strigiformes","order NA","RF","CAN","Strigidae","AVIBASE-8253A007",5,2,2,1,4,42.3,19.8,11.4,18.6,40.2,313,89.2,224.3,28.5,157,970,1,"Carnivore","Vertivore","Insessorial"
"17","Merops leschenaulti","Chestnut-headed Bee-eater","CHBE","CHBE","Coraciiformes","","RF","AER","Meropidae","AVIBASE-F8652F4F",5,2,3,0,4,38.3,28.9,7.5,6.3,11.1,106.2,43.7,62,41.4,80.2,27.2,1,"Carnivore","Invertivore","Insessorial"
"18","Aegithina tiphia","Common Iora","CI","COIO","Passeriformes","","OC","MID","Aegithinidae","AVIBASE-EEC311EA",14,1,12,1,13,17,10.8,4.3,4.5,19.7,61.6,6.2,55.2,10,47.8,12,1,"Carnivore","Invertivore","Insessorial"
"19","Carpodacus erythrinus","Common Rosefinch","CR","CORO","Passeriformes","eBird_code NA","OC","CAN","Fringillidae","AVIBASE-3A713345",8,3,5,0,4,12,8,6.8,7.9,16.4,80.2,24.7,55.8,30.8,58.6,24,3,"Herbivore","Granivore","Insessorial"
"20","Orthotomus sutorius","Common Tailorbird","CT","COTA","Passeriformes","","OC","UND","Cisticolidae","AVIBASE-AF5B727B",17,6,11,0,16,15.5,8.9,2.7,2.6,19.3,45.5,4.8,40.8,10.4,47.7,7.5,1,"Carnivore","Invertivore","Insessorial"
"21","Accipiter trivirgatus","Crested Goshawk","CG","CRGO","Accipitriformes","","RF","CAN","Accipitridae","AVIBASE-0D4EE0EB",15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,1,"Carnivore","Vertivore","Insessorial"
