"","species","median_begin_time","median_relative_onset_time","q1","q3","scientific_name","common_name","Order","eBird_codes"
"1","ABFL",06:13:11.0,1856,06:01:35.50,06:32:53.50,"Muscicapa dauurica","Asian Brown Flycatcher","Passeriformes","asbfly"
"2","AEDO",06:36:00.0,3168,06:18:36.00,07:21:40.50,"Chalcophaps indica","Asian Emerald Dove","Columbiformes","emedov2"
"3","AFBL",06:17:54.5,2188,06:00:50.25,06:48:57.25,"Irena puella","Asian Fairy-bluebird","Passeriformes","asfblu1"
"4","ASDR",06:25:14.0,2936.5,06:08:42.50,07:06:33.50,"Dicrurus leucophaeus","Ashy Drongo","Passeriformes","ashdro1"
"5","ASKO",06:33:23.0,3390,06:12:25.75,06:54:09.50,"Eudynamys scolopaceus","Asian Koel","Cuculiformes","asikoe2"
"6","BBFL",06:16:10.0,1848,06:06:01.00,07:05:03.00,"Muscicapa muttui","Brown-breasted Flycatcher","Passeriformes","brbfly2"
"7","BCFU",06:10:03.0,1473,06:00:02.00,06:22:15.00,"Alcippe poioicephala","Brown-cheeked Fulvetta","Passeriformes","brcful1"
"8","BNMO",06:16:11.0,2532.5,06:00:28.25,06:50:29.50,"Hypothymis azurea","Black-naped Monarch","Passeriformes","blnmon1"
"9","BRBO",05:38:55.0,706,05:31:04.00,05:50:59.00,"Ninox scutulata","Brown Boobook","Strigiformes","brnhao1"
"10","BRFL",06:41:02.0,3683,06:21:36.50,07:05:15.00,"Dinopium benghalense","Black-rumped Flameback","Piciformes","bkrfla1"
"11","BRWA",06:33:35.0,3191,06:16:58.50,07:04:26.50,"Acrocephalus dumetorum","Blyth's Reed Warbler","Passeriformes","blrwar1"
"12","BWFS",07:23:24.5,6049.5,06:44:03.75,08:06:44.25,"Hemipus picatus","Bar-winged Flycatcher-shrike","Passeriformes","bwfshr1"
"13","CBSU",06:16:41.0,2240,06:12:40.00,06:27:16.00,"Leptocoma minima","Crimson-backed Sunbird","Passeriformes","crbsun2"
"14","CHBE",06:55:06.5,5011.5,06:30:54.00,07:47:22.25,"Merops leschenaulti","Chestnut-headed Bee-eater","Coraciiformes","chbeat1"
"15","CHCU",05:32:22.0,312,05:30:21.00,05:37:59.50,"Hierococcyx varius","Common Hawk-Cuckoo","Cuculiformes","cohcuc1"
"16","COFL",07:12:42.0,6142,06:52:35.00,08:01:44.00,"Dinopium javanense","Common Flameback","Piciformes","comfla1"
"17","COIO",06:41:30.5,3578.5,06:23:04.25,07:49:27.25,"Aegithina tiphia","Common Iora","Passeriformes","comior1"
"18","CORO",07:01:15.5,5199,06:45:36.25,07:48:59.75,"Carpodacus erythrinus","Common Rosefinch","Passeriformes","comros"
"19","COTA",06:34:53.0,3456.5,06:11:07.00,07:27:43.25,"Orthotomus sutorius","Common Tailorbird","Passeriformes","comtai1"
"20","CSEA",07:46:02.5,7504,06:57:28.75,08:56:57.00,"Spilornis cheela","Crested Serpent-Eagle","Accipitriformes","crseag1"
"21","DFBA",07:08:04.0,5523,06:38:14.00,07:43:21.00,"Dumetia atriceps","Dark-fronted Babbler","Passeriformes","dafbab1"
"22","EUHO",06:27:44.0,2612,06:16:31.00,06:37:14.00,"Upupa epops","Eurasian Hoopoe","Bucerotiformes","hoopoe"
"23","FTBU",06:29:11.0,2809.5,06:15:37.75,07:08:09.25,"Rubigula gularis","Flame-throated Bulbul","Passeriformes","bkcbul1"
"24","GFGP",06:38:12.0,3944,06:32:48.00,07:33:47.00,"Treron affinis","Gray-fronted Green-Pigeon","Columbiformes","pomgrp2"
"25","GHCF",06:11:56.5,1900.5,06:05:48.00,06:34:46.50,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","Passeriformes","gyhcaf1"
"26","GRCO",06:27:48.0,2701,06:03:01.50,07:00:25.00,"Centropus sinensis","Greater Coucal","Cuculiformes","grecou1"
"27","GRFL",06:47:03.0,3849,06:23:04.00,07:15:35.50,"Chrysocolaptes guttacristatus","Greater Flameback","Piciformes","grefla1"
"28","GRHO",06:03:42.5,1226.5,05:44:58.00,06:55:04.50,"Buceros bicornis","Great Hornbill","Bucerotiformes","grehor1"
"29","GRJU",06:00:38.5,1553.5,05:52:08.75,06:08:13.50,"Gallus sonneratii","Gray Junglefowl","Galliformes","grejun2"
"30","GRNW",07:10:02.0,5205,06:47:14.00,07:37:46.00,"Phylloscopus nitidus","Green Warbler","Passeriformes","grnwar1"
"31","GRTD",06:02:07.0,1347,05:52:23.25,06:19:14.50,"Dicrurus paradiseus","Greater Racket-tailed Drongo","Passeriformes","grtdro1"
"32","GRWA",06:41:21.0,3421,06:30:02.00,06:57:47.00,"Phylloscopus trochiloides","Greenish Warbler","Passeriformes","grewar3"
"33","HSWO",07:10:37.0,4950,06:30:20.00,07:38:54.00,"Hemicircus canente","Heart-spotted Woodpecker","Piciformes","heswoo1"
"34","IBRO",06:25:28.0,2395,06:16:33.00,06:50:17.00,"Larvivora brunnea","Indian Blue Robin","Passeriformes","inbrob1"
"35","INPE",05:48:37.0,1460,05:31:59.00,06:36:06.00,"Pavo cristatus","Indian Peafowl","Galliformes","compea"
"36","INPI",06:11:28.0,1456,06:06:35.00,06:47:11.00,"Pitta brachyura","Indian Pitta","Passeriformes","indpit1"
"37","IPFL",07:02:26.0,4608,06:51:38.00,07:56:37.00,"Terpsiphone paradisi","Indian Paradise-Flycatcher","Passeriformes","aspfly1"
"38","ISBA",06:07:39.0,1778.5,05:53:16.25,06:15:04.25,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler","Passeriformes","insbab1"
"39","ISOW",05:40:57.5,867.5,05:33:37.75,06:00:00.75,"Otus bakkamoena","Indian Scops-Owl","Strigiformes","insowl1"
"40","IWEY",06:02:52.5,1176,05:57:56.75,06:07:58.25,"Zosterops palpebrosus","Indian White-eye","Passeriformes","indwhe1"
"41","IYTI",07:05:16.5,5593.5,06:32:22.75,07:53:21.00,"Machlolophus aplonotus","Indian Yellow Tit","Passeriformes","indtit1"
"42","JUNI",05:43:37.0,83,05:32:12.00,05:52:42.00,"Caprimulgus indicus","Jungle Nightjar","Caprimulgiformes","grynig2"
"43","LBCR",06:37:06.0,3356.5,06:15:11.50,06:59:28.25,"Corvus macrorhynchos","Large-billed Crow","Passeriformes","labcro1"
