"","species","median_begin_time","median_relative_onset_time","q1","q3","scientific_name","common_name","Order","eBird_codes"
"1","ABFL",06:17:04.0,2031,06:12:52.00,06:32:53.00,"Muscicapa dauurica","Asian Brown Flycatcher","Passeriformes","asbfly"
"2","AEDO",06:45:01.0,3804,06:27:39.00,07:30:27.00,"Chalcophaps indica","Asian Emerald Dove","Columbiformes","emedov2"
"3","AFBL",06:52:57.0,4219,06:29:03.50,07:51:24.50,"Irena puella","Asian Fairy-bluebird","Passeriformes","asfblu1"
"4","ASDR",06:28:29.0,2786,06:16:11.00,06:46:57.50,"Dicrurus leucophaeus","Ashy Drongo","Passeriformes","ashdro1"
"5","BAOF",06:22:25.0,2469,06:14:44.50,06:45:55.00,"Ficedula nigrorufa","Black-and-orange Flycatcher","Passeriformes","barfly1"
"6","BBFL",06:23:19.0,2547.5,06:11:23.50,07:24:10.50,"Muscicapa muttui","Brown-breasted Flycatcher","Passeriformes","brbfly2"
"7","BCFU",06:13:48.0,1883,06:06:11.00,06:26:04.00,"Alcippe poioicephala","Brown-cheeked Fulvetta","Passeriformes","brcful1"
"8","BNMO",06:42:22.0,3458.5,06:22:33.00,07:28:06.50,"Hypothymis azurea","Black-naped Monarch","Passeriformes","blnmon1"
"9","BRBO",05:56:10.0,1027,05:53:02.00,06:00:48.50,"Ninox scutulata","Brown Boobook","Strigiformes","brnhao1"
"10","BRFL",06:33:14.0,2661.5,06:17:23.25,06:44:32.00,"Dinopium benghalense","Black-rumped Flameback","Piciformes","bkrfla1"
"11","BRWA",06:22:24.0,2371.5,06:15:09.75,06:42:05.00,"Acrocephalus dumetorum","Blyth's Reed Warbler","Passeriformes","blrwar1"
"12","BWFS",07:32:10.5,6723.5,07:06:27.25,08:13:09.00,"Hemipus picatus","Bar-winged Flycatcher-shrike","Passeriformes","bwfshr1"
"13","CBSU",06:23:34.5,2382.5,06:12:33.50,06:53:40.75,"Leptocoma minima","Crimson-backed Sunbird","Passeriformes","crbsun2"
"14","CHBE",07:09:13.0,5246.5,06:44:33.50,08:02:42.25,"Merops leschenaulti","Chestnut-headed Bee-eater","Coraciiformes","chbeat1"
"15","COIO",06:45:01.0,4039,06:35:12.50,07:52:45.50,"Aegithina tiphia","Common Iora","Passeriformes","comior1"
"16","COTA",06:48:30.0,4162,06:35:06.25,07:54:30.00,"Orthotomus sutorius","Common Tailorbird","Passeriformes","comtai1"
"17","CSEA",06:45:04.0,3826,06:20:25.75,08:02:45.25,"Spilornis cheela","Crested Serpent-Eagle","Accipitriformes","crseag1"
"18","DFBA",06:50:33.0,4041,06:33:39.50,07:13:01.50,"Dumetia atriceps","Dark-fronted Babbler","Passeriformes","dafbab1"
"19","GFGP",07:24:06.5,6066.5,06:38:52.75,07:56:08.75,"Treron affinis","Gray-fronted Green-Pigeon","Columbiformes","pomgrp2"
"20","GHCF",06:41:21.0,3367,06:21:41.00,07:28:00.00,"Culicicapa ceylonensis","Gray-headed Canary-Flycatcher","Passeriformes","gyhcaf1"
"21","GRCO",06:46:47.0,4057.5,06:10:39.50,07:21:56.00,"Centropus sinensis","Greater Coucal","Cuculiformes","grecou1"
"22","GRFL",06:38:40.0,3484,06:22:14.00,07:17:25.00,"Chrysocolaptes guttacristatus","Greater Flameback","Piciformes","grefla1"
"23","GRHO",06:01:47.0,1223,05:46:56.25,07:09:54.75,"Buceros bicornis","Great Hornbill","Bucerotiformes","grehor1"
"24","GRJU",06:16:04.0,2020.5,06:09:43.25,06:25:22.50,"Gallus sonneratii","Gray Junglefowl","Galliformes","grejun2"
"25","GRNW",06:51:48.0,3951,06:35:58.50,07:26:03.00,"Phylloscopus nitidus","Green Warbler","Passeriformes","grnwar1"
"26","GRTD",06:07:51.0,1428,06:02:21.00,06:18:04.00,"Dicrurus paradiseus","Greater Racket-tailed Drongo","Passeriformes","grtdro1"
"27","GRWA",06:30:44.5,2915.5,06:24:44.25,06:41:48.50,"Phylloscopus trochiloides","Greenish Warbler","Passeriformes","grewar3"
"28","HOCR",06:48:21.5,3824.5,06:34:49.50,07:22:11.25,"Corvus splendens","House Crow","Passeriformes","houcro1"
"29","HSWO",06:47:23.0,3860,06:27:59.00,08:11:37.00,"Hemicircus canente","Heart-spotted Woodpecker","Piciformes","heswoo1"
"30","IBRO",06:19:36.0,2131.5,06:07:41.00,06:29:38.25,"Larvivora brunnea","Indian Blue Robin","Passeriformes","inbrob1"
"31","INPE",07:01:42.0,4924,06:21:47.00,07:59:59.50,"Pavo cristatus","Indian Peafowl","Galliformes","compea"
"32","INPI",06:05:02.0,1394,05:58:45.00,06:12:10.00,"Pitta brachyura","Indian Pitta","Passeriformes","indpit1"
"33","IPFL",07:23:58.0,6106,06:58:35.25,07:42:28.00,"Terpsiphone paradisi","Indian Paradise-Flycatcher","Passeriformes","aspfly1"
"34","ISBA",06:17:43.5,2146,06:12:40.00,06:26:39.75,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler","Passeriformes","insbab1"
"35","ISOW",05:53:57.0,974,05:38:10.00,06:04:19.50,"Otus bakkamoena","Indian Scops-Owl","Strigiformes","insowl1"
"36","IWEY",06:05:41.0,1414,06:01:19.00,06:12:24.50,"Zosterops palpebrosus","Indian White-eye","Passeriformes","indwhe1"
"37","IYTI",06:55:01.0,4270,06:35:36.25,07:38:26.00,"Machlolophus aplonotus","Indian Yellow Tit","Passeriformes","indtit1"
"38","LBCR",06:41:46.5,3718,06:23:18.25,07:07:44.00,"Corvus macrorhynchos","Large-billed Crow","Passeriformes","labcro1"
"39","LBLW",06:44:06.0,3681,06:34:39.00,06:58:53.25,"Phylloscopus magnirostris","Large-billed Leaf Warbler","Passeriformes","lblwar1"
"40","LEYE",06:31:34.5,3066,06:23:48.25,07:37:06.25,"Picus chlorolophus","Lesser Yellownape","Piciformes","lesyel1"
"41","LISP",06:55:12.0,4305,06:27:33.00,08:06:54.00,"Arachnothera longirostra","Little Spiderhunter","Passeriformes","litspi1"
"42","MABA",06:36:30.0,3194,06:27:14.50,06:54:27.50,"Psilopogon malabaricus","Malabar Barbet","Piciformes","crfbar1"
"43","MAPA",07:27:32.0,6613,06:50:32.00,08:32:22.00,"Psittacula columboides","Malabar Parakeet","Psittaciformes","malpar1"
"44","MATR",06:40:38.0,3332.5,06:25:20.75,08:09:43.50,"Harpactes fasciatus","Malabar Trogon","Trogoniformes","maltro1"
"45","MAWO",07:37:06.0,6772,07:11:33.50,08:27:03.00,"Tephrodornis sylvicola","Malabar Woodshrike","Passeriformes","malwoo1"
"46","MGHO",06:21:06.5,2286,06:12:56.25,06:46:36.00,"Ocyceros griseus","Malabar Gray Hornbill","Bucerotiformes","maghor2"
"47","MIPI",06:48:00.0,3895,06:35:25.00,07:15:46.00,"Ducula badia","Mountain Imperial-Pigeon","Columbiformes","moipig1"
"48","MWTH",06:00:59.0,1079,05:53:13.00,06:06:13.00,"Myophonus horsfieldii","Malabar Whistling-Thrush","Passeriformes","mawthr1"
"49","NIFP",06:13:26.5,1894,06:07:36.00,06:23:48.25,"Dicaeum concolor","Nilgiri Flowerpecker","Passeriformes","plaflo1"
"50","OHTH",06:10:00.0,1713,06:05:21.00,06:17:59.00,"Geokichla citrina","Orange-headed Thrush","Passeriformes","orhthr1"
"51","ORMI",07:25:55.0,6323,06:54:10.50,08:20:46.00,"Pericrocotus flammeus","Orange Minivet","Passeriformes","scamin3"
"52","PHPA",06:48:22.0,3953,06:33:49.00,07:57:25.25,"Psittacula cyanocephala","Plum-headed Parakeet","Psittaciformes","plhpar1"
"53","PTBA",06:20:19.0,2282,06:15:07.00,06:32:23.00,"Pellorneum ruficeps","Puff-throated Babbler","Passeriformes","putbab1"
"54","PUSU",07:08:21.0,5263.5,06:55:52.25,08:04:33.75,"Cinnyris asiaticus","Purple Sunbird","Passeriformes","pursun4"
"55","RESP",06:26:31.0,2621,06:20:10.50,06:36:03.00,"Galloperdix spadicea","Red Spurfowl","Galliformes","redspu1"
"56","RTFL",07:25:39.0,6141,06:52:24.00,07:51:05.00,"Ficedula ruficauda","Rusty-tailed Flycatcher","Passeriformes","rutfly6"
"57","RUBA",07:20:50.0,5778,06:45:06.00,08:17:32.00,"Argya subrufa","Rufous Babbler","Passeriformes","rufbab3"
"58","RWBU",06:12:33.0,1816,06:05:56.00,06:27:54.00,"Pycnonotus jocosus","Red-whiskered Bulbul","Passeriformes","rewbul"
"59","SBEO",06:00:21.0,1172,05:45:37.00,06:08:17.00,"Ketupa nipalensis","Spot-bellied Eagle-Owl","Strigiformes","sbeowl1"
"60","SHIK",06:54:24.0,4236.5,06:33:51.75,07:30:26.50,"Accipiter badius","Shikra","Accipitriformes","shikra1"
"61","SHMY",06:19:25.0,2053,06:07:17.25,06:47:13.25,"Gracula indica","Southern Hill Myna","Passeriformes","sohmyn1"
"62","SMMI",08:00:52.0,8410,06:51:03.00,08:24:48.00,"Pericrocotus cinnamomeus","Small Minivet","Passeriformes","smamin1"
"63","SPDO",06:23:52.0,2711,06:13:30.50,07:13:27.50,"Spilopelia chinensis","Spotted Dove","Columbiformes","spodov"
"64","SPPI",06:10:06.0,1749,06:05:12.50,06:18:09.50,"Picumnus innominatus","Speckled Piculet","Piciformes","spepic1"
"65","STBU",06:30:56.0,2916,06:20:51.00,06:47:02.00,"Hypsipetes ganeesa","Square-tailed Bulbul","Passeriformes","sqtbul2"
"66","STWO",06:59:08.5,4489,06:23:34.00,07:28:38.50,"Picus xanthopygaeus","Streak-throated Woodpecker","Piciformes","sttwoo1"
"67","VFNU",06:31:30.0,2904.5,06:21:37.50,06:55:07.75,"Sitta frontalis","Velvet-fronted Nuthatch","Passeriformes","vefnut1"
"68","VHPA",06:35:53.0,2997,06:22:00.00,07:12:31.00,"Loriculus vernalis","Vernal Hanging-Parrot","Psittaciformes","vehpar1"
"69","WBBF",06:40:11.0,3382,06:20:29.50,07:10:17.00,"Cyornis pallidipes","White-bellied Blue Flycatcher","Passeriformes","wbbfly1"
"70","WBTR",07:11:08.0,5087,06:39:34.50,07:52:17.00,"Dendrocitta leucogastra","White-bellied Treepie","Passeriformes","whbtre1"
"71","WBWO",07:18:52.0,6094,06:44:35.00,08:14:06.50,"Dryocopus javensis","White-bellied Woodpecker","Piciformes","whbwoo2"
"72","WCBA",06:10:35.0,1672,06:06:25.00,06:15:56.00,"Psilopogon viridis","White-cheeked Barbet","Piciformes","whcbar1"
"73","WTKI",06:24:32.5,2283,06:08:27.75,06:50:47.25,"Halcyon smyrnensis","White-throated Kingfisher","Coraciiformes","whtkin2"
"74","YBBU",06:18:46.0,2132,06:12:05.00,06:30:05.00,"Iole indica","Yellow-browed Bulbul","Passeriformes","yebbul3"
